"doc_id","n_oraciones_af","polaridad_media","polaridad_sd","prop_oraciones_negativas","n_anger","n_anticipation","n_disgust","n_fear","n_joy","n_sadness","n_surprise","n_trust","prop_ira","prop_anticipacion","prop_asco","prop_miedo","prop_alegria","prop_tristeza","prop_sorpresa","prop_confianza"
"L0002",293,0.0103819505402698,0.168416932134587,0.296928327645051,79,176,93,159,135,152,99,157,0.0752380952380952,0.167619047619048,0.0885714285714286,0.151428571428571,0.128571428571429,0.144761904761905,0.0942857142857143,0.14952380952381
"L0005",24,-0.0586873307809596,0.149005751942845,0.458333333333333,22,10,21,35,6,12,12,6,0.17741935483871,0.0806451612903226,0.169354838709677,0.282258064516129,0.0483870967741935,0.0967741935483871,0.0967741935483871,0.0483870967741935
"L0006",27,-0.0227444064045371,0.12591133286644,0.259259259259259,3,8,1,7,4,7,5,3,0.0789473684210526,0.210526315789474,0.0263157894736842,0.184210526315789,0.105263157894737,0.184210526315789,0.131578947368421,0.0789473684210526
"L0008",57,-0.0281841851333035,0.181998038950681,0.263157894736842,17,32,13,34,5,32,8,12,0.111111111111111,0.209150326797386,0.0849673202614379,0.222222222222222,0.0326797385620915,0.209150326797386,0.0522875816993464,0.0784313725490196
"L0009",105,0.147790049974924,0.393666483070329,0.0761904761904762,4,22,11,44,18,12,8,11,0.0307692307692308,0.169230769230769,0.0846153846153846,0.338461538461538,0.138461538461538,0.0923076923076923,0.0615384615384615,0.0846153846153846
"L0011",8,0.0287741068991069,0.10262658378222,0.25,7,4,6,15,3,8,2,10,0.127272727272727,0.0727272727272727,0.109090909090909,0.272727272727273,0.0545454545454545,0.145454545454545,0.0363636363636364,0.181818181818182
"L0012",152,0.00332508629518569,0.26044257188099,0.256578947368421,33,53,30,51,42,42,28,81,0.0916666666666667,0.147222222222222,0.0833333333333333,0.141666666666667,0.116666666666667,0.116666666666667,0.0777777777777778,0.225
"L0013",98,0.0171650580688729,0.137253631675375,0.153061224489796,15,22,11,30,29,37,12,21,0.0847457627118644,0.124293785310734,0.0621468926553672,0.169491525423729,0.163841807909605,0.209039548022599,0.0677966101694915,0.11864406779661
"L0014",20,-0.0419193817878028,0.172596352773491,0.35,14,8,11,17,10,10,17,12,0.141414141414141,0.0808080808080808,0.111111111111111,0.171717171717172,0.101010101010101,0.101010101010101,0.171717171717172,0.121212121212121
"L0018",95,0.0115956177350828,0.363505792824269,0.252631578947368,17,23,9,21,24,20,8,17,0.122302158273381,0.165467625899281,0.0647482014388489,0.151079136690647,0.172661870503597,0.143884892086331,0.0575539568345324,0.122302158273381
