"id_libro","cluster_arco","nivel","etapa"
"L0002",3,1,"Basica inicial"
"L0008",4,1,"Basica inicial"
"L0009",2,1,"Basica inicial"
"L0012",5,1,"Basica inicial"
"L0013",2,1,"Basica inicial"
"L0018",3,1,"Basica inicial"
"L0024",1,1,"Basica inicial"
"L0026",3,1,"Basica inicial"
"L0027",2,1,"Basica inicial"
"L0028",4,1,"Basica inicial"
"L0031",4,1,"Basica inicial"
"L0033",1,1,"Basica inicial"
"L0037",4,1,"Basica inicial"
"L0039",4,1,"Basica inicial"
"L0040",5,1,"Basica inicial"
"L0043",4,1,"Basica inicial"
"L0044",1,1,"Basica inicial"
"L0045",3,1,"Basica inicial"
"L0047",1,1,"Basica inicial"
"L0049",5,1,"Basica inicial"
"L0051",2,1,"Basica inicial"
"L0055",4,1,"Basica inicial"
"L0057",3,1,"Basica inicial"
"L0059",1,9,"Media"
"L0060",4,9,"Media"
"L0061",5,9,"Media"
"L0063",2,9,"Media"
"L0064",2,9,"Media"
"L0065",2,9,"Media"
"L0066",3,9,"Media"
"L0067",4,9,"Media"
"L0068",5,9,"Media"
"L0069",1,9,"Media"
"L0071",2,9,"Media"
"L0072",1,9,"Media"
"L0073",5,9,"Media"
"L0074",1,9,"Media"
"L0075",5,9,"Media"
"L0076",1,9,"Media"
"L0077",1,9,"Media"
"L0078",5,9,"Media"
"L0079",1,9,"Media"
"L0080",5,9,"Media"
"L0081",3,9,"Media"
"L0082",5,9,"Media"
"L0083",4,9,"Media"
"L0084",4,9,"Media"
"L0085",5,9,"Media"
"L0086",2,9,"Media"
"L0087",5,9,"Media"
"L0088",3,9,"Media"
"L0089",3,9,"Media"
"L0090",2,9,"Media"
"L0091",3,9,"Media"
"L0093",2,9,"Media"
"L0094",3,9,"Media"
"L0095",5,9,"Media"
"L0096",1,9,"Media"
"L0097",1,9,"Media"
"L0098",4,9,"Media"
"L0099",1,9,"Media"
"L0100",1,9,"Media"
"L0101",1,9,"Media"
"L0102",2,9,"Media"
"L0104",1,9,"Media"
"L0105",1,9,"Media"
"L0106",3,9,"Media"
"L0108",3,9,"Media"
"L0109",3,9,"Media"
"L0110",2,9,"Media"
"L0111",1,9,"Media"
"L0112",3,9,"Media"
"L0113",3,9,"Media"
"L0115",2,9,"Media"
"L0116",2,9,"Media"
"L0117",2,9,"Media"
"L0118",1,9,"Media"
"L0119",5,9,"Media"
"L0120",2,9,"Media"
"L0121",5,9,"Media"
"L0123",4,2,"Basica inicial"
"L0125",1,2,"Basica inicial"
"L0126",3,2,"Basica inicial"
"L0127",3,2,"Basica inicial"
"L0130",4,2,"Basica inicial"
"L0132",4,2,"Basica inicial"
"L0133",1,2,"Basica inicial"
"L0134",4,2,"Basica inicial"
"L0137",2,2,"Basica inicial"
"L0140",4,2,"Basica inicial"
"L0147",3,2,"Basica inicial"
"L0148",1,2,"Basica inicial"
"L0149",3,2,"Basica inicial"
"L0150",3,2,"Basica inicial"
"L0155",1,2,"Basica inicial"
"L0156",4,2,"Basica inicial"
"L0158",3,2,"Basica inicial"
"L0159",5,2,"Basica inicial"
"L0160",1,2,"Basica inicial"
"L0161",5,2,"Basica inicial"
"L0162",5,2,"Basica inicial"
"L0167",1,2,"Basica inicial"
"L0168",4,2,"Basica inicial"
"L0170",1,2,"Basica inicial"
"L0173",1,2,"Basica inicial"
"L0174",1,2,"Basica inicial"
"L0178",4,2,"Basica inicial"
"L0181",3,2,"Basica inicial"
"L0183",4,10,"Media"
"L0184",5,10,"Media"
"L0185",3,10,"Media"
"L0186",4,10,"Media"
"L0187",1,10,"Media"
"L0188",1,10,"Media"
