"etapa","cluster_arco","n","prop"
"Basica inicial",1,28,0.259259259259259
"Basica inicial",2,14,0.12962962962963
"Basica inicial",3,17,0.157407407407407
"Basica inicial",4,28,0.259259259259259
"Basica inicial",5,21,0.194444444444444
"Basica superior",1,38,0.195876288659794
"Basica superior",2,47,0.242268041237113
"Basica superior",3,31,0.15979381443299
"Basica superior",4,40,0.206185567010309
"Basica superior",5,38,0.195876288659794
"Media",1,50,0.218340611353712
"Media",2,40,0.174672489082969
"Media",3,44,0.192139737991266
"Media",4,39,0.170305676855895
"Media",5,56,0.244541484716157
