"metrica","edf","F","p_suavizado","dev_explicada"
"hdd",4.7225528547738,14.3183272337924,0,0.99964561549962
"entropia_shannon",3.98309999878755,58.0052385133685,0,0.998687846945998
"mattr_100",4.49766182259892,11.568442937098,9.01279543330524e-07,0.999657859182211
"hapax_ratio",2.71319834494595,12.6068532124129,1.23448770134038e-06,0.99452673986176
"perfil_mu",1.00001135363437,24.1731766439458,1.86960544118486e-06,0.848110213134444
"dist_dependencia_media",1.34520482038298,24.2538928949654,4.39087188047749e-06,0.997731264828535
"rix",2.43169643092717,12.0894736582717,6.01050049298113e-06,0.997065658919183
"mattr_50",4.28992469871755,7.30400670983041,5.87181661568237e-05,0.999563357341267
"nominalizaciones_x1000",2.71305440246262,8.45337225377708,0.00010173407872327,0.999503808018216
"mtld",3.00618085219027,7.12105285533953,0.000229415933691857,0.998254174645309
"long_oracion_media",1.66284318131405,10.2874436461748,0.000360330891491456,0.996006618298762
"subordinadas_por_oracion",2.81818931975127,6.25014582524549,0.000873153715981845,0.9969485343847
"prop_alegria",3.06464769487682,5.97207415962277,0.000930688347702213,0.998522282553703
"profundidad_arbol_media",2.4195356889684,6.19397413348629,0.00131300616334057,0.996126216399128
"prop_tristeza",1.00059998705518,6.35134376809098,0.0147390373662131,0.99933811894957
"szigriszt_pazos",1.44404869110347,1.94313542294159,0.197080208461235,0.999846890646118
"fernandez_huerta",1.38267283569967,1.89694498084302,0.201976744440204,0.999835727895676
"maas",1.78261201291803,1.07591482720428,0.352986884561409,0.999973233689634
"ari",1.00010545570338,0.837465053260741,0.364423028939957,0.999583318440695
"flesch_kincaid",1.00003577040855,0.670810727329659,0.416580394158333,0.999584170888373
"polaridad_media",1.00005622543894,0.29459517842342,0.58951654126799,0.99878699473482
"prop_miedo",1.00048127521015,0.102519837687475,0.750680924030191,0.999295973582445
"razon_sust_verbo",1.00035692319002,0.0881299845066991,0.768133328359998,0.999986836269524
"yule_k",1.2212461843454,0.106693961886129,0.82547051853049,0.999997271473614
