"metrica","H","gl","p_kw","p_kw_holm","epsilon2","jt_J","jt_p","jt_direccion","cliff_1_vs_12","cliff_basica_ini_vs_media"
"entropia_shannon",218.941926495628,11,8.57845436522671e-41,2.05882904765441e-39,0.380107511277131,106366,0.00199600798403194,"creciente",-0.886363636363636,-0.858940972222222
"maas",151.962686376119,11,5.91819576238864e-27,1.36118502534939e-25,0.263824108291873,49151,0.00199600798403194,"decreciente",0.758417508417508,0.68626469017094
"nominalizaciones_x1000",122.795391665933,11,4.96161195862015e-21,1.09155463089643e-19,0.213186443864467,100096,0.00199600798403194,"creciente",-0.781986531986532,-0.586438301282051
"hdd",91.4887123851082,11,8.51183359976045e-15,1.78748505594969e-13,0.159110804148014,93250,0.00199600798403194,"creciente",-0.614478114478115,-0.528938690356013
"hapax_ratio",79.0609082248942,11,2.24113246869627e-12,4.48226493739255e-11,0.137258521223775,59516,0.00199600798403194,"decreciente",0.632154882154882,0.496327457264957
"szigriszt_pazos",78.9984999976336,11,2.30418583658052e-12,4.48226493739255e-11,0.137150173607003,57980,0.00199600798403194,"decreciente",0.61026936026936,0.392528044871795
"mattr_100",78.8151438567364,11,2.49984917356123e-12,4.49972851241021e-11,0.13730861299083,87793,0.00199600798403194,"creciente",-0.526094276094276,-0.444679991924086
"fernandez_huerta",78.3946746560897,11,3.01332667178737e-12,5.12265534203854e-11,0.136101865722378,58023,0.00199600798403194,"decreciente",0.612794612794613,0.393129006410256
"dist_dependencia_media",70.385373804667,11,1.03198995018866e-10,1.65118392030186e-09,0.122409345747247,93837,0.00199600798403194,"creciente",-0.564814814814815,-0.439834443771452
"rix",68.8283733836928,11,2.0389271054461e-10,3.05839065816916e-09,0.119493703791133,93036.5,0.00199600798403194,"creciente",-0.652356902356902,-0.410957532051282
"mtld",67.1596312197677,11,4.2199870787368e-10,5.90798191023152e-09,0.116596581978763,85282,0.00199600798403194,"creciente",-0.439393939393939,-0.371561164529915
"flesch_kincaid",66.6446761949954,11,5.27924883932712e-10,6.86302349112526e-09,0.115702562838534,91693,0.00199600798403194,"creciente",-0.622053872053872,-0.366085737179487
"ari",61.8900417414001,11,4.12313022835632e-09,4.94775627402758e-08,0.107447989134375,91523,0.00199600798403194,"creciente",-0.624579124579125,-0.371561164529915
"yule_k",58.9245783525212,11,1.46773026421188e-08,1.61450329063307e-07,0.102299615195349,61316,0.00199600798403194,"decreciente",0.513468013468014,0.412293002136752
"perfil_mu",54.8070860487922,11,8.40604851969469e-08,8.40604851969469e-07,0.0953166713892039,61702,0.00199600798403194,"decreciente",0.426767676767677,0.286392085604684
"mattr_50",53.4510800887231,11,1.48612815643079e-07,1.33751534078772e-06,0.092958400154301,82663,0.00199600798403194,"creciente",-0.420875420875421,-0.303688000538394
"prop_alegria",53.3152546318897,11,1.57319015027263e-07,1.33751534078772e-06,0.0925612059581418,62016,0.00199600798403194,"decreciente",0.42003367003367,0.395265758547009
"prop_tristeza",48.6476678867593,11,1.09393022629028e-06,7.65751158403197e-06,0.0844577567478459,91085,0.00199600798403194,"creciente",-0.344276094276094,-0.328258547008547
"subordinadas_por_oracion",46.0529149077662,11,3.16448057623859e-06,1.89868834574315e-05,0.0799529772704274,86406.5,0.00199600798403194,"creciente",-0.498316498316498,-0.273838141025641
"long_oracion_media",44.0603807219071,11,7.09229435516944e-06,3.54614717758472e-05,0.0764937165310887,88385.5,0.00199600798403194,"creciente",-0.511784511784512,-0.304053151709402
"profundidad_arbol_media",43.0763249433973,11,1.05336776477313e-05,4.2134710590925e-05,0.0747852863600648,88009.5,0.00199600798403194,"creciente",-0.45959595959596,-0.296941773504274
"razon_sust_verbo",25.1147399821437,11,0.00877051329037831,0.0263115398711349,0.0436019791356661,85564.5,0.00199600798403194,"creciente",-0.348484848484849,-0.22265625
"prop_miedo",23.464498491066,11,0.0151897772729844,0.0303795545459687,0.0407369765469895,80056.5,0.0479041916167665,"creciente",0.0606060606060606,-0.161057692307692
"polaridad_media",21.2750704325664,11,0.0306306899175589,0.0306306899175589,0.0369358861676499,67080,0.00399201596806387,"decreciente",0.137205387205387,0.207365117521368
