"etapa","lema","n","n_resto","ll"
"Basica inicial","sepo",75,0,472.476744296876
"Basica inicial","patito",68,23,327.503265374579
"Basica inicial","zarevna",39,0,245.687907034376
"Basica inicial","tamborilero",37,8,191.668762490475
"Basica inicial","explicador",26,0,163.791938022917
"Basica inicial","olegario",26,0,163.791938022917
"Basica inicial","brunetiano",24,0,151.192558175
"Basica inicial","cerdito",47,64,150.427584411851
"Basica inicial","huso",39,43,135.974140677572
"Basica inicial","choclo",32,22,130.520156511861
"Basica inicial","macaco",26,8,127.392376173808
"Basica inicial","cobaya",23,3,126.559081881473
"Basica inicial","borrico",40,60,122.641782412448
"Basica inicial","angina",26,10,122.127382767069
"Basica inicial","profecer",52,132,120.040913024121
"Basica inicial","farolito",20,1,118.040755684542
"Basica inicial","fi",25,11,114.140066898687
"Basica inicial","criollista",20,2,112.765027490999
"Basica inicial","cigüeño",38,62,112.00712794876
"Basica inicial","ministrar",52,156,107.319404909919
"Basica inicial","angélicar",17,0,107.094728707292
"Basica inicial","efod",51,151,106.23766741529
"Basica inicial","hilar",43,103,102.914605419066
"Basica inicial","zelo",26,20,102.559413417185
"Basica inicial","soldadito",35,59,101.542421165281
"Basica inicial","quebrantamiento",45,120,100.634720249884
"Basica inicial","orfebre",23,15,95.2246897916352
"Basica inicial","efa",48,153,94.8099673862062
"Basica inicial","cabrito",47,146,94.6048841578515
"Basica inicial","pulguito",15,0,94.4953488593752
"Basica superior","pausanias",469,0,803.977028148798
"Basica superior","higinio",274,0,469.700865059212
"Basica superior","úrgalo",264,0,452.558497721285
"Basica superior","sacerdotisa",291,18,381.448779844097
"Basica superior","dragona",214,0,366.846661031648
"Basica superior","talibán",246,7,365.405397570499
"Basica superior","ateniense",246,13,332.93724233187
"Basica superior","arcipreste",206,3,325.027584222521
"Basica superior","arquero",255,28,285.384822004132
"Basica superior","principito",168,1,276.842529082408
"Basica superior","gólem",159,0,272.563640673047
"Basica superior","foca",287,48,269.718640915954
"Basica superior","copla",289,51,264.30818121427
"Basica superior","patroclo",204,15,256.894735101552
"Basica superior","chalupa",215,21,250.073734036966
"Basica superior","vardeno",139,0,238.278905997192
"Basica superior","proscrito",185,14,231.28850519574
"Basica superior","ovidio",173,11,225.410073910866
"Basica superior","elfa",137,1,224.107815472854
"Basica superior","estuario",170,11,220.640374092223
"Basica superior","césar",154,6,219.447109521774
"Basica superior","heleno",172,12,219.383735467748
"Basica superior","dhol",127,0,217.708065191679
"Basica superior","hamburgués",120,0,205.708408055129
"Basica superior","monje",254,66,182.596267070442
"Basica superior","búfalo",187,29,182.213942664691
"Basica superior","canoa",265,74,180.245454578083
"Basica superior","madriguera",237,57,180.061257219549
"Basica superior","dixo",119,3,179.149980608165
"Basica superior","kukuano",102,0,174.85214684686
"Media","argumentativo",370,4,427.795633650224
"Media","visitadora",309,0,389.14719033899
"Media","elite",302,2,359.292854689386
"Media","caín",294,1,358.407808852083
"Media","egocéntrico",291,4,330.214721576641
"Media","comme",254,2,299.532685737131
"Media","baronés",283,8,295.297807974031
"Media","interiorizado",238,1,288.304571592978
"Media","prometeo",210,1,253.291810748648
"Media","tranco",250,12,235.661494077769
"Media","gendarme",192,2,222.565673535446
"Media","hablante",201,4,219.80668007002
"Media","je",324,39,219.731798382195
"Media","miss",245,15,216.677944090363
"Media","ciudadanía",294,31,212.798583241116
"Media","prestación",199,5,211.261649289439
"Media","psicología",230,14,203.753900235392
"Media","aqui",263,24,202.696287119337
"Media","foro",266,25,202.529104132322
"Media","individual",313,42,199.984775486148
"Media","gendar",167,1,199.595647559787
"Media","emilio",158,0,198.981411241296
"Media","conector",152,0,191.425155118209
"Media","verbal",298,42,184.95926641012
"Media","corifeo",134,0,168.756386748947
"Media","evaluación",182,10,165.856507492408
"Media","vizconde",203,16,165.473434966016
"Media","usuario",139,1,164.698957797407
"Media","soma",149,3,162.720469221632
"Media","percepción",269,40,161.504953596893
