"lema","nivel","residuo"
"comer","1",12.3305123124251
"mas","1",11.0044482773081
"bosque","1",10.5834171462367
"correr","1",10.4068533106807
"hambre","1",9.79079026406933
"cantar","1",9.03899677994781
"gritar","1",9.01947406683126
"flor","1",8.33717765161681
"alma","1",8.01904873698553
"saltar","1",7.98899112060104
"amor","1",7.97706466775283
"niño","1",7.50555615500754
"cielo","1",6.44853775437338
"rico","1",6.21997382165327
"pan","1",6.17407549875266
"amo","2",18.1348894045372
"jefe","2",17.4504556764525
"pequeño","2",15.6145376676612
"bueno","2",14.9529079765882
"escribir","2",11.3379656113316
"flor","2",10.4186060817364
"correr","2",9.49530858887348
"rojo","2",9.35931636288543
"historia","2",9.03980392286405
"niña","2",8.98256091292454
"querer","2",8.97047266889073
"cómo","2",8.70603615166107
"príncipe","2",8.49538974396757
"gustar","2",8.41220192378757
"bosque","2",8.24769931082139
"entonces","3",31.1473582472955
"rey","3",23.6854027179787
"anciano","3",21.6347877155885
"bosque","3",21.5490831945573
"oro","3",20.3141813243873
"gritar","3",20.0722915929066
"joven","3",19.7142786755009
"decir","3",18.3778224143054
"esposa","3",15.1461212663035
"pequeño","3",14.4502132455583
"hija","3",13.9955860019895
"traer","3",13.7601024136396
"hermoso","3",13.2937557670191
"rato","3",12.1126376163963
"saltar","3",11.4751260052536
"jehová","4",184.884847087855
"hijo","4",113.478725480803
"israel","4",109.834238785836
"dios","4",90.5769076354549
"rey","4",74.2327399913503
"tierra","4",69.9461394203896
"pueblo","4",67.6014883798171
"judá","4",65.3243076113048
"david","4",65.1734016523705
"siervo","4",63.1405277735007
"jerusalén","4",61.4564765790843
"moisés","4",60.5462416935219
"jesús","4",56.6349192995954
"delante","4",55.7474176574714
"sacerdote","4",55.6550861052638
"señorita","5",32.2468106330428
"señora","5",28.3274386078544
"niña","5",20.3671588864152
"bueno","5",17.405048812814
"clase","5",15.0462242142804
"ir","5",13.7961810975217
"página","5",13.4001559421158
"gustar","5",12.7758384170352
"coger","5",12.070107273104
"gran","5",10.9775543186203
"meter","5",10.5677045757363
"muchacho","5",10.5070763484953
"viejo","5",10.3619128593577
"tarde","5",9.7986737957096
"gritar","5",9.6652663748926
"jehová","6",86.9565367189845
"david","6",56.1847021158733
"israel","6",50.0160741343793
"hijo","6",49.3416016720447
"mas","6",39.6713491666337
"dios","6",34.6439938583558
"rey","6",33.8035592164937
"pueblo","6",33.7860051169715
"judá","6",30.360693797787
"siervo","6",29.3391606085973
"tierra","6",28.2899493881354
"jerusalén","6",27.6110153173632
"delante","6",27.4724205652579
"príncipe","6",26.6821136006196
"moisés","6",26.6200323935544
"página","7",43.4342453540699
"hijo","7",41.630302404756
"rey","7",39.8255374568144
"jesús","7",34.629053922589
"dios","7",33.2558142033091
"gee","7",33.1696189663063
"padre","7",32.3839842692045
"tierra","7",29.7684763336082
"espada","7",25.8999726741665
"hombre","7",24.7947043699773
"dedo","7",24.1298597872912
"pueblo","7",23.4542680292681
"jehová","7",22.5888146420597
"hermano","7",21.7467931133602
"capitán","7",19.7997392139269
"página","8",59.0395422359052
"amor","8",39.2990317566926
"arma","8",33.3450745682439
"libro","8",25.6697863835076
"punto","8",25.2527780828434
"buen","8",24.123006115941
"caso","8",23.3806723701959
"embargo","8",22.06030181479
"caballo","8",20.5204431181275
"quizá","8",19.8250019090393
"resultar","8",19.5464203402183
"encontrar","8",18.8117599566011
"parte","8",18.4858090074846
"esposa","8",18.399272118782
"país","8",17.7707987277609
"gee","9",167.133407454713
"jehová","9",59.361254145028
"conde","9",55.170076695793
"israel","9",45.5939770407878
"dios","9",40.1396647838627
"señor","9",33.5426710030329
"hijo","9",32.0703897127687
"moisés","9",28.9772144204558
"oh","9",26.7301401496506
"alma","9",22.8769154118592
"judá","9",22.8658266075134
"jerusalén","9",22.1843503097152
"rey","9",21.7727051640909
"mas","9",21.3012157756214
"david","9",20.3769212290004
"cambio","10",53.0002462976329
"conde","10",45.5173460142848
"quijote","10",44.1650736848728
"sancho","10",41.9101161218852
"señor","10",32.9973091365304
"merced","10",30.1157841568884
"don","10",29.6305687648617
"caballero","10",27.399852000134
"humano","10",25.2041420979844
"persona","10",22.1583445511432
"mas","10",20.3751877093049
"oh","10",18.9885375185259
"mayor","10",18.8300400434299
"entender","10",18.3765741625439
"parecer","10",17.6667297599223
"sancho","11",57.7930836685315
"don","11",57.0943493108181
"quijote","11",55.6907326473389
"merced","11",41.1605895037068
"carta","11",29.5955244359705
"caballero","11",23.4711582131549
"señora","11",22.7088476094359
"pensamiento","11",21.3972066497574
"razón","11",18.998832614913
"tal","11",18.8250606718111
"deseo","11",17.0424894395806
"tener","11",16.6887634786876
"general","11",16.3516983289753
"querer","11",16.1237056768133
"pedro","11",14.9834138331777
"pensar","12",43.625192320026
"recordar","12",33.9662229573872
"vez","12",31.5512649727743
"incluso","12",29.1305089868586
"calle","12",27.0081041145831
"cara","12",26.4725246608154
"momento","12",26.2429552454161
"empezar","12",25.0767863374944
"tipo","12",24.8495015712527
"saber","12",24.4702038797246
"preguntar","12",24.4467549849124
"solo","12",24.3589546774779
"sólo","12",23.8413308836655
"sentir","12",23.6044773662405
"único","12",23.1209879631782
