"lema","nivel","residuo"
"comer","1",12.2990443300101
"mas","1",11.5191871816111
"bosque","1",10.9801452359473
"hambre","1",10.7722173159233
"correr","1",10.3868557971814
"cantar","1",9.07547484269217
"gritar","1",8.99222768512976
"flor","1",8.53518778016636
"alma","1",8.16073368082576
"saltar","1",7.97445396405999
"amor","1",7.74017749770276
"niño","1",7.29942260223531
"pan","1",6.46827953414825
"cielo","1",6.31066849261736
"rico","1",6.2908794408109
"pequeño","2",16.2976898515819
"bueno","2",14.208329307571
"escribir","2",11.3390767911151
"amo","2",10.2957002665942
"flor","2",10.1496042590548
"correr","2",9.29927474023799
"niña","2",9.07514569738282
"rojo","2",8.70047614997105
"cómo","2",8.68595612759083
"bosque","2",8.667162497631
"historia","2",8.5892992770895
"gustar","2",8.37328547506438
"querer","2",8.12031732452176
"dinero","2",6.9869242192152
"ventana","2",6.96348224002252
"entonces","3",30.3221417903694
"rey","3",24.4977120036664
"bosque","3",21.8579952169254
"anciano","3",21.2601648394687
"gritar","3",19.7310065487486
"joven","3",18.7130580571683
"decir","3",17.489199842079
"oro","3",16.445847859516
"pequeño","3",15.0913460186005
"esposa","3",14.3569187349096
"hija","3",13.9215122868581
"traer","3",13.2101971945079
"hermoso","3",13.095585158099
"rato","3",11.8395547453667
"saltar","3",11.0914601684672
"hijo","4",120.43498261601
"tierra","4",78.4260068401615
"pueblo","4",72.260373670215
"rey","4",68.6118616251315
"siervo","4",63.3155850051577
"delante","4",59.4106039266029
"sacerdote","4",59.0326414286572
"decir","4",50.7412688438703
"ciudad","4",40.2625300875168
"monte","4",39.9740323608016
"hermano","4",39.2419543655017
"mas","4",39.2031071955626
"pecado","4",36.9713240291682
"ejército","4",36.4758933579224
"día","4",34.5397243406722
"señorita","5",31.8073160824581
"señora","5",28.4308875441359
"niña","5",20.2525687784952
"bueno","5",17.332186564301
"clase","5",14.6203266898459
"gustar","5",12.40724232195
"ir","5",12.137269311597
"coger","5",11.7825850698358
"muchacho","5",10.3749770836638
"meter","5",10.3200640840941
"pequeño","5",9.58665891680896
"tarde","5",9.50895969909023
"gritar","5",9.40551973659649
"perro","5",9.22119671197689
"tirar","5",9.20044266074133
"hijo","6",51.5662964770001
"mas","6",38.7981807832276
"pueblo","6",34.2757106139739
"tierra","6",32.532321986469
"rey","6",30.144660884556
"siervo","6",28.7831590410743
"delante","6",28.7711592027756
"sacerdote","6",25.8585176261295
"decir","6",22.8439006302584
"niño","6",19.3370372178989
"niña","6",18.7232052535536
"ciudad","6",18.6995533358459
"monte","6",16.3674308672445
"responder","6",15.066821168533
"perro","6",15.0476765443424
"hijo","7",42.1488381251172
"rey","7",37.8164490543796
"nave","7",31.9061370144543
"tierra","7",30.5248225680525
"padre","7",29.7212282437909
"espada","7",26.2587933197804
"dios","7",24.6680192869483
"hombre","7",24.6101577393922
"pueblo","7",23.8637113579923
"hermano","7",23.1810202144448
"capitán","7",20.0389442093839
"ciudad","7",19.8338765465656
"oro","7",18.2957413233471
"matar","7",18.1179073567428
"mar","7",17.7350272728168
"arma","8",32.6719118845914
"amor","8",27.2780573536023
"nave","8",26.7092419387437
"punto","8",24.3400519922099
"caso","8",22.6426284981783
"embargo","8",21.2276654407583
"caballo","8",19.8444735326886
"parte","8",19.3962945110098
"quizá","8",19.1103080936253
"resultar","8",18.9079507186759
"encontrar","8",17.6966222808168
"esposa","8",17.6466139591855
"país","8",17.6205245131518
"asunto","8",17.1497361639324
"intentar","8",16.7013235437398
"conde","9",56.3394896390939
"señor","9",34.4667101657664
"hijo","9",34.1203149906323
"rey","9",27.6271949920343
"mas","9",22.8705400286426
"decir","9",22.1063009087101
"tierra","9",21.0069347958279
"casa","9",19.6562443122402
"pueblo","9",19.5903311040172
"pecado","9",18.2586127111394
"esposa","9",17.8041571028985
"delante","9",16.8854449560338
"sacerdote","9",15.8346512699485
"pobre","9",15.6892358185147
"alma","9",15.5101956685418
"cambio","10",52.8610793659318
"conde","10",49.2016330972422
"señor","10",32.7798627720436
"merced","10",29.9504839230156
"caballero","10",26.5111648330738
"mas","10",22.2551058437911
"persona","10",21.561622800218
"mayor","10",18.6777212916675
"entender","10",18.0662395048364
"parecer","10",16.9083669368095
"país","10",16.5097113829223
"movimiento","10",16.3608715312152
"cosa","10",16.2048284333394
"bien","10",14.5771574602836
"tener","10",14.5748361558117
"don","11",42.8821999567722
"merced","11",40.9728379284008
"carta","11",24.5463370565174
"señora","11",22.9554015800814
"pensamiento","11",20.8068037114847
"caballero","11",20.326474456641
"razón","11",18.3250051051979
"tal","11",18.0909988087266
"deseo","11",16.6438077226688
"querer","11",15.8501161389336
"general","11",15.7409591050195
"tener","11",14.679641670961
"menos","11",12.5427898135498
"mismo","11",12.5075804972343
"pensar","11",12.5073099163378
"pensar","12",40.3552987022068
"recordar","12",32.5141195547615
"vez","12",28.6032558694471
"incluso","12",27.9993821764768
"cara","12",25.1780536285749
"momento","12",24.4014833298943
"tipo","12",23.9710785345031
"calle","12",23.9259107691374
"empezar","12",23.4859211335281
"preguntar","12",22.8345457223333
"solo","12",22.6367603769258
"sólo","12",21.9512364978952
"único","12",21.9051257558288
"sentir","12",21.7285539189911
"saber","12",21.463159420535
