"etapa","lema","n"
"Basica inicial","decir",10259
"Basica inicial","hacer",5938
"Basica inicial","hijo",5682
"Basica inicial","tener",4302
"Basica inicial","ser",3874
"Basica inicial","dar",3783
"Basica inicial","día",3346
"Basica inicial","tierra",3277
"Basica inicial","ver",3224
"Basica inicial","rey",3141
"Basica inicial","entonces",3060
"Basica inicial","casa",3049
"Basica inicial","hombre",2742
"Basica inicial","así",2335
"Basica inicial","haber",2315
"Basica inicial","pueblo",2231
"Basica inicial","mano",2126
"Basica inicial","padre",2005
"Basica inicial","venir",2004
"Basica inicial","aquí",1882
"Basica superior","decir",53101
"Basica superior","hacer",48655
"Basica superior","tener",42719
"Basica superior","ver",34424
"Basica superior","dar",29373
"Basica superior","ser",27108
"Basica superior","hombre",21685
"Basica superior","haber",20708
"Basica superior","saber",19896
"Basica superior","así",19077
"Basica superior","vez",18925
"Basica superior","hijo",18604
"Basica superior","día",18292
"Basica superior","mano",16760
"Basica superior","casa",15711
"Basica superior","bien",15495
"Basica superior","señor",15402
"Basica superior","mismo",15096
"Basica superior","volver",15010
"Basica superior","llegar",14773
"Media","decir",69320
"Media","hacer",62376
"Media","tener",59138
"Media","ver",44243
"Media","ser",37197
"Media","dar",35029
"Media","vez",28855
"Media","saber",28685
"Media","haber",27201
"Media","hombre",22235
"Media","querer",21813
"Media","día",21197
"Media","mismo",21050
"Media","así",20561
"Media","bien",19902
"Media","señor",19719
"Media","mano",19607
"Media","ir",18947
"Media","casa",18736
"Media","volver",18544
