"id_libro","titulo","nivel_asignado","nivel_predicho","delta","modelo","desajustado_modelo","n_metricas_extremas","metricas"
"L0150","Gazapito quiere comer torta",2,12,10,"polr",TRUE,2,"szigriszt_pazos (z=-3.2); entropia_shannon (z=2.5)"
"L0181","Yo sí, yo no",2,12,10,"polr",TRUE,2,"szigriszt_pazos (z=-3.2); entropia_shannon (z=2.5)"
"L0425","El cerdito",12,3,-9,"polr",TRUE,3,"yule_k (z=2.6); entropia_shannon (z=-5.3); prop_alegria (z=2.9)"
"L0078","El delantal blanco",9,1,-8,"polr",TRUE,3,"mattr_100 (z=-3.6); yule_k (z=3.2); entropia_shannon (z=-3.4)"
"L0663","La Araucana",8,1,-7,"polr",TRUE,6,"mattr_100 (z=2.8); mtld (z=5.8); entropia_shannon (z=-4.2); dist_dependencia_media (z=6); prop_alegria (z=-2.8); prop_tristeza (z=-3.6)"
"L0711","Solo las flores son nuestra riqueza",8,1,-7,"polr",TRUE,6,"mattr_100 (z=-6.4); mtld (z=-2.6); entropia_shannon (z=-5.4); polaridad_media (z=5.4); prop_alegria (z=9.9); prop_tristeza (z=-4.7)"
"L0485","Guillermo",5,12,7,"polr",TRUE,0,NA
"L0515","El jinete sin cabeza",6,12,6,"polr",TRUE,6,"ari (z=6.4); rix (z=7.2); szigriszt_pazos (z=-5.3); long_oracion_media (z=6.1); dist_dependencia_media (z=3.4); subordinadas_por_oracion (z=4.5)"
"L0573","Castilla",7,1,-6,"polr",TRUE,6,"szigriszt_pazos (z=2.7); yule_k (z=3.2); entropia_shannon (z=-6.4); subordinadas_por_oracion (z=-3.2); polaridad_media (z=-4.5); prop_tristeza (z=3.3)"
"L0505","Capítulo XXV: donde se apunta la aventura del rebuzno (Don Quijote de la Mancha)",6,12,6,"polr",TRUE,5,"ari (z=4.7); rix (z=4.4); long_oracion_media (z=5.3); dist_dependencia_media (z=2.7); subordinadas_por_oracion (z=5.4)"
"L0544","Las aventuras del barón de Munchausen",6,12,6,"polr",TRUE,5,"ari (z=3.8); rix (z=4.4); szigriszt_pazos (z=-3.1); long_oracion_media (z=3.5); subordinadas_por_oracion (z=2.7)"
"L0611","Inti y Mama Quilla",7,1,-6,"polr",TRUE,5,"mattr_100 (z=-2.8); entropia_shannon (z=-5.8); polaridad_media (z=4); prop_alegria (z=9.7); prop_tristeza (z=-5.3)"
"L0662","La Araucana",7,1,-6,"polr",TRUE,5,"mtld (z=6.5); entropia_shannon (z=-6.2); dist_dependencia_media (z=6.5); prop_alegria (z=-3); prop_tristeza (z=-2.8)"
"L0033","La hormiguita",1,7,6,"polr",TRUE,3,"mattr_100 (z=-3.7); yule_k (z=2.8); prop_tristeza (z=4.3)"
"L0427","El drama del desencantado",12,6,-6,"polr",TRUE,3,"mattr_100 (z=-2.5); yule_k (z=2.6); entropia_shannon (z=-5.7)"
"L0604","Fábula 11: los dos amigos",7,1,-6,"polr",TRUE,3,"entropia_shannon (z=-5.1); polaridad_media (z=5.1); prop_alegria (z=5)"
"L0647","Rig Veda",7,1,-6,"polr",TRUE,3,"mtld (z=-2.8); entropia_shannon (z=-6.3); subordinadas_por_oracion (z=-2.7)"
"L0650","Si",7,1,-6,"polr",TRUE,2,"entropia_shannon (z=-5.5); prop_tristeza (z=-3.8)"
"L0443","La casa de Asterión",12,6,-6,"polr",TRUE,1,"entropia_shannon (z=-4.1)"
"L0002","10 cuentos para abrir el apetito",1,7,6,"polr",TRUE,0,NA
"L0008","El labrador y el diablo",1,7,6,"polr",TRUE,0,NA
"L0013","El negrito zambo",1,7,6,"polr",TRUE,0,NA
"L0031","La flor Lililá,",1,7,6,"polr",TRUE,0,NA
"L0051","Mira lo que tengo",1,7,6,"polr",TRUE,0,NA
"L0507","Corazón",6,12,6,"polr",TRUE,0,NA
"L0523","El príncipe y el mendigo",6,12,6,"polr",TRUE,0,NA
"L0553","Pacha Pulai",6,12,6,"polr",TRUE,0,NA
"L0559","Tom Sawyer",6,12,6,"polr",TRUE,0,NA
"L0564","Cuentos escritos a máquina",6,12,6,"polr",TRUE,0,NA
"L0638","No se culpe a nadie",7,12,5,"polr",TRUE,6,"ari (z=3.7); rix (z=3.4); szigriszt_pazos (z=-2.7); mattr_100 (z=-2.6); long_oracion_media (z=3.8); subordinadas_por_oracion (z=5.3)"
"L0513","El huevo de yegua (Pedro Urdemales)",6,1,-5,"polr",TRUE,5,"mattr_100 (z=-5.6); mtld (z=-4.8); yule_k (z=6); entropia_shannon (z=-3.9); subordinadas_por_oracion (z=2.6)"
"L0174","Tranquila Tragaleguas",2,7,5,"polr",TRUE,4,"szigriszt_pazos (z=-3.8); dist_dependencia_media (z=3.6); polaridad_media (z=2.8); prop_alegria (z=4.4)"
"L0503","¿Buena suerte o mala suerte? (cuento sufí)",6,1,-5,"polr",TRUE,4,"mattr_100 (z=-3.5); yule_k (z=2.7); entropia_shannon (z=-3.5); polaridad_media (z=-2.6)"
"L0036","La pequeña oruga glotona",1,6,5,"polr",TRUE,3,"mattr_100 (z=-3.5); mtld (z=-3.2); prop_tristeza (z=2.7)"
"L0356","Las consignas de enseñanza de la lengua. Un análisis desde el interaccionismo socio-discursivo",12,7,-5,"polr",TRUE,3,"mattr_100 (z=-2.7); yule_k (z=3.3); polaridad_media (z=5.1)"
"L0626","Las metamorfosis",7,12,5,"polr",TRUE,3,"mattr_100 (z=3.7); mtld (z=4.5); yule_k (z=-2.5)"
"L0344","La noche boca arriba",12,7,-5,"polr",TRUE,2,"entropia_shannon (z=-2.7); polaridad_media (z=-3)"
"L0431","El otro yo",12,7,-5,"polr",TRUE,2,"entropia_shannon (z=-6); prop_tristeza (z=4.4)"
"L0442","La bandera de Chile",12,7,-5,"polr",TRUE,2,"yule_k (z=4.3); entropia_shannon (z=-3.2)"
"L0444","La ciudad lucía",12,7,-5,"polr",TRUE,2,"mattr_100 (z=-5.8); mtld (z=-3.4)"
"L0449","La señorita Cora",12,7,-5,"polr",TRUE,2,"subordinadas_por_oracion (z=3.2); prop_tristeza (z=3)"
"L0519","El picapedrero (cuento popular chino)",6,1,-5,"polr",TRUE,2,"polaridad_media (z=2.8); prop_tristeza (z=-3.7)"
"L0586","El conde Lucanor",7,12,5,"polr",TRUE,2,"long_oracion_media (z=3); subordinadas_por_oracion (z=6.2)"
"L0666","Don Quijote de la Mancha: primera parte",7,12,5,"polr",TRUE,2,"long_oracion_media (z=2.9); subordinadas_por_oracion (z=5.4)"
"L0690","El ruiseñor y la rosa",8,3,-5,"polr",TRUE,2,"mattr_100 (z=-3.8); prop_alegria (z=4.1)"
"L0162","Las tres hilanderas",2,7,5,"polr",TRUE,1,"prop_tristeza (z=3.1)"
"L0178","Vamos a buscar un tesoro. Historia de cómo el pequeño oso y el pequeño tigre fueron en busca de la felicidad.",2,7,5,"polr",TRUE,1,"entropia_shannon (z=2.9)"
"L0409","A puerta cerrada",12,7,-5,"polr",TRUE,1,"szigriszt_pazos (z=3)"
"L0419","Desde el jardín",12,7,-5,"polr",TRUE,1,"polaridad_media (z=3.1)"
"L0424","El cepillo de dientes",12,7,-5,"polr",TRUE,1,"szigriszt_pazos (z=3.6)"
"L0434","El vestido blanco",12,7,-5,"polr",TRUE,1,"mattr_100 (z=-3.6)"
"L0439","Fuegos",12,7,-5,"polr",TRUE,1,"polaridad_media (z=-3.4)"
"L0461","Pedro Páramo",12,7,-5,"polr",TRUE,1,"szigriszt_pazos (z=2.8)"
"L0530","Felicidad clandestina",6,1,-5,"polr",TRUE,1,"prop_alegria (z=2.7)"
"L0600","El vaso de leche",7,12,5,"polr",TRUE,1,"dist_dependencia_media (z=4.2)"
"L0658","Sub-Terra",7,12,5,"polr",TRUE,1,"rix (z=2.5)"
"L0685","El contador de historias",8,3,-5,"polr",TRUE,1,"prop_alegria (z=2.5)"
"L0026","Hansel y Gretel",1,6,5,"polr",TRUE,0,NA
"L0040","Las tres plumas",1,6,5,"polr",TRUE,0,NA
"L0044","Los músicos de Bremen",1,6,5,"polr",TRUE,0,NA
"L0049","Madre Nieve",1,6,5,"polr",TRUE,0,NA
"L0127","Caperucita roja tal como se la contaron a Jorge",2,7,5,"polr",TRUE,0,NA
"L0137","El fantasma de palacio",2,7,5,"polr",TRUE,0,NA
"L0149","Franz se mete en problemas de amor",2,7,5,"polr",TRUE,0,NA
"L0155","La hormiguita Cantora y el duende Melodía",2,7,5,"polr",TRUE,0,NA
"L0159","La reina de las abejas",2,7,5,"polr",TRUE,0,NA
"L0170","Rosa Caramelo",2,7,5,"polr",TRUE,0,NA
"L0406","¿Sueñan los androides con ovejas eléctricas?",12,7,-5,"polr",TRUE,0,NA
"L0417","Del amor y otros demonios",12,7,-5,"polr",TRUE,0,NA
"L0423","El baile",12,7,-5,"polr",TRUE,0,NA
"L0426","El denario del sueño",12,7,-5,"polr",TRUE,0,NA
"L0428","El extranjero",12,7,-5,"polr",TRUE,0,NA
"L0429","El libro de arena",12,7,-5,"polr",TRUE,0,NA
"L0430","El llano en llamas",12,7,-5,"polr",TRUE,0,NA
"L0432","El padre mío",12,7,-5,"polr",TRUE,0,NA
"L0459","Otra vuelta de tuerca",12,7,-5,"polr",TRUE,0,NA
"L0463","Siete días de la señora K.",12,7,-5,"polr",TRUE,0,NA
"L0465","Un tranvía llamado deseo",12,7,-5,"polr",TRUE,0,NA
"L0467","Una sombra ya pronto serás",12,7,-5,"polr",TRUE,0,NA
"L0543","La vendedora de fósforos",6,1,-5,"polr",TRUE,0,NA
"L0569","Adiós al séptimo de línea",7,12,5,"polr",TRUE,0,NA
"L0571","Bajo la misma estrella",7,12,5,"polr",TRUE,0,NA
"L0578","Cuentos de amor, de locura y de muerte",7,12,5,"polr",TRUE,0,NA
"L0583","El capitán Alatriste",7,12,5,"polr",TRUE,0,NA
"L0584","El capitán Alatriste",7,12,5,"polr",TRUE,0,NA
"L0592","El fantasma de Canterville",7,12,5,"polr",TRUE,0,NA
"L0594","El libro de las tierras vírgenes",7,12,5,"polr",TRUE,0,NA
"L0602","en Mitos griegos 1",7,12,5,"polr",TRUE,0,NA
"L0627","Las minas del rey Salomón",7,12,5,"polr",TRUE,0,NA
"L0628","Las minas del rey Salomón",7,12,5,"polr",TRUE,0,NA
"L0633","Memoria del fuego I: Los nacimientos",7,12,5,"polr",TRUE,0,NA
"L0635","Mitos de memoria del fuego",7,12,5,"polr",TRUE,0,NA
"L0636","Mitos griegos",7,12,5,"polr",TRUE,0,NA
"L0637","Momentos estelares de la humanidad",7,12,5,"polr",TRUE,0,NA
"L0656","Vuelo Nocturno",7,12,5,"polr",TRUE,0,NA
"L0660","La Odisea",7,12,5,"polr",TRUE,0,NA
"L0664","La Ilíada",7,12,5,"polr",TRUE,0,NA
"L0669","Sub-Sole",7,12,5,"polr",TRUE,0,NA
"L0721","Los juegos del hambre",12,7,-5,"polr",TRUE,0,NA
"L0355","Las consignas de enseñanza de la lengua. Un análisis desde el interaccionismo socio-discursivo",11,7,-4,"polr",TRUE,3,"mattr_100 (z=-3); yule_k (z=2.8); polaridad_media (z=3)"
"L0491","Las dos ranas (cuentos de la Pachatantra)",5,1,-4,"polr",TRUE,3,"mattr_100 (z=-4.5); yule_k (z=2.6); prop_alegria (z=-3.1)"
"L0667","Don Quijote de la Mancha: primera parte",8,12,4,"polr",TRUE,3,"ari (z=2.8); long_oracion_media (z=2.9); subordinadas_por_oracion (z=5.1)"
"L0702","Libro de buen amor",8,12,4,"polr",TRUE,3,"ari (z=2.8); rix (z=2.7); dist_dependencia_media (z=3.4)"
"L0262","La astuta hija del campesino",3,7,4,"polr",TRUE,2,"long_oracion_media (z=4.4); dist_dependencia_media (z=2.7)"
