"id_libro","titulo","nivel","archivo","tipo_match"
"L0001","¿Para qué quiere el ratón mi diente?",1,"0002_¿Para qué quiere el ratón mi diente_.pdf","numero_catalogo"
"L0002","10 cuentos para abrir el apetito",1,"0005_10 cuentos para abrir el apetito.pdf","numero_catalogo"
"L0003","Burrito y el regalo",1,"0020_El burrito y el regalo.pdf","numero_catalogo"
"L0004","Cebra tiene hipo",1,"0025_La cebra tiene hipo.pdf","numero_catalogo"
"L0005","Donde viven los monstruos",1,"0043_Donde viven los monstruos.pdf","numero_catalogo"
"L0006","El cuervo y la vasija",1,"0049_El cuervo y la vasija.pdf","numero_catalogo"
"L0007","El joven y la grulla",1,"0052_El joven y la grulla.pdf","numero_catalogo"
"L0008","El labrador y el diablo",1,"0053_El labrador y el diablo.pdf","numero_catalogo"
"L0009","El león que no sabía escribir",1,"0054_El león que no sabia escribir.pdf","numero_catalogo"
"L0010","El león y el ratón",1,"0055_El león y el ratón.pdf","numero_catalogo"
"L0011","El león y los cuatro bueyes",1,"0056_El león y los cuatro bueyes.pdf","numero_catalogo"
"L0012","El lobo y los siete cabritos",1,"0058_El lobo y los siete cabritos.pdf","numero_catalogo"
"L0013","El negrito zambo",1,"0062_El negrito zambo.pdf","numero_catalogo"
"L0014","El pastorcito mentiroso",1,"0063_El pastorcito mentiroso.pdf","numero_catalogo"
"L0015","El regalo del sol",1,"0065_El regalo del sol.pdf","numero_catalogo"
"L0016","El rey mocho",1,"0067_El rey mocho.pdf","numero_catalogo"
"L0017","El tigre y el ratón",1,"0071_El tigre y el ratón.pdf","numero_catalogo"
"L0018","El tonto Perico,",1,"0073_El tonto perico.pdf","numero_catalogo"
"L0019","El topo que quería saber quién se había hecho eso en su cabeza",1,"0074_El topo que quería saber quién se había hecho eso en su cabeza.pdf","numero_catalogo"
"L0020","El valiente Teo",1,"0075_El valiente Teo.pdf","numero_catalogo"
"L0021","El viaje de Babar",1,"0076_El viaje de Babar.pdf","numero_catalogo"
"L0022","Elmer",1,"0078_Elmer.pdf","numero_catalogo"
"L0023","Fernando furioso",1,"0084_Fernando furioso.pdf","numero_catalogo"
"L0024","Frederick",1,"085_Frederick.pdf","numero_catalogo"
"L0025","Hamamelis, Miosotis y el Señor Sorpresa",1,"0091_Hamamelis, Miosotis y el.pdf","numero_catalogo"
"L0026","Hansel y Gretel",1,"0092_Hansel y Gretel.pdf","numero_catalogo"
"L0027","Historias de ratones",1,"0095_Historias de ratones.pdf","numero_catalogo"
"L0028","Juanito y las semillas mágicas",1,"0097_Juanito y las semillas.pdf","numero_catalogo"
"L0029","La cebra Camila",1,"0101_La cebra Camila.pdf","numero_catalogo"
"L0030","La cigarra y la hormiga",1,"0102_La cigarra y la hormiga.pdf","numero_catalogo"
"L0031","La flor Lililá,",1,"0103_La flor de lililá.pdf","numero_catalogo"
"L0032","La gallina roja y el grano de trigo",1,"0105_La gallina roja y el grano de trigo.pdf","numero_catalogo"
"L0033","La hormiguita",1,"0107_La hormiguita.pdf","numero_catalogo"
"L0034","La liebre y la tortuga",1,"0108_La liebre y la tortuga.pdf","numero_catalogo"
"L0035","La pequeña noche",1,"0112_La pequeña noche.pdf","numero_catalogo"
