"id_libro","titulo","titulo_norm","nivel","etapa","n_palabras","n_oraciones","long_oracion_media","letras_por_palabra","silabas_por_palabra","ari","rix","flesch_kincaid","fernandez_huerta","szigriszt_pazos","perfil_mu","tokens","tipos","ttr","mtld","hdd","yule_k","entropia_shannon","hapax_ratio","maas","mattr_50","mattr_100","zipf_pendiente","inflesz","prop_ADJ","prop_ADP","prop_ADV","prop_AUX","prop_CCONJ","prop_DET","prop_NOUN","prop_NUM","prop_PRON","prop_PROPN","prop_SCONJ","prop_VERB","n_palabras_anot","razon_sust_verbo","nominalizaciones_x1000","dist_dependencia_media","profundidad_arbol_media","subordinadas_por_oracion","n_oraciones_af","polaridad_media","polaridad_sd","prop_oraciones_negativas","n_anger","n_anticipation","n_disgust","n_fear","n_joy","n_sadness","n_surprise","n_trust","prop_ira","prop_anticipacion","prop_asco","prop_miedo","prop_alegria","prop_tristeza","prop_sorpresa","prop_confianza","titulo_duplicado","contenido_duplicado"
"L0002","10 cuentos para abrir el apetito","10 cuentos para abrir el apetito",1,"Basica inicial",4092,293,13.9658703071672,4.25806451612903,1.87536656891496,5.60841902455136,2.72696245733788,11.9860149329917,80.072818151792,76.033792449431,70.3730339889309,4092,1120,0.273704789833822,58.3409793096018,0.825536562956908,128.221482634499,8.24463239429599,0.626785714285714,0.0431330826771537,0.75100173138759,0.637633358377169,-0.915608206440615,"bastante facil",0.0511753183153771,0.139079333986288,0.0548481880509305,0.0279138099902057,0.0472575905974535,0.167238001958864,0.205925563173359,0.00587659157688541,0.071743388834476,0.0345249755142018,0.0320763956904995,0.162340842311459,4092,1.2684766214178,3.66568914956012,2.58620689655172,4.59044368600683,1.01706484641638,293,0.0103819505402698,0.168416932134587,0.296928327645051,79,176,93,159,135,152,99,157,0.0752380952380952,0.167619047619048,0.0885714285714286,0.151428571428571,0.128571428571429,0.144761904761905,0.0942857142857143,0.14952380952381,FALSE,FALSE
"L0005","Donde viven los monstruos","donde viven los monstruos",1,"Basica inicial",360,24,15,4.17777777777778,1.74444444444444,5.74733333333333,2.95833333333333,10.8444444444444,86.8733333333333,83.1561111111111,62.5982722580884,360,155,0.430555555555556,61.7049071618037,0.783484160086543,164.814814814815,6.55501083904018,0.606451612903226,0.0560043741946261,0.750546623794213,0.644827586206896,NA,"muy facil",0.0361111111111111,0.136111111111111,0.05,0.00833333333333333,0.0888888888888889,0.152777777777778,0.177777777777778,0.00555555555555556,0.0916666666666667,0.0666666666666667,0.0305555555555556,0.155555555555556,360,1.14285714285714,5.55555555555556,2.48809523809524,5,0.75,24,-0.0586873307809596,0.149005751942845,0.458333333333333,22,10,21,35,6,12,12,6,0.17741935483871,0.0806451612903226,0.169354838709677,0.282258064516129,0.0483870967741935,0.0967741935483871,0.0967741935483871,0.0483870967741935,FALSE,FALSE
"L0006","El cuervo y la vasija","el cuervo y la vasija",1,"Basica inicial",210,27,7.77777777777778,4.07142857142857,1.84285714285714,1.63531746031746,0.777777777777778,9.18904761904762,88.3352380952381,84.2472222222222,96.2915292414126,210,113,0.538095238095238,64.205298013245,0.805981398162475,128.344671201814,6.35687013238992,0.690265486725664,0.049908344397721,0.79416149068323,0.676846846846847,NA,"muy facil",0.0380952380952381,0.104761904761905,0.0761904761904762,0.0571428571428571,0.0666666666666667,0.161904761904762,0.176190476190476,0,0.0761904761904762,0.0285714285714286,0.0238095238095238,0.19047619047619,210,0.925,4.76190476190476,1.99453551912568,3.62962962962963,0.444444444444444,27,-0.0227444064045371,0.12591133286644,0.259259259259259,3,8,1,7,4,7,5,3,0.0789473684210526,0.210526315789474,0.0263157894736842,0.184210526315789,0.105263157894737,0.184210526315789,0.131578947368421,0.0789473684210526,FALSE,FALSE
"L0008","El labrador y el diablo","el labrador y el diablo",1,"Basica inicial",500,57,8.7719298245614,4.334,1.884,3.3691049122807,1.64912280701754,10.062252631579,84.8526315789474,80.6898701754386,66.981493078373,500,265,0.53,85.8185513673318,0.828566454563709,131.12,7.2342163560547,0.762264150943396,0.0378511134773935,0.796186252771618,0.71209476309227,NA,"muy facil",0.0521042084168337,0.108216432865731,0.0661322645290581,0.0180360721442886,0.0420841683366733,0.192384769539078,0.216432865731463,0,0.0921843687374749,0.00601202404809619,0.0160320641282565,0.190380761523046,500,1.13684210526316,0,2.14446952595937,3.92982456140351,0.508771929824561,57,-0.0281841851333035,0.181998038950681,0.263157894736842,17,32,13,34,5,32,8,12,0.111111111111111,0.209150326797386,0.0849673202614379,0.222222222222222,0.0326797385620915,0.209150326797386,0.0522875816993464,0.0784313725490196,FALSE,FALSE
"L0009","El león que no sabía escribir","el leon que no sabia escribir",1,"Basica inicial",708,102,6.94117647058824,4.40112994350283,2,2.76991026919242,1.35294117647059,10.7170588235294,79.76,75.2938235294118,63.616775860478,708,265,0.374293785310734,75.3375652419241,0.804783934793016,149.861151010246,7.08055494292691,0.622641509433962,0.0525426190522546,0.776843702579665,0.655435139573071,-0.752980008522296,"bastante facil",0.0411347517730496,0.0765957446808511,0.0780141843971631,0.0382978723404255,0.0553191489361702,0.141843971631206,0.187234042553191,0.00141843971631206,0.100709219858156,0.0737588652482269,0.025531914893617,0.180141843971631,708,1.03937007874016,2.82485875706215,2.25822368421053,3.2952380952381,0.4,105,0.147790049974924,0.393666483070329,0.0761904761904762,4,22,11,44,18,12,8,11,0.0307692307692308,0.169230769230769,0.0846153846153846,0.338461538461538,0.138461538461538,0.0923076923076923,0.0615384615384615,0.0846153846153846,FALSE,FALSE
"L0011","El león y los cuatro bueyes","el leon y los cuatro bueyes",1,"Basica inicial",149,8,18.625,4.32885906040268,1.85234899328859,8.27142617449664,3.625,13.5314681208054,76.7015604026846,72.8086577181208,74.2329914107397,149,95,0.63758389261745,64.5006695765137,0.797683382133523,148.641953065177,6.12282397419062,0.821052631578947,0.0413875679873889,0.766399999999999,0.672,NA,"bastante facil",0.0680272108843537,0.122448979591837,0.0748299319727891,0.0340136054421769,0.0408163265306122,0.149659863945578,0.163265306122449,0.00680272108843537,0.122448979591837,0,0.054421768707483,0.163265306122449,149,1,6.71140939597315,2.78723404255319,4.875,2,8,0.0287741068991069,0.10262658378222,0.25,7,4,6,15,3,8,2,10,0.127272727272727,0.0727272727272727,0.109090909090909,0.272727272727273,0.0545454545454545,0.145454545454545,0.0363636363636364,0.181818181818182,FALSE,FALSE
"L0012","El lobo y los siete cabritos","el lobo y los siete cabritos",1,"Basica inicial",1186,152,7.80263157894737,4.31703204047218,1.8743676222597,2.80453670009763,1.63157894736842,9.57056425845389,86.4192584538919,82.2592655542736,69.1630572105066,1186,464,0.391231028667791,63.6211063564478,0.810219921600672,142.65645572716,7.56229479714833,0.702586206896552,0.0431287673928894,0.772295514511875,0.666200551977925,-0.892734235662862,"muy facil",0.0365335598980459,0.119796091758709,0.0492778249787596,0.0263381478334749,0.0501274426508071,0.169073916737468,0.203908241291419,0.00509770603228547,0.0679694137638063,0.0951571792693288,0.0254885301614274,0.151231945624469,1186,1.34831460674157,5.05902192242833,2.23404255319149,3.58552631578947,0.368421052631579,152,0.00332508629518569,0.26044257188099,0.256578947368421,33,53,30,51,42,42,28,81,0.0916666666666667,0.147222222222222,0.0833333333333333,0.141666666666667,0.116666666666667,0.116666666666667,0.0777777777777778,0.225,FALSE,FALSE
"L0013","El negrito zambo","el negrito zambo",1,"Basica inicial",1057,90,11.7444444444444,4.50520340586566,1.90633869441816,5.66173026384947,2.85555555555556,11.4851299274677,80.4803450015768,76.3256548933039,61.5705158315425,1057,484,0.457899716177862,67.9321933962264,0.847160945536957,107.048652538512,7.82397458972786,0.764462809917355,0.0370944264961122,0.772718253968252,0.669102296450936,-0.774866754268259,"bastante facil",0.050682261208577,0.132553606237817,0.037037037037037,0.0185185185185185,0.0428849902534113,0.128654970760234,0.158869395711501,0.0331384015594542,0.0692007797270955,0.192982456140351,0.0311890838206628,0.104288499025341,1057,1.52336448598131,7.5685903500473,2.40721649484536,4.08163265306122,0.714285714285714,98,0.0171650580688729,0.137253631675375,0.153061224489796,15,22,11,30,29,37,12,21,0.0847457627118644,0.124293785310734,0.0621468926553672,0.169491525423729,0.163841807909605,0.209039548022599,0.0677966101694915,0.11864406779661,FALSE,FALSE
"L0014","El pastorcito mentiroso","el pastorcito mentiroso",1,"Basica inicial",192,20,9.6,4.36979166666667,1.90104166666667,3.95171875,1.9,10.5862916666667,82.9855,78.8001041666667,71.0568452997975,192,111,0.578125,79.4150280862983,0.805526512390296,132.378472222222,6.32631417135858,0.738738738738739,0.0456468534256413,0.781818181818182,0.674408602150538,NA,"bastante facil",0.0104166666666667,0.114583333333333,0.046875,0.0208333333333333,0.0520833333333333,0.1875,0.21875,0,0.078125,0.03125,0.046875,0.192708333333333,192,1.13513513513514,5.20833333333333,2.33139534883721,3.85,0.95,20,-0.0419193817878028,0.172596352773491,0.35,14,8,11,17,10,10,17,12,0.141414141414141,0.0808080808080808,0.111111111111111,0.171717171717172,0.101010101010101,0.101010101010101,0.171717171717172,0.121212121212121,FALSE,FALSE
"L0018","El tonto Perico,","el tonto perico",1,"Basica inicial",903,89,10.1460674157303,3.99778516057586,1.79291251384275,2.47260181417746,1.42696629213483,9.52333395547924,88.9162604053903,84.9904829718666,76.3537094379043,903,332,0.36766334440753,65.6655163759568,0.801072683638479,139.463753772647,7.21076640337378,0.692771084337349,0.0497418940008367,0.767775175644028,0.656455223880597,-0.78620756279374,"muy facil",0.0491620111731844,0.113966480446927,0.0581005586592179,0.0245810055865922,0.0525139664804469,0.154189944134078,0.215642458100559,0.00446927374301676,0.0871508379888268,0.0346368715083799,0.0368715083798883,0.168715083798883,903,1.27814569536424,0,2.2948402948403,3.81052631578947,0.631578947368421,95,0.0115956177350828,0.363505792824269,0.252631578947368,17,23,9,21,24,20,8,17,0.122302158273381,0.165467625899281,0.0647482014388489,0.151079136690647,0.172661870503597,0.143884892086331,0.0575539568345324,0.122302158273381,FALSE,FALSE
