"nivel","upos","residuo_estandarizado"
"1","ADJ",4.0606731329258
"2","ADJ",-0.17214192609659
"3","ADJ",-13.4047279958511
"4","ADJ",-93.571935786059
"5","ADJ",-1.60298463513959
"6","ADJ",-41.3035769914983
"7","ADJ",-35.4859119135071
"8","ADJ",51.7116703146357
"9","ADJ",-44.5489222760964
"10","ADJ",32.865604578876
"11","ADJ",52.9934316850533
"12","ADJ",36.755932052236
"1","ADP",-16.8928130117606
"2","ADP",-14.7828651232679
"3","ADP",-27.4764952383655
"4","ADP",34.7325554928133
"5","ADP",-17.1170450096552
"6","ADP",-0.89409251711664
"7","ADP",34.9414522131061
"8","ADP",8.4758646877013
"9","ADP",-5.49653541645029
"10","ADP",-29.2119637470909
"11","ADP",-0.461369176278742
"12","ADP",-16.9305695144766
"1","ADV",-0.34783314707707
"2","ADV",6.42307861616382
"3","ADV",18.4293257297384
"4","ADV",-40.3662536273685
"5","ADV",18.6355589742866
"6","ADV",6.23154046732789
"7","ADV",-33.0682186401111
"8","ADV",-4.130465991859
"9","ADV",-6.97400312983431
"10","ADV",29.9425286325046
"11","ADV",1.96120604679082
"12","ADV",23.7477593663836
"1","AUX",-7.60388189051456
"2","AUX",-3.37043047113989
"3","AUX",9.49620929379905
"4","AUX",-19.0898605790996
"5","AUX",16.5340739520072
"6","AUX",-8.8842394971255
"7","AUX",-34.157834649411
"8","AUX",1.27194421804805
"9","AUX",4.93793965206539
"10","AUX",10.7535071696352
"11","AUX",1.60137666026707
"12","AUX",30.52679411113
"1","CCONJ",9.29972452430342
"2","CCONJ",-6.18404184734819
"3","CCONJ",29.1513586431768
"4","CCONJ",78.3304236085587
"5","CCONJ",-14.5464943885438
"6","CCONJ",48.2709909873176
"7","CCONJ",18.157409616878
"8","CCONJ",-61.2413404281324
"9","CCONJ",25.8722176351992
"10","CCONJ",0.151446465994587
"11","CCONJ",3.86196209473344
"12","CCONJ",-67.094478461352
"1","DET",-6.46971463360671
"2","DET",-5.11031114285907
"3","DET",0.115037012019311
"4","DET",1.01315131657889
"5","DET",-12.0891553118539
"6","DET",-10.4347997961526
"7","DET",16.3861340424285
"8","DET",19.3835626118273
"9","DET",-26.6293121089026
"10","DET",-14.369768819364
"11","DET",-1.40632251351983
"12","DET",14.0969454822753
"1","NOUN",1.99376384412666
"2","NOUN",-3.62801520502367
"3","NOUN",-13.1892856698163
"4","NOUN",-3.85946689611503
"5","NOUN",-13.5703423381126
"6","NOUN",-12.2083131835977
"7","NOUN",11.6418085398454
"8","NOUN",10.4685106620271
"9","NOUN",-28.400340863048
"10","NOUN",-5.83154866813403
"11","NOUN",14.7437698122751
"12","NOUN",13.8217748149376
"1","NUM",4.06909630473568
"2","NUM",0.462380609114181
"3","NUM",-5.51401526795268
"4","NUM",5.17064437005432
"5","NUM",-8.51846676153798
"6","NUM",7.1172127669327
"7","NUM",-12.3772008711749
"8","NUM",1.48623197200248
"9","NUM",13.8897194261834
"10","NUM",7.56010594564879
"11","NUM",-2.18045435746448
"12","NUM",-9.56462080182206
"1","PRON",-8.80174890653922
"2","PRON",3.86688135683026
"3","PRON",33.2753051799723
"4","PRON",-2.67822490660453
"5","PRON",5.78890539497122
"6","PRON",10.0070099979158
"7","PRON",-39.4713424683979
"8","PRON",-12.3181569550045
"9","PRON",13.6501199628273
"10","PRON",6.53010174520654
"11","PRON",4.80466270601906
"12","PRON",15.4723347709105
"1","PROPN",37.9929017249741
"2","PROPN",47.7035818848817
"3","PROPN",-46.8623318281993
"4","PROPN",75.8795909149667
"5","PROPN",14.1270365096567
"6","PROPN",22.6313748866558
"7","PROPN",54.95163764173
"8","PROPN",-7.6072917193469
"9","PROPN",83.0247457183382
"10","PROPN",-51.2477163739415
"11","PROPN",-99.2255218242345
"12","PROPN",-54.5543262958382
"1","SCONJ",-5.17311299926672
"2","SCONJ",-15.7035611944065
"3","SCONJ",-2.85249500438929
"4","SCONJ",-19.3415748071619
"5","SCONJ",-1.24678760841598
"6","SCONJ",-10.1232205029385
"7","SCONJ",-24.6996438398143
"8","SCONJ",3.97955146969846
"9","SCONJ",9.39708552605365
"10","SCONJ",32.8698841779353
"11","SCONJ",32.2946401053817
"12","SCONJ",-20.2425812826805
"1","VERB",1.89227070011832
"2","VERB",0.694167779989717
"3","VERB",22.8302376543792
"4","VERB",-21.633673946439
"5","VERB",22.980971212812
"6","VERB",3.71141992450917
"7","VERB",-2.33606376036158
"8","VERB",-20.8870971581553
"9","VERB",6.37937580017036
"10","VERB",12.4639986308146
"11","VERB",-10.2051900888497
"12","VERB",10.37316672362
