"iteration","current","best_so_far"
1,3.5802,3.61
2,3.5464,3.61
3,3.5471,3.61
4,3.5178,3.61
5,3.4103,3.61
6,3.402,3.61
7,3.4096,3.61
8,3.3572,3.61
9,3.3434,3.61
10,3.3471,3.61
11,3.2737,3.61
12,3.3073,3.61
13,3.2607,3.61
14,3.2761,3.61
15,3.2529,3.61
16,3.2541,3.61
17,3.2431,3.61
18,3.275,3.61
19,3.2381,3.61
20,3.261,3.61
21,3.2472,3.61
22,3.239,3.61
23,3.1679,3.61
24,3.2277,3.61
25,3.1959,3.61
26,3.1897,3.61
27,3.059,3.61
28,3.1908,3.61
29,3.1949,3.61
30,3.0911,3.61
31,3.1969,3.61
32,3.2179,3.61
33,3.1428,3.61
34,3.0631,3.61
35,3.0823,3.61
36,3.1151,3.61
37,3.0148,3.61
38,2.9731,3.61
39,2.9631,3.61
40,3.0374,3.61
41,2.9531,3.61
42,2.9491,3.61
43,3.0145,3.61
44,3.0209,3.61
45,3.0257,3.61
46,2.8533,3.61
47,2.9835,3.61
48,2.9504,3.61
49,3.0063,3.61
50,2.9025,3.61
51,2.9775,3.61
52,2.88,3.61
53,2.8997,3.61
54,2.8997,3.61
55,2.9628,3.61
56,2.8868,3.61
57,2.8606,3.61
58,2.8557,3.61
59,2.89,3.61
60,2.7302,3.61
61,2.7715,3.61
62,2.7991,3.61
63,2.842,3.61
64,2.8679,3.61
65,2.8314,3.61
66,2.8026,3.61
67,2.6751,3.61
68,2.7048,3.61
69,2.8498,3.61
70,2.8565,3.61
71,2.7726,3.61
72,2.7209,3.61
73,2.7351,3.61
74,2.7434,3.61
75,2.74,3.61
76,2.6415,3.61
77,2.7832,3.61
78,2.8269,3.61
79,2.7898,3.61
80,2.8285,3.61
81,2.8017,3.61
82,2.7253,3.61
83,2.6701,3.61
84,2.6421,3.61
85,2.7191,3.61
86,2.6315,3.61
87,2.7087,3.61
88,2.6917,3.61
89,2.7538,3.61
90,2.7256,3.61
91,2.7274,3.61
92,2.7226,3.61
93,2.6907,3.61
94,2.6312,3.61
95,2.7305,3.61
96,2.6465,3.61
97,2.6966,3.61
98,2.7395,3.61
99,2.7184,3.61
100,2.6521,3.61
101,2.7005,3.61
102,2.7347,3.61
103,2.7514,3.61
104,2.651,3.61
105,2.6819,3.61
106,2.6761,3.61
107,2.6836,3.61
108,2.6479,3.61
109,2.6744,3.61
110,2.6374,3.61
111,2.6595,3.61
112,2.6443,3.61
113,2.594,3.61
114,2.5865,3.61
115,2.5688,3.61
116,2.5602,3.61
117,2.5708,3.61
118,2.5815,3.61
119,2.5284,3.61
120,2.5035,3.61
121,2.4941,3.61
122,2.5337,3.61
123,2.5316,3.61
124,2.5302,3.61
125,2.5367,3.61
126,2.5056,3.61
127,2.688,3.61
128,2.5845,3.61
129,2.6131,3.61
130,2.6287,3.61
131,2.6532,3.61
132,2.5951,3.61
133,2.5955,3.61
134,2.4072,3.61
135,2.4391,3.61
136,2.4761,3.61
137,2.489,3.61
138,2.5009,3.61
139,2.4918,3.61
140,2.4552,3.61
141,2.4624,3.61
142,2.4779,3.61
143,2.5429,3.61
144,2.4828,3.61
145,2.5197,3.61
146,2.3413,3.61
147,2.4197,3.61
148,2.587,3.61
149,2.3871,3.61
150,2.4201,3.61
151,2.1998,3.61
152,2.1787,3.61
153,2.4366,3.61
154,2.519,3.61
155,2.5322,3.61
156,2.5456,3.61
157,2.5942,3.61
158,2.3267,3.61
159,2.3806,3.61
160,2.362,3.61
161,2.4068,3.61
162,2.2815,3.61
163,2.2621,3.61
164,2.3101,3.61
165,2.328,3.61
166,2.3188,3.61
167,2.3714,3.61
168,2.275,3.61
169,2.2222,3.61
170,2.2279,3.61
171,2.2089,3.61
172,2.1557,3.61
173,2.1112,3.61
174,2.003,3.61
175,2.1277,3.61
176,2.1404,3.61
177,2.0997,3.61
178,2.0827,3.61
179,1.9871,3.61
180,2.0329,3.61
181,2.1386,3.61
182,2.2568,3.61
183,2.1609,3.61
184,2.3483,3.61
185,2.1505,3.61
186,2.061,3.61
187,1.9378,3.61
188,1.9404,3.61
189,1.9603,3.61
190,1.9694,3.61
191,2.006,3.61
192,2.0239,3.61
193,2.1412,3.61
194,2.1274,3.61
195,2.0722,3.61
196,2.1126,3.61
197,1.9079,3.61
198,1.7971,3.61
199,1.8827,3.61
200,1.8572,3.61
201,1.8808,3.61
202,1.8388,3.61
203,1.8468,3.61
204,1.8812,3.61
205,1.8414,3.61
206,2.0565,3.61
207,2.0894,3.61
208,2.0904,3.61
209,2.0734,3.61
210,2.0572,3.61
211,2.0068,3.61
212,1.9742,3.61
213,2.0436,3.61
214,2.0436,3.61
215,2.0349,3.61
216,1.9754,3.61
217,2.0711,3.61
218,2.0462,3.61
219,2.0663,3.61
220,2.0052,3.61
221,1.9507,3.61
222,1.7577,3.61
223,1.9276,3.61
224,1.9011,3.61
225,1.847,3.61
226,1.8511,3.61
227,1.8363,3.61
228,1.8205,3.61
229,1.8617,3.61
