"generation","hypervolume","best_so_far"
0,3.613,3.613
1,3.6675,3.6675
2,3.6773,3.6773
3,3.6784,3.6784
4,3.6827,3.6827
5,3.6829,3.6829
6,3.6855,3.6855
7,3.6863,3.6863
8,3.6883,3.6883
9,3.6883,3.6883
10,3.6884,3.6884
11,3.6885,3.6885
12,3.6885,3.6885
13,3.6887,3.6887
14,3.6918,3.6918
15,3.6918,3.6918
16,3.6919,3.6919
17,3.6921,3.6921
18,3.6922,3.6922
19,3.6922,3.6922
20,3.6926,3.6926
21,3.6929,3.6929
22,3.693,3.693
23,3.693,3.693
24,3.6931,3.6931
25,3.6931,3.6931
26,3.6932,3.6932
27,3.6932,3.6932
28,3.6933,3.6933
29,3.6933,3.6933
30,3.695,3.695
31,3.695,3.695
32,3.695,3.695
33,3.6951,3.6951
34,3.6951,3.6951
35,3.6952,3.6952
36,3.6953,3.6953
37,3.6953,3.6953
38,3.6953,3.6953
39,3.6954,3.6954
40,3.6954,3.6954
41,3.6954,3.6954
42,3.6979,3.6979
43,3.6979,3.6979
44,3.6979,3.6979
45,3.6979,3.6979
46,3.6979,3.6979
47,3.6979,3.6979
48,3.6979,3.6979
49,3.6992,3.6992
50,3.6992,3.6992
51,3.6992,3.6992
52,3.6992,3.6992
53,3.6993,3.6993
54,3.6994,3.6994
55,3.6994,3.6994
56,3.6994,3.6994
57,3.6994,3.6994
58,3.6994,3.6994
59,3.6994,3.6994
60,3.6994,3.6994
61,3.6995,3.6995
62,3.6995,3.6995
63,3.6996,3.6996
64,3.6996,3.6996
65,3.6996,3.6996
66,3.6996,3.6996
67,3.6997,3.6997
68,3.7001,3.7001
69,3.7001,3.7001
70,3.7001,3.7001
71,3.7001,3.7001
72,3.7001,3.7001
73,3.7001,3.7001
74,3.7002,3.7002
75,3.7002,3.7002
76,3.7002,3.7002
77,3.7033,3.7033
78,3.7033,3.7033
79,3.7033,3.7033
80,3.7033,3.7033
81,3.7033,3.7033
82,3.7033,3.7033
83,3.7033,3.7033
84,3.7033,3.7033
85,3.7033,3.7033
86,3.7033,3.7033
87,3.7033,3.7033
88,3.7033,3.7033
89,3.7033,3.7033
90,3.7034,3.7034
91,3.7034,3.7034
92,3.7034,3.7034
93,3.7034,3.7034
94,3.7034,3.7034
95,3.7034,3.7034
96,3.7034,3.7034
97,3.7034,3.7034
98,3.7034,3.7034
99,3.7034,3.7034
100,3.7034,3.7034
101,3.7036,3.7036
102,3.7036,3.7036
103,3.7036,3.7036
104,3.7036,3.7036
105,3.7037,3.7037
106,3.7037,3.7037
107,3.7038,3.7038
108,3.7038,3.7038
109,3.7038,3.7038
110,3.7038,3.7038
111,3.7038,3.7038
112,3.7038,3.7038
113,3.7039,3.7039
114,3.7047,3.7047
115,3.7048,3.7048
116,3.7048,3.7048
117,3.7048,3.7048
118,3.7048,3.7048
119,3.7048,3.7048
120,3.7049,3.7049
121,3.7049,3.7049
122,3.7054,3.7054
123,3.7054,3.7054
124,3.7054,3.7054
125,3.7072,3.7072
126,3.7072,3.7072
127,3.7075,3.7075
128,3.7111,3.7111
129,3.7111,3.7111
130,3.7113,3.7113
131,3.7113,3.7113
132,3.7114,3.7114
133,3.7114,3.7114
134,3.7114,3.7114
135,3.7115,3.7115
136,3.7115,3.7115
137,3.7115,3.7115
138,3.7115,3.7115
139,3.7115,3.7115
140,3.7115,3.7115
141,3.7115,3.7115
142,3.7115,3.7115
143,3.7115,3.7115
144,3.7115,3.7115
145,3.7115,3.7115
146,3.7115,3.7115
147,3.7115,3.7115
148,3.7116,3.7116
149,3.7116,3.7116
150,3.7116,3.7116
