"ls","me"
3.0809,2.1559
4.4171,2.1433
4.4941,2.0753
6.2846,2.0478
7.2516,2.02
7.031,2.0311
8.2295,1.9881
8.9003,1.9437
9.6309,1.9071
9.626,1.916
9.7656,1.8663
10.3835,1.8113
10.7228,1.7921
11.9111,1.7433
11.0461,1.7683
12.174,1.743
12.5377,1.5693
13.8482,1.5209
14.8547,1.4693
16.808,1.4578
15.7359,1.4651
18.2272,1.4424
26.1267,0.72
21.7373,0.8003
21.4638,0.8136
20.232,0.8424
23.7045,0.7505
23.9004,0.7374
24.5006,0.7227
22.8093,0.7526
24.2419,0.7299
27.0475,0.6747
23.8281,0.7424
26.6615,0.6798
20.3977,0.8282
20.1033,0.8458
20.3736,0.8381
23.7271,0.7437
22.9644,0.7507
22.5094,0.7757
20.146,0.8431
20.2944,0.8419
19.9656,0.8555
24.0441,0.7337
20.7723,0.8259
25.475,0.722
20.0752,0.8478
19.9765,0.8527
26.3172,0.6985
26.6321,0.681
26.2508,0.7131
20.071,0.8499
19.321,0.8716
19.0478,0.8852
19.5922,0.8604
22.0968,0.7958
