"ls","me"
3.0161,2.1536
3.0161,2.1536
23.8371,0.8539
3.4142,2.0657
18.3301,0.9097
22.6794,0.9038
11.0032,1.2297
13.7762,1.1203
12.1271,1.2257
22.6794,0.9038
14.6517,1.0835
13.0496,1.184
12.8211,1.1952
16.9055,0.9938
12.1467,1.2036
6.6204,1.6179
10.414,1.2341
17.8694,0.9534
15.1448,1.0631
8.0845,1.4478
17.3325,0.9911
7.7823,1.4842
5.2359,1.7978
6.978,1.5676
15.5291,1.0565
14.868,1.0673
15.8783,1.0427
3.8505,1.9862
16.1254,1.022
9.5174,1.2882
4.1001,1.953
5.0113,1.8156
5.605,1.7541
6.3677,1.6613
6.2106,1.6776
10.1356,1.2478
8.2993,1.4305
3.2178,2.1081
16.352,1.0192
8.8671,1.3875
5.4855,1.76
9.7561,1.2682
8.658,1.3927
9.9046,1.2642
7.3166,1.5448
8.4861,1.4088
5.9212,1.7227
9.302,1.3106
4.5235,1.894
16.5769,1.003
7.5814,1.5049
9.0548,1.3726
15.6495,1.0473
7.0831,1.5562
4.28,1.9266
5.9532,1.7063
3.6684,2.0185
4.7437,1.872
4.8147,1.8521
17.7038,0.9676
9.1797,1.3336
7.4295,1.5054
3.5679,2.0369
10.3209,1.2357
4.4039,1.9136
17.459,0.9829
17.5834,0.9777
16.5378,1.0071
