TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Plateosaurus_engelhardti;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Carnian;228;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Carnian;209;extinct ;Alemania-Francia;terrestrial;actively mobile;herbivore;phosphatic;Animalia;Chordata;Reptilia;Dinosauria;Plateosauridae;Plateosaurus;https://www.mindat.org/
Chinshakiangosaurus_chunghoensis;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Rhaetian;201;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;199;extinct ;China;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Chinshakiangosaurus;https://www.mindat.org/
Mussaurus_patagonicus;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Carnian;228;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Carnian;209;extinct ;Argentina;terrestrial;actively mobile;herbivore;phosphatic;Animalia;Chordata;Reptilia;Dinosauria;-;Mussaurus;https://www.mindat.org/
Antetonitrus_ingenipes;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Rhaetian;201;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;191;extinct ;Sudáfrica;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Antetonitrus;https://www.mindat.org/
Lessemsaurus_sauropoides;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Carnian;228;Phanerozoic;Mesozoic;Triasic;Upper Triassic;Carnian;209;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Lessemsaurus;https://www.mindat.org/
Gongxianosaurus_shibeiensis;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;183;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;174;extinct ;China;terrestrial;actively mobile;herbivore;phosphatic;Animalia;Chordata;Reptilia;Dinosauria;-;Gongxianosaurus;https://www.mindat.org/
Amygdalodon_patagonicus;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;180;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;172;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Cetiosauridae;Amygdalodon;https://www.mindat.org/
Isanosaurus_attavipachi;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Sinemurian;191;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;174;extinct ;Tailandia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;"	Isanosaurus";https://www.mindat.org/
Vulcanodon_karibaensis;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;199;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;183;extinct ;Zimbabue;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Vulcanodontidae;Vulcanodon;https://www.mindat.org/
Tazoudasaurus_naimi;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Sinemurian;191;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;174;extinct ;Marruecos;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Vulcanodontidae;Tazoudasaurus;https://www.mindat.org/
Shunosaurus_lii;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;164;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157;extinct ;China;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Shunosaurus;https://www.mindat.org/
Barapasaurus_tagorei;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;199;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;183;extinct ;India;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Barapasaurus;https://www.mindat.org/
Cetiosaurus_oxoniensis;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;172;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Bathonian;165;extinct ;Inglaterra;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Cetiosaurus;https://www.mindat.org/
Patagosaurus_fariasi;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;180;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Bajocian;168;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Patagosaurus;https://www.mindat.org/
Omeisaurus;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;174;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;China;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Mamenchisauridae;Omeisaurus;https://www.mindat.org/
Mamenchisaurus;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;164;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;112;extinct ;China-Mongolia-Tailandia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Mamenchisauridae;"	Mamenchisaurus";https://www.mindat.org/
Turiasaurus_riodevensis;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;España;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;"	Turiasaurus";https://www.mindat.org/
Losillasaurus_giganteus;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;España;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Losillasaurus;https://www.mindat.org/
Jobaria_tiguidensis;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Bajocian;168;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;164;extinct ;Níger;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Jobaria;https://www.mindat.org/
Haplocanthosaurus_priscus;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;Estados Unidos;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Haplocanthosaurus;https://www.mindat.org/
Camarasaurus;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;164;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;94;extinct ;Alemania-Estados Unidos-Portugal-Zimbawe;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Camarasauridae;Camarasaurus;https://www.mindat.org/
