TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Gracilisuchus;Phanerozoic;Mesozoic;Triassic;Middle Triassic;Anisian;242;Phanerozoic;Mesozoic;Triassic;Middle Triassic;Ladinian;237;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Gracilisuchidae;Gracilisuchus;https://www.mindat.org/
Terrestrisuchus;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Norian;209;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Rhaetian;201;extinct ;United Kingdom;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Terrestrisuchus;https://www.mindat.org/
Dibothrosuchus;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;199;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Sinemurian;191;extinct ;India-China;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Dibothrosuchus;https://www.mindat.org/
Orthosuchus;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Rhaetian;201;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Sinemurian;191;extinct ;Lesotho-SouthAfrica;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Protosuchidae;Orthosuchus;https://www.mindat.org/ morfología basada en protosuchus
Coloradisuchus;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Carnian;228;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Norian;209;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Protosuchidae;Coloradisuchus;https://www.mindat.org/ morfología basada en protosuchus
Hemiprotosuchus;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Carnian;228;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Norian;209;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Protosuchidae;Hemiprotosuchus;https://www.mindat.org/ morfología basada en protosuchus
Protosuchus_richardsoni;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Rhaetian;201;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Sinemurian;191;extinct ;USA;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Protosuchidae;Protosuchus;https://www.mindat.org/ morfología basada en protosuchus
Protosuchus_haughtoni;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Rhaetian;201;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Sinemurian;191;extinct ;Lesotho-SouthAfrica;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Protosuchidae;Protosuchus;https://www.mindat.org/ morfología basada en protosuchus
Edentosuchus;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;199;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Norian;101;extinct ;China-USA;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Protosuchidae;Edentosuchus;https://www.mindat.org/ morfología basada en protosuchus
KayentaForm;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;199;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;183;extinct ;USA;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;KayentaForm;"https://www.mindat.org/; buscado como kayentasuchus"
Zaraasuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;extinct ;Mongolia;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Gobiosuchidae;Zaraasuchus;https://www.mindat.org/ morfología basada en protosuchus
Gobiosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;70.6;extinct ;Mongolia;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Gobiosuchidae;Gobiosuchus;https://www.mindat.org/
Zosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;extinct ;Mongolia;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Zosuchus;https://www.mindat.org/
Shantungosuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Barremian;130;extinct ;China;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Shantungosuchus;https://www.mindat.org/
Sichuanosuchus_shuhanensis;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;extinct ;China;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Sichuanosuchus;https://www.mindat.org/
Sichuanosuchus_huidongensis;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;163.5;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157.3;extinct ;China;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Sichuanosuchus;https://www.mindat.org/
Fruitachampsa;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Kimmeridgian;157.3;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;USA;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Shartegosuchidae;Fruitachampsa;https://www.mindat.org/
