book_id,group,filename,title_es,title_en,author,series,series_position,year_first_edition,audience,original_language,translated,notes
PAP01,Papelucho,Papelucho.txt,Papelucho,Papelucho,Marcela Paz,Papelucho,1,1947,children,es,FALSE,
PAP02,Papelucho,Papelucho casi huerfano.txt,Papelucho casi huérfano,Papelucho Almost an Orphan,Marcela Paz,Papelucho,2,1951,children,es,FALSE,
PAP03,Papelucho,Papelucho historiador.txt,Papelucho historiador,Papelucho the Historian,Marcela Paz,Papelucho,3,1955,children,es,FALSE,
PAP04,Papelucho,Papelucho detective.txt,Papelucho detective,Papelucho the Detective,Marcela Paz,Papelucho,4,1956,children,es,FALSE,Year given as 1956 or 1957 depending on source
PAP05,Papelucho,Papelucho en la clinica.txt,Papelucho en la clínica,Papelucho in the Clinic,Marcela Paz,Papelucho,5,1958,children,es,FALSE,Year given as 1958 or 1959 depending on source
PAP06,Papelucho,Papelucho perdido.txt,Papelucho perdido,Papelucho Lost,Marcela Paz,Papelucho,6,1962,children,es,FALSE,
PAP07,Papelucho,Papelucho mi hermana Ji.txt,"Papelucho, mi hermana Ji","Papelucho, My Sister Ji",Marcela Paz,Papelucho,7,1965,children,es,FALSE,
PAP08,Papelucho,Papelucho misionero.txt,Papelucho misionero,Papelucho the Missionary,Marcela Paz,Papelucho,8,1966,children,es,FALSE,
PAP09,Papelucho,Papelucho y el marciano.txt,Diario secreto de Papelucho y el marciano,The Secret Diary of Papelucho and the Martian,Marcela Paz,Papelucho,9,1968,children,es,FALSE,
PAP10,Papelucho,Papelucho y mi hermano hippie.txt,"Papelucho, mi hermano hippie","Papelucho, My Hippie Brother",Marcela Paz,Papelucho,10,1971,children,es,FALSE,
PAP11,Papelucho,Papelucho en vacaciones.txt,Papelucho en vacaciones,Papelucho on Holiday,Marcela Paz,Papelucho,11,1971,children,es,FALSE,
PAP12,Papelucho,Papelucho soy dislexo.txt,Papelucho: soy dix leso,Papelucho: I Am Dyslexic,Marcela Paz,Papelucho,12,1974,children,es,FALSE,Filename uses the spelling dislexo; canonical title is the pun dix leso
CMP01,Comparison,Apocalipsis Z.txt,Apocalipsis Z,Apocalypse Z,Manel Loureiro,Apocalipsis Z,1,2007,adult,es,FALSE,
CMP02,Comparison,Cell.txt,Cell,Cell,Stephen King,,,2006,adult,en,TRUE,
CMP03,Comparison,Conan Conan.txt,Conan,Conan,Robert E. Howard,Conan,1,1932,adult,en,TRUE,
CMP04,Comparison,Crepusculo Amanecer.txt,Amanecer,Breaking Dawn,Stephenie Meyer,Crepúsculo,4,2008,young_adult,en,TRUE,
CMP05,Comparison,Crepusculo Crepusculo.txt,Crepúsculo,Twilight,Stephenie Meyer,Crepúsculo,1,2005,young_adult,en,TRUE,
CMP06,Comparison,Crepusculo Eclipse.txt,Eclipse,Eclipse,Stephenie Meyer,Crepúsculo,3,2007,young_adult,en,TRUE,
CMP07,Comparison,Crepusculo Luna Nueva.txt,Luna nueva,New Moon,Stephenie Meyer,Crepúsculo,2,2006,young_adult,en,TRUE,
CMP08,Comparison,Crepusculo Sol de Medianoche.txt,Sol de medianoche,Midnight Sun,Stephenie Meyer,Crepúsculo,5,2020,young_adult,en,TRUE,Partial draft leaked in 2008; full edition 2020
CMP09,Comparison,El Elfo Oscuro El Exilio.txt,El exilio,Exile,R. A. Salvatore,El elfo oscuro,2,1990,adult,en,TRUE,
CMP10,Comparison,El Elfo Oscuro El Refugio.txt,El refugio,Sojourn,R. A. Salvatore,El elfo oscuro,3,1991,adult,en,TRUE,
CMP11,Comparison,El Elfo Oscuro La Morada.txt,La morada,Homeland,R. A. Salvatore,El elfo oscuro,1,1990,adult,en,TRUE,
CMP12,Comparison,El Ocho.txt,El ocho,The Eight,Katherine Neville,,,1988,adult,en,TRUE,
CMP13,Comparison,El Perfume.txt,El perfume,Perfume,Patrick Süskind,,,1985,adult,de,TRUE,
CMP14,Comparison,El caso Bourne.txt,El caso Bourne,The Bourne Identity,Robert Ludlum,Bourne,1,1980,adult,en,TRUE,
CMP15,Comparison,El extran o caso de Benjamin Button.txt,El extraño caso de Benjamin Button,The Curious Case of Benjamin Button,F. Scott Fitzgerald,,,1922,adult,en,TRUE,
CMP16,Comparison,El legado del drow Cerco de Oscuridad.txt,Cerco de oscuridad,Siege of Darkness,R. A. Salvatore,El legado del drow,3,1994,adult,en,TRUE,
CMP17,Comparison,El legado del drow El Legado.txt,El legado,The Legacy,R. A. Salvatore,El legado del drow,1,1992,adult,en,TRUE,
CMP18,Comparison,El legado del drow Luz en las Tinieblas.txt,Luz en las tinieblas,Passage to Dawn,R. A. Salvatore,El legado del drow,4,1996,adult,en,TRUE,
CMP19,Comparison,El legado del drow Noche sin Estrellas.txt,Noche sin estrellas,Starless Night,R. A. Salvatore,El legado del drow,2,1993,adult,en,TRUE,
CMP20,Comparison,El valle del viento helado La Gema del Halfling.txt,La gema del halfling,The Halfling's Gem,R. A. Salvatore,El valle del viento helado,3,1990,adult,en,TRUE,
CMP21,Comparison,El valle del viento helado La Piedra de Cristal.txt,La piedra de cristal,The Crystal Shard,R. A. Salvatore,El valle del viento helado,1,1988,adult,en,TRUE,
CMP22,Comparison,El valle del viento helado Rios de Plata.txt,Ríos de plata,Streams of Silver,R. A. Salvatore,El valle del viento helado,2,1989,adult,en,TRUE,
CMP23,Comparison,Finis Mundi.txt,Finis Mundi,Finis Mundi,Laura Gallego García,,,1999,young_adult,es,FALSE,
CMP24,Comparison,Guerra Mundial Z.txt,Guerra Mundial Z,World War Z,Max Brooks,,,2006,adult,en,TRUE,
CMP25,Comparison,Harry Potter y el caliz de fuego.txt,Harry Potter y el cáliz de fuego,Harry Potter and the Goblet of Fire,J. K. Rowling,Harry Potter,4,2000,young_adult,en,TRUE,
CMP26,Comparison,Harry Potter y el misterio del principe.txt,Harry Potter y el misterio del príncipe,Harry Potter and the Half-Blood Prince,J. K. Rowling,Harry Potter,6,2005,young_adult,en,TRUE,
