book_id,group,title_es,title_en,author,series,series_position,year_first_edition,audience,original_language,translated,n_tokens_running,n_types_content,n_tokens_content,n_sentences,n_characters,n_syllables,content_ratio,words_per_sentence,letters_per_word,syllables_per_word
CMP01,Comparison,Apocalipsis Z,Apocalypse Z,Manel Loureiro,Apocalipsis Z,1,2007,adult,es,FALSE,127799,13085,63951,7986,597089,258698,0.5004029765491123,16.002880040070124,4.672094460833027,2.0242568408203505
CMP02,Comparison,Cell,Cell,Stephen King,,,2006,adult,en,TRUE,128249,12668,65033,8683,583914,250919,0.5070838758976678,14.770125532650006,4.552971173264509,1.9564986861495997
CMP03,Comparison,Conan,Conan,Robert E. Howard,Conan,1,1932,adult,en,TRUE,70408,9103,36118,3981,329661,141070,0.5129814793773435,17.6860085405677,4.682152596295875,2.003607544597205
CMP04,Comparison,Amanecer,Breaking Dawn,Stephenie Meyer,Crepúsculo,4,2008,young_adult,en,TRUE,183951,15191,91962,16393,847063,366489,0.49992661089094376,11.221313975477338,4.604829546998929,1.9923186065854495
CMP05,Comparison,Crepúsculo,Twilight,Stephenie Meyer,Crepúsculo,1,2005,young_adult,en,TRUE,123629,12335,61733,10700,566580,245264,0.49934076956054,11.55411214953271,4.582905305389512,1.9838710982051138
CMP06,Comparison,Eclipse,Eclipse,Stephenie Meyer,Crepúsculo,3,2007,young_adult,en,TRUE,160289,14137,78163,14085,721869,312211,0.4876379539456856,11.380120695775648,4.503546718739277,1.947800535283145
CMP07,Comparison,Luna nueva,New Moon,Stephenie Meyer,Crepúsculo,2,2006,young_adult,en,TRUE,143847,12955,70754,12236,651527,282902,0.49186983392076306,11.756047728015691,4.5293054425883055,1.9666868269758842
CMP08,Comparison,Sol de medianoche,Midnight Sun,Stephenie Meyer,Crepúsculo,5,2020,young_adult,en,TRUE,77774,8925,38176,6744,360777,157290,0.49085812739475915,11.53232502965599,4.63878674107028,2.0223982307712087
CMP09,Comparison,El exilio,Exile,R. A. Salvatore,El elfo oscuro,2,1990,adult,en,TRUE,92232,8822,47537,6169,435932,184331,0.5154068002428658,14.950883449505593,4.726472374013357,1.998557984213722
CMP10,Comparison,El refugio,Sojourn,R. A. Salvatore,El elfo oscuro,3,1991,adult,en,TRUE,98910,9357,50648,6389,458375,193805,0.5120614700232534,15.481295977461262,4.63426347184309,1.95940754221009
CMP11,Comparison,La morada,Homeland,R. A. Salvatore,El elfo oscuro,1,1990,adult,en,TRUE,102138,9439,52324,6854,475735,201657,0.5122872975777869,14.901955062737088,4.657766942763712,1.9743582212301005
CMP12,Comparison,El ocho,The Eight,Katherine Neville,,,1988,adult,en,TRUE,217297,20006,111747,16101,1017678,436534,0.5142592856781272,13.495869821750201,4.683350437419753,2.008927872911269
CMP13,Comparison,El perfume,Perfume,Patrick Süskind,,,1985,adult,de,TRUE,79630,11320,40265,3391,373539,161646,0.5056511365063419,23.482748451784133,4.690933065427602,2.0299635815647368
CMP14,Comparison,El caso Bourne,The Bourne Identity,Robert Ludlum,Bourne,1,1980,adult,en,TRUE,193941,16364,97644,17758,904759,388376,0.5034727056166566,10.92133123099448,4.66512496068392,2.0025471664062784
CMP15,Comparison,El extraño caso de Benjamin Button,The Curious Case of Benjamin Button,F. Scott Fitzgerald,,,1922,adult,en,TRUE,9619,2521,5026,636,45141,19481,0.5225075371660256,15.124213836477987,4.692899469799356,2.0252625012995114
CMP16,Comparison,Cerco de oscuridad,Siege of Darkness,R. A. Salvatore,El legado del drow,3,1994,adult,en,TRUE,115408,11477,59213,5732,550331,234003,0.5130753500623874,20.133984647592463,4.768568903368918,2.0276150700124775
CMP17,Comparison,El legado,The Legacy,R. A. Salvatore,El legado del drow,1,1992,adult,en,TRUE,87134,8486,44778,5047,406452,171644,0.5138981339086923,17.264513572419258,4.664677393439989,1.9698854637684486
CMP18,Comparison,Luz en las tinieblas,Passage to Dawn,R. A. Salvatore,El legado del drow,4,1996,adult,en,TRUE,115070,11048,59027,6632,537606,227790,0.5129660206830625,17.350723763570567,4.671990962023116,1.9795776483879377
CMP19,Comparison,Noche sin estrellas,Starless Night,R. A. Salvatore,El legado del drow,2,1993,adult,en,TRUE,108876,10854,56403,5692,514775,220028,0.5180480546676953,19.12789880534083,4.728085161100702,2.020904515228333
CMP20,Comparison,La gema del halfling,The Halfling's Gem,R. A. Salvatore,El valle del viento helado,3,1990,adult,en,TRUE,108863,9915,56949,7012,510090,217383,0.5231253961401027,15.525242441528809,4.685614028641504,1.9968492508933247
CMP21,Comparison,La piedra de cristal,The Crystal Shard,R. A. Salvatore,El valle del viento helado,1,1988,adult,en,TRUE,115465,10525,59289,6034,547028,231448,0.5134802754081323,19.135730858468676,4.737608799203222,2.0044862079418007
CMP22,Comparison,Ríos de plata,Streams of Silver,R. A. Salvatore,El valle del viento helado,2,1989,adult,en,TRUE,112781,10437,58106,6675,535185,226178,0.5152108954522482,16.896029962546816,4.745347177272768,2.005461912910863
CMP23,Comparison,Finis Mundi,Finis Mundi,Laura Gallego García,,,1999,young_adult,es,FALSE,61232,7828,31178,5357,284234,122072,0.5091782074732166,11.43027814075042,4.641919257904363,1.9935981186307814
CMP24,Comparison,Guerra Mundial Z,World War Z,Max Brooks,,,2006,adult,en,TRUE,126381,14141,61117,7938,595653,255876,0.4835932616453423,15.921012849584278,4.713153084720013,2.024639779713723
CMP25,Comparison,Harry Potter y el cáliz de fuego,Harry Potter and the Goblet of Fire,J. K. Rowling,Harry Potter,4,2000,young_adult,en,TRUE,199618,15000,102526,14108,917858,389281,0.5136109970042781,14.149277005954069,4.598072318127624,1.950129747818333
CMP26,Comparison,Harry Potter y el misterio del príncipe,Harry Potter and the Half-Blood Prince,J. K. Rowling,Harry Potter,6,2005,young_adult,en,TRUE,175160,15293,89354,11755,808610,344641,0.5101278830783283,14.90089323692046,4.616407855674812,1.9675782142041562
CMP27,Comparison,Harry Potter y el prisionero de Azkaban,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Harry Potter,3,1999,children,en,TRUE,109618,10453,57591,9321,504999,213904,0.5253790435877319,11.760326145263384,4.606898502070828,1.9513583535550731
CMP28,Comparison,Harry Potter y la cámara secreta,Harry Potter and the Chamber of Secrets,J. K. Rowling,Harry Potter,2,1998,children,en,TRUE,91167,9638,47660,6620,419249,176921,0.5227768819858063,13.771450151057401,4.598692509350971,1.940625445610802
CMP29,Comparison,Harry Potter y la orden del fénix,Harry Potter and the Order of the Phoenix,J. K. Rowling,Harry Potter,5,2003,young_adult,en,TRUE,253615,17346,132852,16063,1193630,505937,0.5238333694773574,15.788769221191558,4.706464522997456,1.9949017211127102
CMP30,Comparison,Harry Potter y la piedra filosofal,Harry Potter and the Philosopher's Stone,J. K. Rowling,Harry Potter,1,1997,children,en,TRUE,77823,7914,40359,6471,355553,150414,0.5185998997725608,12.026425591098748,4.568739318710407,1.9327705177132724
CMP31,Comparison,Harry Potter y las reliquias de la muerte,Harry Potter and the Deathly Hallows,J. K. Rowling,Harry Potter,7,2007,young_adult,en,TRUE,200684,15849,104355,12288,933589,396544,0.5199966115883677,16.331705729166668,4.652035040162644,1.9759622092443843
CMP32,Comparison,Historias fantásticas,Skeleton Crew,Stephen King,,,1985,adult,en,TRUE,56491,8611,29029,4175,255451,110214,0.5138694659326264,13.530778443113773,4.521976952080863,1.9510010444141546
