book_id,group,title_es,author,n_lines_scraper,n_lines_front_matter,n_chars_front_matter,front_matter_trigger,n_tokens_running,n_tokens_content,n_types_content,n_sentences,content_ratio,words_per_sentence,flag_empty,flag_no_sentences,flag_short,flag_wps_extreme,flag_content_ratio,flag_front_matter_large,front_matter_preview,scraper_preview,n_flags
PAP01,Papelucho,Papelucho,Marcela Paz,47,0,0,none,20669,8880,3124,1187,0.4296289128646766,17.41280539174389,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | ...,0
PAP02,Papelucho,Papelucho casi huérfano,Marcela Paz,1,0,0,none,17516,7551,2859,901,0.4310915734185887,19.44062153163152,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,0
PAP03,Papelucho,Papelucho historiador,Marcela Paz,0,0,0,none,13685,6450,2537,1141,0.4713189623675557,11.993865030674847,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0
PAP04,Papelucho,Papelucho detective,Marcela Paz,0,0,0,none,22303,9703,3212,1817,0.43505358023584273,12.274628508530546,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0
PAP05,Papelucho,Papelucho en la clínica,Marcela Paz,0,0,0,none,25456,11210,3699,1700,0.44036769327467,14.974117647058824,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0
PAP06,Papelucho,Papelucho perdido,Marcela Paz,0,4,29,identity,16173,7473,3104,1195,0.4620664069745873,13.533891213389122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PAPELUCHO PERDIDO | MARCELA PAZ |  | I,,0
PAP07,Papelucho,"Papelucho, mi hermana Ji",Marcela Paz,42,0,0,none,15301,7040,2962,1196,0.46010064701653486,12.793478260869565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,www.lectulandia.com - Página 5 | www.lectulandia.com - Página 6 | www.lectulandia.com - Página 7 | www.lectulandia.com - Página 8 | www.lectulandia.com - Página 9 | www.lectulandia.com - Página 10 ...,0
PAP08,Papelucho,Papelucho misionero,Marcela Paz,112,0,0,none,21574,10263,3868,1425,0.47571150458885697,15.139649122807018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7 | 1 | 8 | 9 | 10 | 11 | 13 | 14 | 15 | 16 | 17 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 48 | 4...,0
PAP09,Papelucho,Diario secreto de Papelucho y el marciano,Marcela Paz,44,0,0,none,19742,9188,3570,1530,0.46540370783102014,12.90326797385621,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | ...,0
PAP10,Papelucho,"Papelucho, mi hermano hippie",Marcela Paz,76,0,0,none,21244,10224,3916,1567,0.4812652984372058,13.557115507338864,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7 | 10 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 22 | 24 | 26 | 28 | 29 | 31 | 32 | 34 | 35 | 36 | -38 | 42 | 43 | 44 | 46 | 4 | 48 | 50 | 51 | 52 | 5 | 54 | 56 | 57 | 58 | 59 | 60 | 64 | 66 | 68 | 70 |...,0
