metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note,analysis,richer_vocabulary_in
TTR,12,63,0.47469333333333336,0.5026866666666666,0.4646488888888889,0.5090330158730159,-0.02799333333333326,1.9816295273745484e-4,-0.6825396825396826,-0.8597883597883598,-0.48148148148148145,large,-0.6825396825396826,Comparison,0.00158530362189963,TRUE,,length-controlled,Comparison
RTTR,12,63,33.56588749840462,35.54531508120616,32.8556380204128,35.9940697371649,-1.9794275828015415,1.9816295273745484e-4,-0.6825396825396826,-0.8597883597883598,-0.48148148148148145,large,-0.6825396825396826,Comparison,0.00158530362189963,TRUE,,length-controlled,Comparison
CTTR,12,63,23.73466666666667,25.134333333333338,23.232444444444443,25.451650793650792,-1.3996666666666648,1.9816295273745484e-4,-0.6825396825396826,-0.8597883597883598,-0.48148148148148145,large,-0.6825396825396826,Comparison,0.00158530362189963,TRUE,,length-controlled,Comparison
Herdan_C,12,63,0.9125165834501956,0.9192402260106836,0.9098675307818924,0.9203842168489592,-0.00672364256048785,1.9816295273745484e-4,-0.6825396825396826,-0.8597883597883598,-0.48148148148148145,large,-0.6825396825396826,Comparison,0.00158530362189963,TRUE,,length-controlled,Comparison
Maas,12,63,0.01027139041978893,0.00948197043020081,0.01058241455752636,0.00934765495648012,7.894199895881193e-4,1.9816295273745484e-4,0.6825396825396826,0.48148148148148145,0.8597883597883598,large,0.6825396825396826,Papelucho,0.00158530362189963,TRUE,,length-controlled,Comparison
MATTR,12,63,0.929219282299872,0.9467804483942638,0.9239022644134742,0.945273592315806,-0.01756116609439173,7.27744118625048e-5,-0.7275132275132276,-0.8783068783068783,-0.5529100529100529,large,-0.7275132275132274,Comparison,6.549697067625432e-4,TRUE,,length-controlled,Comparison
MTLD,12,63,676.1192997834244,973.596705114404,652.5970790618577,1044.44344002108,-297.47740533097965,1.9502070397575712e-5,-0.783068783068783,-0.9126984126984128,-0.6216931216931217,large,-0.783068783068783,Comparison,1.9502070397575712e-4,TRUE,,length-controlled,Comparison
Yule_K,12,63,12.299453333333332,12.372746666666666,12.07164,13.649002328042329,-0.07329333333333388,0.6282890701059527,-0.08994708994708994,-0.335978835978836,0.15608465608465608,negligible,-0.08994708994709,Comparison,1,FALSE,,length-controlled,Papelucho
Simpson_D,12,63,0.00123019137160765,0.00123752217110088,0.00120740548109621,0.00136517326745772,-7.330799493232088e-6,0.6282890701059527,-0.08994708994708994,-0.335978835978836,0.15608465608465608,negligible,-0.08994708994709,Comparison,1,FALSE,,length-controlled,Papelucho
Shannon_H,12,63,7.294622352034489,7.345426280919989,7.26054397159458,7.357268117791053,-0.05080392888550023,0.02462341535852108,-0.4126984126984127,-0.6534391534391535,-0.14808201058201093,medium,-0.4126984126984127,Comparison,0.07387024607556325,FALSE,"notable effect, not significant after correction",length-controlled,Comparison
Hapax_ratio,12,63,0.6546978470227658,0.6958806114029589,0.6531215194787429,0.6957395522124438,-0.04118276438019308,4.742108910404719e-7,-0.9232804232804231,-0.992063492063492,-0.8227513227513228,large,-0.9232804232804231,Comparison,5.21631980144519e-6,TRUE,,length-controlled,Comparison
