metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note,analysis
TTR,12,63,0.3857853136328735,0.19981209401778627,0.3814986593184578,0.2187787021724462,0.18597321961508723,1.616333588642543e-7,0.9603174603174603,0.8888888888888888,1,large,0.9603174603174602,Papelucho,1.7779669475067972e-6,TRUE,,whole text (length-confounded)
RTTR,12,63,35.41209831246911,45.60607559126871,35.24209869812637,46.4121562552166,-10.1939772787996,2.7823007047408674e-7,-0.9417989417989416,-1,-0.8597222222222225,large,-0.941798941798942,Comparison,2.782300704740867e-6,TRUE,,whole text (length-confounded)
CTTR,12,63,25.040134852791603,32.24836531389239,24.919926972690753,32.8183504175533,-7.20823046110079,2.7823007047408674e-7,-0.9417989417989416,-1,-0.8597222222222225,large,-0.941798941798942,Comparison,2.782300704740867e-6,TRUE,,whole text (length-confounded)
Herdan_C,12,63,0.8952031420335971,0.852398506845269,0.8933083388434183,0.8567287435490805,0.04280463518832811,3.243436085742776e-7,0.9365079365079364,0.8491402116402117,0.9973544973544972,large,0.9365079365079364,Papelucho,2.782300704740867e-6,TRUE,,whole text (length-confounded)
Maas,12,63,0.01139503242508486,0.01358609850516698,0.01178007678162402,0.01329667018875379,-0.00219106608008212,4.7379550158655525e-5,-0.746031746031746,-0.9047619047619048,-0.5634259259259263,large,-0.746031746031746,Comparison,2.368977507932776e-4,TRUE,,whole text (length-confounded)
MATTR,12,63,0.9190594646988464,0.9300768438763466,0.9155405305916492,0.926457786908128,-0.01101737917750023,0.02462341535852108,-0.4126984126984127,-0.6244047619047618,-0.1692460317460321,medium,-0.4126984126984127,Comparison,0.09849366143408432,FALSE,"notable effect, not significant after correction",whole text (length-confounded)
MTLD,12,63,569.5997690152119,598.4428581740128,530.1357906713373,616.3327107524642,-28.84308915880092,0.22201792276619156,-0.22486772486772488,-0.5158730158730159,0.06349206349206349,small,-0.22486772486772488,Comparison,0.6660537682985747,FALSE,,whole text (length-confounded)
Yule_K,12,63,12.272725362818152,12.471805049136682,12.080152995501782,13.629396073698471,-0.19907968631853024,0.6698680793936287,-0.07936507936507936,-0.32546296296296284,0.16666666666666666,negligible,-0.07936507936507942,Comparison,1,FALSE,,whole text (length-confounded)
Simpson_D,12,63,0.0012274144182962,0.00124720191537022,0.001208158498102,0.0013629791417069,-1.9787497074020893e-5,0.6698680793936287,-0.07936507936507936,-0.32546296296296284,0.16666666666666666,negligible,-0.07936507936507942,Comparison,1,FALSE,,whole text (length-confounded)
Shannon_H,12,63,7.471320333845845,8.041384051652257,7.449913476103368,8.008610381925136,-0.5700637178064119,5.941523612533072e-7,-0.9153439153439152,-0.9947089947089948,-0.8148148148148148,large,-0.9153439153439152,Comparison,4.15906652877315e-6,TRUE,,whole text (length-confounded)
Hapax_ratio,12,63,0.6078106366332412,0.5250739888194673,0.607015536256301,0.5350684371997595,0.08273664781377388,7.430782351180712e-7,0.9074074074074074,0.7936507936507936,0.9947089947089948,large,0.9074074074074074,Papelucho,4.458469410708427e-6,TRUE,,whole text (length-confounded)
