book_id,group,title_es,author,tokens,types,TTR,RTTR,CTTR,Herdan_C,Maas,MATTR,MTLD,Yule_K,Simpson_D,Shannon_H,Hapax_ratio
PAP01,Papelucho,Papelucho,Marcela Paz,8880,3124,0.3518018018018018,33.151603714282494,23.441723793578284,0.8850925816256731,0.012638915473695347,0.9071022534254332,391.7292292254297,13.124188377566757,0.0013125666493162833,7.354505632440143,0.5880281690140845
PAP02,Papelucho,Papelucho casi huérfano,Marcela Paz,7551,2859,0.3786253476360747,32.90121379055091,23.264671380566906,0.8912352169411284,0.012180477219668485,0.9183284457478006,465.48069150391916,12.608036595576865,0.0012609706534198795,7.322731146002263,0.6075550891920252
PAP03,Papelucho,Papelucho historiador,Marcela Paz,6450,2537,0.3933333333333333,31.58934419494439,22.337039493481075,0.8936257001414835,0.012126800708070448,0.8822527730042181,318.27448198137034,13.407367345712396,0.0013409446329639473,7.248877620514799,0.6034686637761135
PAP04,Papelucho,Papelucho detective,Marcela Paz,9703,3212,0.33103163969906213,32.607876758743245,23.057250776202565,0.8795731599904797,0.013118120085480911,0.9134534907810234,387.808884465602,13.729629206223137,0.0013731044340134313,7.361883498246753,0.5663138231631383
PAP05,Papelucho,Papelucho en la clínica,Marcela Paz,11210,3699,0.32997323818019625,34.93667139308703,24.703957254137908,0.8810942774817466,0.012751883540408739,0.9155487859510797,465.14243533399,13.005623722288227,0.0013006784006320904,7.459474456250953,0.5869153825358205
PAP06,Papelucho,Papelucho perdido,Marcela Paz,7473,3104,0.4153619697577947,35.90659485565562,25.38979671175209,0.9014912188042217,0.01104475939385947,0.9258917025862069,607.6918251845661,8.997286077150143,8.998490210725779e-4,7.50450219905916,0.6243556701030928
PAP07,Papelucho,"Papelucho, mi hermana Ji",Marcela Paz,7040,2962,0.42073863636363634,35.30195236681806,24.962249907701537,0.9022792710454607,0.011030220118567543,0.9032813617508225,531.5077128458576,14.083483987603305,0.0014085484766689484,7.3926084130044085,0.6404456448345712
PAP08,Papelucho,Papelucho misionero,Marcela Paz,10263,3868,0.3768878495566598,38.18117601757652,26.998168475705533,0.8943508150414944,0.011438474231101347,0.9197904836498922,608.2779886640949,11.82407505749903,0.0011825227276857585,7.591961223281189,0.6080661840744571
PAP09,Papelucho,Diario secreto de Papelucho y el marciano,Marcela Paz,9188,3570,0.38855028297779715,37.24412047868409,26.335570149806284,0.896409316612198,0.011351590619068375,0.9220614946930736,622.937516255626,10.846803073949497,0.0010847983742619787,7.555362280184895,0.6184873949579832
PAP10,Papelucho,"Papelucho, mi hermano hippie",Marcela Paz,10224,3916,0.3830203442879499,38.728641445726076,27.385284992415286,0.8960554690256997,0.011258554865499988,0.9292717444717444,678.5227286181131,11.93741413005944,0.0011938581831725296,7.589408244746712,0.6251276813074566
