book_id,group,title_es,author,audience,translated,n_tokens_running,n_sentences,words_per_sentence,sd_words_per_sentence,median_words_per_sentence,pct_short_sentences,pct_long_sentences,letters_per_word,syllables_per_word,Fernandez_Huerta,Szigriszt_Pazos,Gutierrez_Polini,Mu_index,inflesz_band_en,inflesz_band_es,Flesch_Kincaid_EN,ARI_EN,flag_segmentation
CMP01,Comparison,Apocalipsis Z,Manel Loureiro,adult,FALSE,127799,7986,16.002880040070124,10.718579243423997,14,32.844978712747306,17.993989481592788,4.672094460833027,2.0242568408203505,69.06165190990744,64.72091877682205,44.279675715895095,60.651251197772616,normal,normal,14.53735393730749,8.57700493055862,FALSE
CMP02,Comparison,Cell,Stephen King,adult,TRUE,128249,8683,14.770125532650006,11.552936953737277,12,41.43729125878153,15.501554762178971,4.552971173264509,1.9564986861495997,74.38455078772103,70.17500632022995,45.86663568290677,66.46168334264792,fairly easy,bastante facil,13.257033454298778,7.399556992400839,FALSE
CMP03,Comparison,Conan,Robert E. Howard,adult,TRUE,70408,3981,17.6860085405677,11.447357812443823,16,26.57623712635016,21.075106757096208,4.682152596295875,2.003607544597205,68.58381861278866,64.32424143102645,43.59301682673132,63.18202628674572,normal,normal,14.95011235706842,9.46594299883742,FALSE
CMP04,Comparison,Amanecer,Stephenie Meyer,young_adult,TRUE,183951,16393,11.221313975477338,8.224272138225363,9,51.43658878789728,5.87445861038248,4.604829546998929,1.9923186065854495,75.85514334988615,71.49223683424917,46.60569350269333,67.17847680339256,fairly easy,bastante facil,12.295672008144468,5.869404154103627,FALSE
CMP05,Comparison,Crepúsculo,Stephenie Meyer,young_adult,TRUE,123629,10700,11.55411214953271,8.224245896684598,9,50.50467289719626,6.3831775700934585,4.582905305389512,1.9838710982051138,76.02253971516981,71.68571843228871,46.70187928538529,64.52725988172674,fairly easy,bastante facil,12.325782697138099,5.9325400631509595,FALSE
CMP06,Comparison,Eclipse,Stephenie Meyer,young_adult,TRUE,160289,14085,11.380120695775648,8.282607117178904,9,51.76428824991125,6.467873624423145,4.503546718739277,1.947800535283145,78.36424477332014,74.10690595608445,47.53255458470755,66.9952856669424,fairly easy,bastante facil,11.832293387693614,5.471765393149816,FALSE
CMP07,Comparison,Luna nueva,Stephenie Meyer,young_adult,TRUE,143847,12236,11.756047728015691,8.574337104943298,10,49.28081072245832,6.963059823471723,4.5293054425883055,1.9666868269758842,76.84762169887095,72.55436295138675,47.15112050208795,66.36585367544771,fairly easy,bastante facil,12.201763172241552,5.781052498598761,FALSE
CMP08,Comparison,Sol de medianoche,Stephenie Meyer,young_adult,TRUE,77774,6744,11.53232502965599,8.181011979837878,9,50.10379596678529,6.628113879003558,4.63878674107028,2.0223982307712087,73.73313462347838,69.30726519329772,46.16745485123869,63.57243070581563,fairly easy,bastante facil,12.7719058846661,6.184848065269016,FALSE
CMP09,Comparison,El exilio,R. A. Salvatore,adult,TRUE,92232,6169,14.950883449505593,9.02687852335889,14,31.723131787972118,12.449343491651806,4.726472374013357,1.998557984213722,71.67661982868098,67.37395413397954,44.12040876474348,62.28494722807723,fairly easy,bastante facil,13.823828759029102,8.307126606355709,FALSE
CMP10,Comparison,El refugio,R. A. Salvatore,adult,TRUE,98910,6389,15.481295977461262,9.460390885712771,14,31.350759117232744,14.791047112224135,4.63426347184309,1.95940754221009,73.48462557038411,69.28261414285015,44.8291907310106,65.2644875538584,fairly easy,bastante facil,13.568714429288956,8.138028941111585,FALSE
CMP11,Comparison,La morada,R. A. Salvatore,adult,TRUE,102138,6854,14.901955062737088,9.63501295384233,13,34.95768894076452,13.90428946600525,4.657766942763712,1.9743582212301005,73.17851256220214,68.93052775462766,44.803976383234016,63.67804385444901,fairly easy,bastante facil,13.51918948498265,7.959059831785627,FALSE
CMP12,Comparison,El ocho,Katherine Neville,adult,TRUE,217297,16101,13.495869821750201,8.964838875655747,12,39.239798770262716,9.769579529221788,4.683350437419753,2.008927872911269,72.53854040713865,68.18292369587775,45.047946319415836,64.40464815523134,fairly easy,bastante facil,13.378738130835554,7.376515471122133,FALSE
CMP13,Comparison,El perfume,Patrick Süskind,adult,TRUE,79630,3391,23.482748451784133,19.949773834561952,19,24.859923326452375,34.974933647891476,4.690933065427602,2.0299635815647368,61.089781685295975,56.885520416732774,41.47898730722782,59.1092708439939,normal,normal,17.521842158659705,12.40566896405607,FALSE
CMP14,Comparison,El caso Bourne,Robert Ludlum,adult,TRUE,193941,17758,10.92133123099448,8.576734716333164,8,55.907196756391485,6.954612005856515,4.66512496068392,2.0025471664062784,75.54741216000892,71.15498030189438,46.12582195051792,62.1773131900786,fairly easy,bastante facil,12.299375743681932,6.003404180318501,FALSE
CMP15,Comparison,El extraño caso de Benjamin Button,F. Scott Fitzgerald,adult,TRUE,9619,636,15.124213836477987,12.812378952591148,11,44.81132075471698,16.82389937106918,4.692899469799356,2.0252625012995114,69.89755180882177,65.53693233256246,44.38540030017896,59.990571003800895,fairly easy,bastante facil,14.206540911560651,8.235663420993959,FALSE
CMP16,Comparison,Cerco de oscuridad,R. A. Salvatore,adult,TRUE,115408,5732,20.133984647592463,12.36604327768171,18,22.592463363572925,29.291695743196094,4.768568903368918,2.0276150700124775,64.64643145870704,60.380596490630204,41.897987010664146,60.00553636787886,normal,normal,16.1881118387083,11.096951858663836,FALSE
CMP17,Comparison,El legado,R. A. Salvatore,adult,TRUE,87134,5047,17.264513572419258,10.195519232148728,16,25.638993461462256,19.338220725183277,4.664677393439989,1.9698854637684486,71.03706833002545,66.8466220348064,43.910049533285374,65.38019030528228,fairly easy,bastante facil,14.387808765711206,9.172887309311982,FALSE
CMP18,Comparison,Luz en las tinieblas,R. A. Salvatore,adult,TRUE,115070,6632,17.350723763570567,10.93888522962841,15,28.22677925211098,21.71290711700844,4.671990962023116,1.9795776483879377,70.36760285788176,66.15658874186093,43.80893435112608,62.66084439707497,fairly easy,bastante facil,14.53579851877019,9.25043931291416,FALSE
CMP19,Comparison,Noche sin estrellas,R. A. Salvatore,adult,TRUE,108876,5692,19.12789880534083,11.100090856668885,18,21.57413914265636,26.423049894588896,4.728085161100702,2.020904515228333,66.07527230485238,61.80474989593402,42.642809355453906,60.62160456316125,normal,normal,15.716553813777256,10.403230511454723,FALSE
CMP20,Comparison,La gema del halfling,R. A. Salvatore,adult,TRUE,108863,7012,15.525242441528809,10.548358345599974,13,34.51226468910439,16.6999429549344,4.685614028641504,1.9968492508933247,71.19329765604112,66.90604922781708,44.31570906764234,64.8440532763818,fairly easy,bastante facil,14.02766571273747,8.401863295665887,FALSE
CMP21,Comparison,La piedra de cristal,R. A. Salvatore,adult,TRUE,115465,6034,19.135730858468676,12.535291228564436,17,26.383824991713624,27.427908518395753,4.737608799203222,2.0044862079418007,67.05238204785392,62.81977838675715,42.54768884726472,62.94498403399059,normal,normal,15.525872288516034,10.452002873481511,FALSE
CMP22,Comparison,Ríos de plata,R. A. Salvatore,adult,TRUE,112781,6675,16.896029962546816,11.395974103193288,15,31.580524344569287,20.49438202247191,4.745347177272768,2.005461912910863,69.27833466355048,64.99869286310644,43.25652189356277,63.36427026744761,normal,normal,14.66390225774144,9.368600186228143,FALSE
CMP23,Comparison,Finis Mundi,Laura Gallego García,young_adult,FALSE,61232,5357,11.43027814075042,8.273931096908289,9,51.54004106776181,6.888183684898264,4.641919257904363,1.9935981186307814,75.56522917858769,71.20355906855191,46.172785849065036,66.48706209489241,fairly easy,bastante facil,12.392266274735885,6.14857877510476,FALSE
CMP24,Comparison,Guerra Mundial Z,Max Brooks,adult,TRUE,126381,7938,15.921012849584278,10.733186003716243,14,31.128747795414462,15.910808767951625,4.713153084720013,2.024639779713723,69.12218011060067,64.7789288742508,43.91006058086138,61.87990384139355,normal,normal,14.5099444119598,8.729457453823404,FALSE
CMP25,Comparison,Harry Potter y el cáliz de fuego,J. K. Rowling,young_adult,TRUE,199618,14108,14.149277005954069,11.340007744287655,11,43.174085625177206,13.651828749645592,4.598072318127624,1.950129747818333,75.39995258482688,71.1926397049638,45.64645156207813,65.19440243440569,fairly easy,bastante facil,12.939749056578417,7.301559121358142,FALSE
CMP26,Comparison,Harry Potter y el misterio del príncipe,J. K. Rowling,young_adult,TRUE,175160,11755,14.90089323692046,12.322966611812262,11,42.23734581029349,16.129306678009357,4.616407855674812,1.9675782142041562,73.58639604609176,69.35398401816062,45.20553116703217,64.14666096306884,fairly easy,bastante facil,13.438771290008027,7.763727618688591,FALSE
CMP27,Comparison,Harry Potter y el prisionero de Azkaban,J. K. Rowling,children,TRUE,109618,9321,11.760326145263384,9.07333705489755,9,50.91728355326681,7.638665379251153,4.606898502070828,1.9513583535550731,77.76296611852696,73.50504842825558,46.396970379070794,66.18633524183845,fairly easy,bastante facil,12.022555768602587,6.148655017385291,FALSE
CMP28,Comparison,Harry Potter y la cámara secreta,J. K. Rowling,children,TRUE,91167,6620,13.771450151057401,10.535351566530995,11,42.44712990936556,12.099697885196374,4.598692509350971,1.940625445610802,76.35559410927333,72.16258458738963,45.7726751064255,66.34319025102516,fairly easy,bastante facil,12.68024581711985,7.115566794571773,FALSE
CMP29,Comparison,Harry Potter y la orden del fénix,J. K. Rowling,young_adult,TRUE,253615,16063,15.788769221191558,14.119590818939972,12,41.281205254311146,17.97920687293781,4.706464522997456,1.9949017211127102,71.041352127622,66.76385355348661,44.02122489950763,63.964747344402475,fairly easy,bastante facil,14.107460305394689,8.6318325139138,FALSE
CMP30,Comparison,Harry Potter y la piedra filosofal,J. K. Rowling,children,TRUE,77823,6471,12.026425591098748,9.299970624933426,10,48.895070313707315,8.159480760315253,4.568739318710407,1.9327705177132724,78.60681483428294,74.3969711553644,46.67397965162449,71.29282031165715,fairly easy,bastante facil,11.90699808954513,6.101974986675394,FALSE
CMP31,Comparison,Harry Potter y las reliquias de la muerte,J. K. Rowling,young_adult,TRUE,200684,12288,16.331705729166668,13.247512933150277,13,36.60481770833333,18.758138020833336,4.652035040162644,1.9759622092443843,71.62392760158694,67.4008486349082,44.35916310521403,64.8480492642094,fairly easy,bastante facil,14.095719303458736,8.646937903749382,FALSE
CMP32,Comparison,Historias fantásticas,Stephen King,adult,TRUE,56491,4175,13.530778443113773,11.372416413513903,10,46.51497005988024,11.976047904191617,4.521976952080863,1.9510010444141546,75.97854332317469,71.75685648988441,46.601051109725816,66.63797760329642,fairly easy,bastante facil,12.708815916901397,6.633900665857752,FALSE
CMP33,Comparison,La expedición,Stephen King,adult,TRUE,51044,3671,13.904658131299373,11.681832564148227,11,41.10596567692727,11.76791065104876,4.517455528563592,1.9588786145286419,75.12453183435613,70.89220418356625,46.51405102697838,63.81894974499603,fairly easy,bastante facil,12.947584322644733,6.799544605184202,FALSE
CMP34,Comparison,La historia interminable,Michael Ende,children,TRUE,117770,9105,12.934651290499726,9.761828969200398,11,45.11806699615596,9.86271279516749,4.606478729727435,1.978508958138745,74.9361181953656,70.63924061745648,45.99002836996898,65.96838052896959,fairly easy,bastante facil,12.800919709332085,6.73384046226608,FALSE
CMP35,Comparison,La emperatriz de los Etéreos,Laura Gallego García,young_adult,FALSE,67370,5311,12.684993409903973,9.321694020643697,10,45.942383731877236,9.15081905479194,4.488051061303251,1.9557221315125426,76.55797883114539,72.30851779686465,47.226157011892084,67.01733054072912,fairly easy,bastante facil,12.434668581710554,6.0512172036903,FALSE
CMP36,Comparison,La torre oscura: el pistolero,Stephen King,adult,TRUE,61811,4935,12.525025329280648,10.682553234840148,9,50.35460992907801,10.131712259371833,4.634175146818527,2.001229554610021,73.99070088753248,69.63337341851506,45.86474221061207,61.24739018008203,fairly easy,bastante facil,12.909268622817702,6.659477606155583,FALSE
