metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note,family,label_en,label_es
words_per_sentence,12,63,13.218579593622666,14.770125532650006,14.01678311240213,14.29921465170775,-1.5515459390273405,0.9251592708446494,-0.01851851851851851,-0.29894179894179895,0.2671957671957672,negligible,-0.01851851851851849,Comparison,1,FALSE,,structural,Words per sentence,Palabras por oracion
sd_words_per_sentence,12,63,9.346610367933325,10.28206994200027,9.655537122808385,10.31372372346046,-0.9354595740669468,0.4655017107734712,-0.1349206349206349,-0.42857142857142855,0.1455687830687827,negligible,-0.13492063492063489,Comparison,1,FALSE,,structural,sd_words_per_sentence,sd_words_per_sentence
median_words_per_sentence,12,63,11,11,11.916666666666666,11.873015873015872,0,0.7766734946317659,0.05291005291005291,-0.2275132275132275,0.32939814814814794,negligible,0.05291005291005302,tie,1,FALSE,,structural,median_words_per_sentence,median_words_per_sentence
pct_short_sentences,12,63,42.62643325783834,41.46576663452266,40.06226551692438,41.36532670072454,1.1606666233156844,0.6804294070273247,-0.07671957671957672,-0.3756613756613757,0.2275132275132275,negligible,-0.07671957671957674,Papelucho,1,FALSE,,structural,pct_short_sentences,pct_short_sentences
pct_long_sentences,12,63,10.288828871692251,13.651828749645592,11.954302542408705,13.542804133126324,-3.3629998779533388,0.5681030913624728,-0.1058201058201058,-0.39689153439153424,0.19576719576719576,negligible,-0.1058201058201058,Comparison,1,FALSE,,structural,pct_long_sentences,pct_long_sentences
letters_per_word,12,63,4.2073459258015244,4.618800411875751,4.190976444610172,4.628336067153866,-0.4114544860742262,4.8816849702183406e-8,-1,-1,-1,large,-1,Comparison,6.346190461283842e-7,TRUE,,structural,Letters per word,Letras por palabra
syllables_per_word,12,63,1.847383063896568,1.9819882421715584,1.840180579984064,1.985061667677606,-0.13460517827499063,4.8816849702183406e-8,-1,-1,-1,large,-1,Comparison,6.346190461283842e-7,TRUE,,structural,Syllables per word,Silabas por palabra
Fernandez_Huerta,12,63,82.37520094178493,73.99070088753248,82.13204642630599,73.15110099460173,8.384500054252442,1.0067549687698197e-7,0.9761904761904762,0.9206349206349206,1,large,0.9761904761904764,Papelucho,9.297107642835732e-7,TRUE,,readability (Spanish-validated),Fernandez Huerta readability,Lecturabilidad de Fernandez Huerta
Szigriszt_Pazos,12,63,78.34511887366347,69.63337341851506,78.17496675459068,68.8664434519774,8.711745455148403,9.297107642835732e-8,0.9788359788359788,0.9312169312169312,1,large,0.9788359788359788,Papelucho,9.297107642835732e-7,TRUE,,readability (Spanish-validated),Szigriszt-Pazos perspicuity,Perspicuidad de Szigriszt-Pazos
Gutierrez_Polini,12,63,49.76224166195729,45.67018005874928,49.64165439794059,45.30041502050979,4.092061603208009,4.8816849702183406e-8,1,1,1,large,1,Papelucho,6.346190461283842e-7,TRUE,,readability (Spanish-validated),Gutierrez de Polini comprehensibility,Comprensibilidad de Gutierrez de Polini
Mu_index,12,63,70.26037881954466,64.8480492642094,70.26499298856109,64.75635299252426,5.412329555335262,3.379999871379601e-6,0.8518518518518519,0.706283068783069,0.9629629629629628,large,0.8518518518518519,Papelucho,2.703999897103681e-5,TRUE,,readability (Spanish-validated),Mu index,Indice mu
Flesch_Kincaid_EN,12,63,11.539696487833726,13.257033454298778,11.590676257648788,13.410421392761776,-1.7173369664650515,2.5232575520459135e-5,-0.7724867724867724,-0.9232804232804231,-0.5767195767195767,large,-0.7724867724867726,Comparison,1.7662802864321396e-4,TRUE,,"readability (English formula, not valid for Spanish)",Flesch-Kincaid (English formula),Flesch-Kincaid (formula inglesa)
ARI_EN,12,63,5.212880170320647,7.376515471122133,5.317890610314975,7.519070202148583,-2.163635300801486,8.212100282372709e-5,-0.7222222222222222,-0.8941798941798942,-0.5079365079365079,large,-0.7222222222222222,Comparison,4.927260169423625e-4,TRUE,,"readability (English formula, not valid for Spanish)",Automated Readability Index (English formula),Indice ARI (formula inglesa)
