metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note,label_en,label_es,median_focus_pct,median_comparison_pct
ADJ,12,63,0.046350625337377924,0.05341420465662297,0.04533403355336055,0.05454875461972631,-0.0070635793192450474,2.8666927407054543e-5,-0.7671957671957672,-0.9682539682539683,-0.46825396825396826,large,-0.7671957671957672,Comparison,2.866692740705454e-4,TRUE,,Adjective,Adjetivo,4.635062533737792,5.3414204656622974
ADP,12,63,0.12413153346505296,0.14357498292516344,0.12145677155342359,0.14657891904205625,-0.01944344946011048,7.312935725921867e-8,-0.9867724867724867,-1,-0.9523809523809523,large,-0.9867724867724867,Comparison,1.0969403588882802e-6,TRUE,,Adposition,Adposicion,12.413153346505295,14.357498292516343
ADV,12,63,0.06069050162006143,0.05980277289591877,0.059918562432418714,0.06074590644153792,8.877287241426599e-4,0.8907996681151981,-0.026455026455026457,-0.2778439153439152,0.24338624338624337,negligible,-0.02645502645502651,Papelucho,1,FALSE,,Adverb,Adverbio,6.069050162006143,5.980277289591877
AUX,12,63,0.03759539312905566,0.03827868450718032,0.03832639196028869,0.03828751918488198,-6.832913781246591e-4,0.9942346030289769,0.002645502645502646,-0.27519841269841255,0.28048941798941757,negligible,0.002645502645502562,Comparison,1,FALSE,,Auxiliary,Auxiliar,3.759539312905566,3.827868450718032
CCONJ,12,63,0.06639639589150406,0.039572925849740426,0.06685331901380442,0.03961843739094217,0.026823470041763636,4.8816849702183406e-8,1,1,1,large,1,Papelucho,7.810695952349345e-7,TRUE,,Coordinating conjunction,Conjuncion coordinante,6.6396395891504065,3.9572925849740423
DET,12,63,0.1311450334258501,0.14644024788952326,0.13087008329914307,0.14767651520712,-0.015295214463673157,4.3314194230202624e-4,-0.6455026455026455,-0.8359788359788359,-0.4205687830687834,large,-0.6455026455026456,Comparison,0.00346513553841621,TRUE,,Determiner,Determinante,13.11450334258501,14.644024788952326
INTJ,12,63,5.864589445564651e-4,6.45641917059846e-4,5.653115009365134e-4,7.415201696558802e-4,-5.918297250338085e-5,0.4309161519401726,-0.1455026455026455,-0.3941798941798942,0.1111111111111111,negligible,-0.14550264550264547,Comparison,1,FALSE,,Interjection,Interjeccion,0.05864589445564652,0.0645641917059846
NOUN,12,63,0.1725376954962821,0.18313441596556446,0.16939908728295314,0.18288364987999647,-0.010596720469282367,0.012668983788593104,-0.4576719576719577,-0.6825396825396826,-0.1930555555555559,medium,-0.4576719576719577,Comparison,0.08868288652015173,FALSE,"notable effect, not significant after correction",Noun,Sustantivo,17.25376954962821,18.313441596556444
NUM,12,63,0.005411100991311511,0.0041035661944308745,0.006089096312776484,0.004582279508485962,0.001307534796880636,0.025561597187269473,0.41005291005291006,0.05291005291005291,0.6958994708994702,medium,0.41005291005291,Papelucho,0.15336958312361684,FALSE,"notable effect, not significant after correction",Numeral,Numeral,0.541110099131151,0.41035661944308743
PART,12,63,1.0642607907384243e-4,9.763718023823472e-5,1.5743684761550928e-4,1.3029705275873415e-4,8.788898835607707e-6,0.5924050450718541,0.0992063492063492,-0.25396825396825395,0.4603505291005289,negligible,0.0992063492063493,Papelucho,1,FALSE,,Particle,Particula,0.010642607907384243,0.009763718023823472
PRON,12,63,0.11201240332943316,0.08153395212506107,0.11382843920515363,0.08010792169790898,0.030478451204372092,1.4944559016528003e-7,0.9629629629629629,0.8994708994708994,1,large,0.962962962962963,Papelucho,2.0922382623139203e-6,TRUE,,Pronoun,Pronombre,11.201240332943316,8.153395212506107
PROPN,12,63,0.028093500241919953,0.05099951243295953,0.029606505112536936,0.05147450656238108,-0.02290601219103958,8.720922917447586e-5,-0.7195767195767195,-0.9259259259259259,-0.431150793650794,large,-0.7195767195767195,Comparison,7.848830625702827e-4,TRUE,,Proper noun,Nombre propio,2.8093500241919953,5.099951243295953
SCONJ,12,63,0.04454467183498395,0.0357805330469589,0.04618198090429414,0.03621873261817408,0.008764138788025053,1.079603742181717e-5,0.8068783068783069,0.6164021164021164,0.9497354497354498,large,0.806878306878307,Papelucho,1.403484864836232e-4,TRUE,,Subordinating conjunction,Conjuncion subordinante,4.454467183498395,3.57805330469589
SYM,12,63,2.1891440221753528e-4,4.887585532746823e-5,3.144765712269684e-4,9.669974013127628e-5,1.7003854689006705e-4,1.415157753745064e-5,0.7751322751322751,0.6136904761904762,0.9074074074074074,large,0.7751322751322751,Papelucho,1.6883246007293968e-4,TRUE,,Symbol,Simbolo,0.021891440221753527,0.004887585532746823
VERB,12,63,0.1684669847001039,0.15384993366419342,0.16828519477365855,0.15382102266269132,0.014617051035910489,1.4069371672744973e-5,0.7962962962962963,0.6137566137566137,0.9338624338624338,large,0.7962962962962963,Papelucho,1.6883246007293968e-4,TRUE,,Verb,Verbo,16.84669847001039,15.38499336641934
X,12,63,0.0026383132738830375,0.0025068816358631537,0.002813309676409082,0.002487318221551629,1.3143163801988388e-4,0.48787481361574264,0.1283068783068783,-0.22357804232804226,0.4736111111111107,negligible,0.12830687830687837,Papelucho,1,FALSE,,Other,Otro,0.2638313273883037,0.25068816358631535
