book_id,group,n_sentences,n_chunks
CMP01,Comparison,7986,20
CMP02,Comparison,8683,20
CMP03,Comparison,3981,20
CMP04,Comparison,16393,20
CMP05,Comparison,10700,20
CMP06,Comparison,14085,20
CMP07,Comparison,12236,20
CMP08,Comparison,6744,20
CMP09,Comparison,6169,20
CMP10,Comparison,6389,20
CMP11,Comparison,6854,20
CMP12,Comparison,16101,20
CMP13,Comparison,3391,20
CMP14,Comparison,17758,20
CMP15,Comparison,636,20
CMP16,Comparison,5732,20
CMP17,Comparison,5047,20
CMP18,Comparison,6632,20
CMP19,Comparison,5692,20
CMP20,Comparison,7012,20
CMP21,Comparison,6034,20
CMP22,Comparison,6675,20
CMP23,Comparison,5357,20
CMP24,Comparison,7938,20
CMP25,Comparison,14108,20
CMP26,Comparison,11755,20
CMP27,Comparison,9321,20
CMP28,Comparison,6620,20
CMP29,Comparison,16063,20
CMP30,Comparison,6471,20
CMP31,Comparison,12288,20
CMP32,Comparison,4175,20
CMP33,Comparison,3671,20
CMP34,Comparison,9105,20
CMP35,Comparison,5311,20
CMP36,Comparison,4935,20
CMP37,Comparison,7131,20
CMP38,Comparison,8389,20
CMP39,Comparison,2825,20
CMP40,Comparison,8776,20
CMP41,Comparison,6339,20
CMP42,Comparison,9557,20
CMP43,Comparison,8101,20
CMP44,Comparison,3111,20
CMP45,Comparison,4196,20
CMP46,Comparison,4133,20
CMP47,Comparison,6483,20
CMP48,Comparison,6064,20
CMP49,Comparison,6866,20
CMP50,Comparison,7303,20
CMP51,Comparison,4577,20
CMP52,Comparison,4755,20
CMP53,Comparison,6914,20
CMP54,Comparison,4780,20
CMP55,Comparison,5118,20
CMP56,Comparison,3905,20
CMP57,Comparison,13003,20
CMP58,Comparison,9363,20
CMP59,Comparison,5922,20
CMP60,Comparison,1650,20
CMP61,Comparison,12995,20
CMP62,Comparison,8866,20
CMP63,Comparison,4404,20
PAP01,Papelucho,1187,20
PAP02,Papelucho,901,20
PAP03,Papelucho,1141,20
PAP04,Papelucho,1817,20
PAP05,Papelucho,1700,20
PAP06,Papelucho,1195,20
PAP07,Papelucho,1196,20
PAP08,Papelucho,1425,20
PAP09,Papelucho,1530,20
PAP10,Papelucho,1567,20
PAP11,Papelucho,1368,20
PAP12,Papelucho,1401,20
