book_id,group,title_es,author,audience,translated,n_tokens_running,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,emotion_density,valence_ratio,valence_balance,count_anger,count_anticipation,count_disgust,count_fear,count_joy,count_negative,count_positive,count_sadness,count_surprise,count_trust
CMP01,Comparison,Apocalipsis Z,Manel Loureiro,adult,FALSE,127799,16.987613361606897,20.673088208827924,16.181660263382344,26.494730005712096,10.289595380245542,43.177176660224255,37.36335965070149,24.57765710216825,11.948450300863074,25.367960625669998,152.52075524847612,0.865349764407394,-5.813817009522765,2171,2642,2068,3386,1315,5518,4775,3141,1527,3242
CMP02,Comparison,Cell,Stephen King,adult,TRUE,128249,12.085864217264852,17.98064702258887,11.71938962487037,17.801308392268165,12.647272103486188,33.73905449555162,39.431106675295716,19.243814766586873,10.276883250551661,25.51286949605845,127.26804887367543,1.1687081118557894,5.6920521797440955,1550,2306,1503,2283,1622,4327,5057,2468,1318,3272
CMP03,Comparison,Conan,Robert E. Howard,adult,TRUE,70408,23.789910237473013,19.287580956709466,20.509033064424496,32.581524826724234,11.731621406658334,48.81547551414612,41.600386319736394,22.98034314282468,13.933075786842405,23.690489717077604,168.50357913873424,0.8521966831539133,-7.215089194409728,1675,1358,1444,2294,826,3437,2929,1618,981,1668
CMP04,Comparison,Amanecer,Stephenie Meyer,young_adult,TRUE,183951,14.569097205234003,24.35431174606281,12.285880479040614,20.418481008529444,16.895803773831073,34.6505319351349,44.017156742828256,20.168414414708266,12.60661806676778,25.31108827894385,146.60969497311783,1.270316912456856,9.366624807693356,2680,4480,2260,3756,3108,6374,8097,3710,2319,4656
CMP05,Comparison,Crepúsculo,Stephenie Meyer,young_adult,TRUE,123629,11.283760282781548,23.408747138616345,9.221137435391373,16.82453146106496,16.45245047682987,32.94534453890268,45.822582080256254,19.785001900848506,13.030923165276755,27.614880003882583,137.62143186469194,1.3908666830346184,12.877237541353573,1395,2894,1140,2080,2034,4073,5665,2446,1611,3414
CMP06,Comparison,Eclipse,Stephenie Meyer,young_adult,TRUE,160289,14.411469283606486,23.55744935709874,10.855392447391898,19.464841629806163,16.295566133671056,34.113382702493624,44.943820224719104,20.87479490170879,12.87674138587177,27.22582335656221,145.56207849571712,1.3174835405998537,10.83043752222548,2310,3776,1740,3120,2612,5468,7204,3346,2064,4364
CMP07,Comparison,Luna nueva,Stephenie Meyer,young_adult,TRUE,143847,13.458744360327293,23.239970246164326,10.893518808178134,18.846413202916988,15.189750220720628,34.29338116192899,43.289050171362625,21.72447113947458,12.464632560984935,26.222305644191398,142.03980618295827,1.2623150212852219,8.995669009433634,1936,3343,1567,2711,2185,4933,6227,3125,1793,3772
CMP08,Comparison,Sol de medianoche,Stephenie Meyer,young_adult,TRUE,77774,15.159307737804408,28.261372695245196,11.893434823977165,22.153933191040707,19.878108365263454,38.41900892329056,48.87237380101319,22.912541466299793,14.516419368940777,29.135700876899737,163.91081852547123,1.2720883534136544,10.453364877722628,1179,2198,925,1723,1546,2988,3801,1782,1129,2266
CMP09,Comparison,El exilio,R. A. Salvatore,adult,TRUE,92232,26.59597536646717,23.8637349293087,15.439326914736752,38.09957498482088,13.032353196287623,54.72070431086824,50.6440281030445,25.47922629889843,12.869719836932951,28.26567785584179,183.6455893832943,0.9255002972062613,-4.076676207823745,2453,2201,1424,3514,1202,5047,4671,2350,1187,2607
CMP10,Comparison,El refugio,R. A. Salvatore,adult,TRUE,98910,23.576989182084723,24.901425538368212,17.258113436457386,35.58790819937317,14.285714285714286,50.429683550702656,45.16226872914771,22.788393489030433,13.69932261652007,28.05580831058538,180.15367505813367,0.8955493183640739,-5.267414821554944,2332,2463,1707,3520,1413,4988,4467,2254,1355,2775
CMP11,Comparison,La morada,R. A. Salvatore,adult,TRUE,102138,28.75521353462962,25.69073214670348,15.939219487360239,35.735965066870314,14.920989249838454,51.46958037165404,57.34398558812587,23.761969100628562,16.467915956842702,29.146840549061075,190.41884509193443,1.1141335362373976,5.874405216471828,2937,2624,1628,3650,1524,5257,5857,2427,1682,2977
CMP12,Comparison,El ocho,Katherine Neville,adult,TRUE,217297,12.57265401731271,23.318315485257504,10.552377621412168,17.731491921195413,13.08807760806638,32.92728385573662,41.50080304836238,18.343557435215395,12.480614090392413,26.410857029779518,134.4979452086315,1.260377358490566,8.57351919262576,2732,5067,2293,3853,2844,7155,9018,3986,2712,5739
CMP13,Comparison,El perfume,Patrick Süskind,adult,TRUE,79630,17.355268115032022,22.12733894260957,18.97526058018335,21.813386914479466,17.845033278914983,40.474695466532715,49.805349742559336,22.265477834986815,13.072962451337435,27.13801331156599,160.59274142910962,1.230530561588582,9.330654276026621,1382,1762,1511,1737,1421,3223,3966,1773,1041,2161
CMP14,Comparison,El caso Bourne,Robert Ludlum,adult,TRUE,193941,15.236592571967764,18.44890971996638,11.359124682248725,20.2020202020202,9.992729747706777,35.237520689281794,40.38341557483977,19.939053629712127,10.575381172624665,27.204149715635168,132.95796144188182,1.1460345332162716,5.145894885557979,2955,3578,2203,3918,1938,6834,7832,3867,2051,5276
CMP15,Comparison,El extraño caso de Benjamin Button,F. Scott Fitzgerald,adult,TRUE,9619,13.514918390685102,23.911009460442873,19.752573032539765,19.44069030044703,17.673354818588212,44.2873479571681,58.73791454413141,21.41594760370101,13.514918390685102,42.20812974321655,171.43154174030565,1.3262910798122067,14.450566586963305,130,230,190,187,170,426,565,206,130,406
CMP16,Comparison,Cerco de oscuridad,R. A. Salvatore,adult,TRUE,115408,22.884028836822402,20.189241647026204,14.0024954942465,28.516220712602244,13.196658810481075,44.69360876195758,47.223762650769444,19.288090946901427,12.286843199778179,28.056980451961735,158.42056009981977,1.0566110895696006,2.530153888811867,2641,2330,1616,3291,1523,5158,5450,2226,1418,3238
CMP17,Comparison,El legado,R. A. Salvatore,adult,TRUE,87134,28.634057887850897,20.944751761654462,19.028163518259234,38.23995225744256,11.843826749604059,53.756283425528494,41.43044047099869,25.84524984506622,15.768815846856565,24.720545366906144,185.02536323364015,0.7707087959009393,-12.325842954529804,2495,1825,1658,3332,1032,4684,3610,2252,1374,2154
