metric,raw_delta,raw_p,raw_higher,raw_sig,norm_delta,norm_p,norm_higher,norm_sig,direction_flips,significance_flips
anger,-0.9391534391534392,1.98570158952945e-6,Comparison,TRUE,-0.21428571428571427,1,Comparison,FALSE,FALSE,TRUE
anticipation,-0.9497354497354498,1.98570158952945e-6,Comparison,TRUE,-0.5238095238095238,0.0345122697050715,Comparison,TRUE,FALSE,FALSE
disgust,-0.9444444444444444,1.98570158952945e-6,Comparison,TRUE,-0.42328042328042326,0.14813961774482196,Comparison,FALSE,FALSE,TRUE
fear,-0.9365079365079365,1.98570158952945e-6,Comparison,TRUE,0.1349206349206349,1,Papelucho,FALSE,TRUE,TRUE
joy,-0.9444444444444444,1.98570158952945e-6,Comparison,TRUE,-0.09788359788359788,1,Papelucho,FALSE,TRUE,TRUE
sadness,-0.9444444444444444,1.98570158952945e-6,Comparison,TRUE,-0.07407407407407407,1,Papelucho,FALSE,TRUE,TRUE
surprise,-0.9470899470899471,1.98570158952945e-6,Comparison,TRUE,-0.5740740740740741,0.015795783751787962,Comparison,TRUE,FALSE,FALSE
trust,-0.9457671957671958,1.98570158952945e-6,Comparison,TRUE,0.10317460317460317,1,Papelucho,FALSE,TRUE,TRUE
positive,-0.9576719576719577,1.7477967626995934e-6,Comparison,TRUE,-0.791005291005291,1.6041977736984105e-4,Comparison,TRUE,FALSE,FALSE
negative,-0.9417989417989417,1.98570158952945e-6,Comparison,TRUE,-0.18518518518518517,1,Comparison,FALSE,FALSE,TRUE
