metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note,analysis,label_en,label_es
anger,12,63,14.2882173919853,14.867714924095305,14.254045744032243,16.72953514864075,-0.5794975321100058,0.24467838480212828,-0.21428571428571427,-0.4974206349206347,0.082010582010582,small,-0.2142857142857143,Comparison,1,FALSE,,"per 1,000 tokens",Anger,Ira
anticipation,12,63,19.112150017292755,20.88444360571177,18.98629122659288,21.542332959052327,-1.7722935884190143,0.00431403371313393,-0.5238095238095238,-0.798941798941799,-0.20105820105820105,large,-0.5238095238095238,Comparison,0.0345122697050715,TRUE,,"per 1,000 tokens",Anticipation,Anticipacion
disgust,12,63,12.247069885739108,13.358394307578708,11.828424533528718,13.860959108980191,-1.1113244218395997,0.02116280253497456,-0.42328042328042326,-0.6534391534391535,-0.1693121693121693,medium,-0.42328042328042326,Comparison,0.14813961774482196,FALSE,"notable effect, not significant after correction","per 1,000 tokens",Disgust,Asco
fear,12,63,23.106396196264825,21.159519973935236,22.40800939948913,23.14739659646324,1.946876222329589,0.4655017107734712,0.1349206349206349,-0.12169312169312169,0.41005291005291006,negligible,0.13492063492063489,Papelucho,1,FALSE,,"per 1,000 tokens",Fear,Miedo
joy,12,63,13.311128870376963,13.282490101990549,13.097586301327132,13.841459012337223,0.02863876838641665,0.5978520411911555,-0.09788359788359788,-0.40482804232804226,0.187896825396825,negligible,-0.0978835978835979,Papelucho,1,FALSE,,"per 1,000 tokens",Joy,Alegria
sadness,12,63,20.795905835275857,20.0934375409335,19.986741610929045,20.568542414555218,0.7024682943423564,0.6910537860759224,-0.07407407407407407,-0.5291005291005291,0.3705026455026448,negligible,-0.07407407407407407,Papelucho,1,FALSE,,"per 1,000 tokens",Sadness,Tristeza
surprise,12,63,10.826641826879516,12.331381048498285,10.890252821521852,12.6324811524101,-1.5047392216187685,0.00175508708353199,-0.5740740740740741,-0.8492063492063492,-0.24332010582010616,large,-0.5740740740740741,Comparison,0.01579578375178796,TRUE,,"per 1,000 tokens",Surprise,Sorpresa
trust,12,63,26.76835463903219,25.975696007201183,26.46235393964071,26.26819171789481,0.7926586318310065,0.5779404709024623,0.10317460317460315,-0.30429894179894174,0.4815476190476186,negligible,0.10317460317460324,Papelucho,1,FALSE,,"per 1,000 tokens",Trust,Confianza
positive,12,63,36.686652364882846,43.326101849737384,36.32284382717698,43.39563730844436,-6.639449484854538,1.6041977736984106e-5,-0.791005291005291,-0.9285714285714286,-0.6164021164021164,large,-0.791005291005291,Comparison,1.6041977736984105e-4,TRUE,,"per 1,000 tokens",Positive,Positivo
negative,12,63,36.1223927813923,37.44652285866004,36.3935604986124,39.09822173396129,-1.3241300772677391,0.31518470265591075,-0.18518518518518515,-0.4656084656084656,0.10324074074074038,small,-0.18518518518518523,Comparison,1,FALSE,,"per 1,000 tokens",Negative,Negativo
