metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note,analysis
anger,12,63,260,1675,268.4166666666667,1745.7936507936508,-1415,3.0043369094782245e-7,-0.9391534391534392,-1,-0.8412698412698413,large,-0.9391534391534392,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
anticipation,12,63,371,2201,363.75,2226.9206349206347,-1830,2.2063350994771664e-7,-0.9497354497354498,-1,-0.8624338624338624,large,-0.9497354497354498,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
disgust,12,63,229.5,1459,225.91666666666666,1432.8253968253969,-1229.5,2.57615285576943e-7,-0.9444444444444444,-1,-0.8544973544973545,large,-0.9444444444444444,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
fear,12,63,400,2283,425.9166666666667,2412.5238095238096,-1883,3.2434360857427756e-07,-0.9365079365079365,-1,-0.8412698412698413,large,-0.9365079365079365,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
joy,12,63,244.5,1413,249.91666666666666,1429.5079365079366,-1168.5,2.5756493973394246e-7,-0.9444444444444444,-1,-0.8544973544973545,large,-0.9444444444444444,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
sadness,12,63,357,2128,382.3333333333333,2136.6507936507937,-1771,2.5756493973394246e-7,-0.9444444444444444,-1,-0.8570105820105828,large,-0.9444444444444444,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
surprise,12,63,202.5,1355,206.08333333333334,1316.1746031746031,-1152.5,2.384327805170778e-7,-0.9470899470899471,-1,-0.8624338624338624,large,-0.9470899470899471,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
trust,12,63,511.5,2747,506,2730.9523809523807,-2235.5,2.478205639347997e-7,-0.9457671957671958,-1,-0.8624338624338624,large,-0.9457671957671958,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
positive,12,63,666,4671,691.6666666666666,4498.015873015873,-4005,1.7477967626995935e-7,-0.9576719576719577,-1,-0.8862433862433863,large,-0.9576719576719577,Comparison,1.7477967626995934e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
negative,12,63,683,4113,693,4058.0793650793653,-3430,2.781219199364395e-7,-0.9417989417989417,-1,-0.8541666666666685,large,-0.9417989417989419,Comparison,1.98570158952945e-6,TRUE,,"raw counts (length-confounded, for contrast only)"
