clade,support,n_books,height
Amanecer|Apocalipsis Z|Cell|Cerco de oscuridad|Conan|Conflicto|Crepúsculo|Demonios del ...,1,75,3.381535588804112
Conflicto|Despertar|Furia,0.998,3,0.7159318763056312
Sangre de capitán|Una ola de terror,0.979,2,0.7250595812397065
Crepúsculo|Eclipse|Luna nueva,0.975,3,0.8166562319236849
El exilio|El legado|El refugio|La morada,0.968,4,0.787933610057328
Hora cero|La conspiración Umbrella,0.944,2,0.852239416010893
Harry Potter y la orden del fénix|Harry Potter y las reliquias de...,0.935,2,0.7789712197200152
Papelucho_01|Papelucho_02|Papelucho_04|Papelucho_05,0.846,4,0.9252808800504291
Luz en las tinieblas|Noche sin estrellas,0.822,2,0.6875111372667777
Papelucho_06|Papelucho_07|Papelucho_08|Papelucho_09|Papelucho_10|Papelucho_11|Papelucho_12,0.771,7,0.9122832811033524
La gema del halfling|La piedra de cristal|Ríos de plata,0.739,3,0.7901210937468558
Guerra Mundial Z|Papelucho_03,0.733,2,0.9628637295913577
Papelucho_04|Papelucho_05,0.727,2,0.7633211766959608
Historias fantásticas|La expedición,0.722,2,0.7450491360952486
Harry Potter y el cáliz de fuego|Harry Potter y el prisionero de...|Harry Potter y la c...,0.719,3,0.7086291832112634
El mar de los monstruos|La batalla del laberinto|La maldición del titán,0.713,3,0.7514850938771065
La batalla del laberinto|La maldición del titán,0.69,2,0.7009794521104763
Papelucho_01|Papelucho_02,0.677,2,0.8059779942730032
Emboscada en el océano|Sangre de capitán|Una ola de terror,0.672,3,0.9158440069257908
Conflicto|Furia,0.63,2,0.6630151951903291
Papelucho_01|Papelucho_02|Papelucho_04|Papelucho_05|Papelucho_06|Papelucho_07|Papelucho...,0.618,11,1.4050520931020303
La piedra de cristal|Ríos de plata,0.596,2,0.7242519260943915
El exilio|El legado|El refugio,0.59,3,0.716261082354236
Papelucho_09|Papelucho_12,0.575,2,0.7435321476872813
Conan|La torre oscura: el pistolero,0.573,2,0.8204048379828135
Harry Potter y el cáliz de fuego|Harry Potter y la cámara secreta,0.546,2,0.6714515268755238
Amanecer|Apocalipsis Z|Cell|Cerco de oscuridad|Conan|Conflicto|Crepúsculo|Demonios del ...,0.542,64,2.528898475405658
Demonios del océano|Emboscada en el océano|Sangre de capitán|Una ola de terror,0.541,4,0.995288244801187
El nombre de la rosa|El perfume|Viaje al centro de la Tierra,0.52,3,0.9750829565597356
El estigma de Errtu|El mar de las espadas,0.503,2,0.7678625183008859
Cell|Historias fantásticas|La expedición,0.49,3,0.898562753667219
Crepúsculo|Eclipse,0.417,2,0.8046911282396522
El exilio|El refugio,0.409,2,0.6883825050787824
El nombre de la rosa|El perfume,0.409,2,0.9331871995357837
Harry Potter y el cáliz de fuego|Harry Potter y el misterio del ...|Harry Potter y el p...,0.403,5,0.8129821571909595
Amanecer|El ladrón del rayo,0.387,2,0.8712437191771172
Papelucho_07|Papelucho_08,0.381,2,0.7506019542399729
La emperatriz de los Etéreos|La historia interminable,0.378,2,0.9851612497887339
Papelucho_07|Papelucho_08|Papelucho_10,0.377,3,0.7856286182765646
El estigma de Errtu|El mar de las espadas|El siervo de la piedra|La columna del mundo,0.356,4,0.8337920667161397
Amanecer|El ladrón del rayo|Sol de medianoche,0.353,3,0.9391760981450527
Harry Potter y la orden del fénix|Harry Potter y las reliquias de...|Invocación,0.338,3,0.9671130678295757
Harry Potter y el cáliz de fuego|Harry Potter y el misterio del ...|Harry Potter y el p...,0.335,4,0.7888638829292272
Cerco de oscuridad|Las dos espadas|Los senderos de la muerte|Luz en las tinieblas|Noche...,0.332,5,0.8877963604806912
El ocho|La zona muerta,0.33,2,0.8062006044795516
Cerco de oscuridad|El estigma de Errtu|El mar de las espadas|El siervo de la piedra|La ...,0.323,12,1.115331990616242
El siervo de la piedra|La columna del mundo,0.307,2,0.8043483657795344
Cerco de oscuridad|Las dos espadas|Luz en las tinieblas|Noche sin estrellas,0.303,4,0.7953573330934928
Cerco de oscuridad|El estigma de Errtu|El mar de las espadas|El siervo de la piedra|La ...,0.286,9,0.9834175345592421
Cerco de oscuridad|Las dos espadas,0.236,2,0.7647926853796906
Papelucho_06|Papelucho_11,0.219,2,0.8678639120125261
El caso Bourne|Finis Mundi,0.188,2,0.8742686513991621
Papelucho_07|Papelucho_08|Papelucho_09|Papelucho_10|Papelucho_12,0.164,5,0.8869820198370351
Conan|La torre oscura: el pistolero|Stardust,0.157,3,0.9415421454849681
Amanecer|El ladrón del rayo|Harry Potter y la orden del fénix|Harry Potter y las reliqu...,0.139,6,1.15271376531006
Amanecer|El ladrón del rayo|El regreso: anochecer|Harry Potter y la orden del fénix|Har...,0.1,7,1.3017503623381816
Conflicto|Demonios del océano|Despertar|Emboscada en el océano|Furia|Sangre de capitán|...,0.067,7,1.271598688028026
El mar de los monstruos|Harry Potter y el cáliz de fuego|Harry Potter y el misterio del...,0.064,8,1.103713698816546
Conan|Hora cero|La conspiración Umbrella|La torre oscura: el pistolero|Stardust,0.037,5,1.1489840465500132
Cerco de oscuridad|Conan|El estigma de Errtu|El exilio|El legado|El mar de las espadas|...,0.034,21,1.318823386282739
Conflicto|Crepúsculo|Demonios del océano|Despertar|Eclipse|Emboscada en el océano|Furia...,0.034,10,1.3336704486408948
Apocalipsis Z|El nombre de la rosa|El perfume|Viaje al centro de la Tierra,0.033,4,1.2483102178296137
