seed,n_neighbors,min_dist,neighbourhood_preservation,silhouette
1,5,0.05,0.5706666666666667,0.8090606805995286
1,5,0.15,0.5706666666666667,0.7230138694275231
1,5,0.35,0.5773333333333334,0.6713414734158343
1,15,0.05,0.596,0.8922614500358811
1,15,0.15,0.58,0.5274778505597222
1,15,0.35,0.588,0.4915836816301026
1,30,0.05,0.56,0.6732277857560315
1,30,0.15,0.5573333333333333,0.53784697929324
1,30,0.35,0.552,0.43312544836450995
42,5,0.05,0.5666666666666667,0.8504796573503226
42,5,0.15,0.5786666666666667,0.7883399917328975
42,5,0.35,0.5693333333333334,0.6162580240315565
42,15,0.05,0.588,0.698631103207846
42,15,0.15,0.5773333333333334,0.684723911062408
42,15,0.35,0.5826666666666667,0.60759883211505
42,30,0.05,0.5626666666666666,0.6322205317830489
42,30,0.15,0.5586666666666666,0.49799353371678023
42,30,0.35,0.5613333333333334,0.47240387328737793
123,5,0.05,0.592,0.6655047727404165
123,5,0.15,0.5786666666666667,0.722451144401837
123,5,0.35,0.5786666666666667,0.6920759115674125
123,15,0.05,0.584,0.6575211153532203
123,15,0.15,0.592,0.7752221191348238
123,15,0.35,0.5813333333333334,0.5921580365531945
123,30,0.05,0.5733333333333334,0.7065879316626368
123,30,0.15,0.5666666666666667,0.4855038777522194
123,30,0.35,0.5746666666666667,0.4470223148739128
2024,5,0.05,0.596,0.6890336475824658
2024,5,0.15,0.5973333333333334,0.83996043351158
2024,5,0.35,0.5773333333333334,0.46973637110825994
2024,15,0.05,0.576,0.7540103112157132
2024,15,0.15,0.5613333333333334,0.6387097959181869
2024,15,0.35,0.5973333333333334,0.6064796268610841
2024,30,0.05,0.56,0.5327100764648828
2024,30,0.15,0.5893333333333334,0.570160374832906
2024,30,0.35,0.5853333333333334,0.4170467474498762
20250803,5,0.05,0.56,0.739610853866828
20250803,5,0.15,0.5813333333333334,0.7968015872102675
20250803,5,0.35,0.5773333333333334,0.8096621601288192
20250803,15,0.05,0.5706666666666667,0.589550383494483
20250803,15,0.15,0.58,0.7122797628766316
20250803,15,0.35,0.5826666666666667,0.6261905282464002
20250803,30,0.05,0.5506666666666666,0.5338759182501076
20250803,30,0.15,0.5653333333333334,0.5780434036950056
20250803,30,0.35,0.5693333333333334,0.5661677540690222
