metric,n_draws,prop_significant,median_cliffs_delta,delta_q1,delta_q3,median_p_adjusted,prop_higher_in_focus,design,n_focus,n_comparison,robust
ADJ,200,1,-0.7878787878787878,-0.803030303030303,-0.7651515151515151,0.004214543377118175,0,one book per author,12,22,TRUE
ADP,200,1,-0.9924242424242424,-1,-0.9905303030303031,7.69500481831394e-5,0,one book per author,12,22,TRUE
ADV,200,0,-0.06060606060606061,-0.09090909090909091,-0.030303030303030304,1,0.87,one book per author,12,22,FALSE
CCONJ,200,1,1,1,1,7.30485189625675e-5,1,one book per author,12,22,TRUE
DET,200,1,-0.75,-0.7727272727272727,-0.7196969696969697,0.008027499036984609,0,one book per author,12,22,TRUE
Fernandez_Huerta,200,1,0.9848484848484849,0.9772727272727273,0.9924242424242424,8.8694594827384e-5,1,one book per author,12,22,TRUE
Gutierrez_Polini,200,1,1,1,1,7.30485189625675e-5,1,one book per author,12,22,TRUE
Hapax_ratio,200,1,-0.9090909090909091,-0.9166666666666666,-0.9015151515151515,4.3126750108659424e-4,0,one book per author,12,22,TRUE
MATTR,200,0.96,-0.7121212121212122,-0.7424242424242424,-0.6742424242424242,0.014015414930711016,0,one book per author,12,22,TRUE
MTLD,200,0.995,-0.7348484848484849,-0.7651515151515151,-0.7026515151515151,0.009611894448390371,0,one book per author,12,22,TRUE
Mu_index,200,1,0.8712121212121212,0.8484848484848485,0.8863636363636364,9.216414952124549e-4,1,one book per author,12,22,TRUE
NOUN,200,0.43,-0.6022727272727273,-0.6363636363636364,-0.5757575757575758,0.06011239150029897,0,one book per author,12,22,FALSE
PRON,200,1,0.9772727272727273,0.9696969696969697,0.9924242424242424,9.834019445776686e-5,1,one book per author,12,22,TRUE
PROPN,200,0,-0.553030303030303,-0.5681818181818182,-0.5303030303030303,0.10281738096978081,0,one book per author,12,22,FALSE
SCONJ,200,1,0.7803030303030303,0.7632575757575757,0.7954545454545454,0.0048595732730884475,1,one book per author,12,22,TRUE
Shannon_H,200,0,-0.48484848484848486,-0.5151515151515151,-0.45454545454545453,0.2009039514081816,0,one book per author,12,22,FALSE
Szigriszt_Pazos,200,1,0.9848484848484849,0.9772727272727273,0.9924242424242424,8.8694594827384e-5,1,one book per author,12,22,TRUE
TTR,200,0.97,-0.7121212121212122,-0.7424242424242424,-0.6818181818181818,0.014015414930711016,0,one book per author,12,22,TRUE
VERB,200,1,0.8560606060606061,0.8333333333333334,0.8806818181818181,0.001207251970633013,1,one book per author,12,22,TRUE
anger,200,0,-0.11363636363636363,-0.1534090909090909,-0.07386363636363637,1,0.12,one book per author,12,22,FALSE
emotion_density,200,0,-0.3560606060606061,-0.3939393939393939,-0.3181818181818182,0.6954960140887404,0,one book per author,12,22,FALSE
fear,200,0,0.32196969696969696,0.2878787878787879,0.3560606060606061,0.9433854318501601,1,one book per author,12,22,FALSE
joy,200,0,-0.13636363636363635,-0.18181818181818182,-0.09090909090909091,1,0.36,one book per author,12,22,FALSE
letters_per_word,200,1,-1,-1,-1,7.30485189625675e-5,0,one book per author,12,22,TRUE
lexical_density,200,1,-0.8560606060606061,-0.8560606060606061,-0.8484848484848485,0.0012575541360760553,0,one book per author,12,22,TRUE
mean_sentiment,200,0.035,-0.5151515151515151,-0.553030303030303,-0.4772727272727273,0.14897502234943652,0,one book per author,12,22,FALSE
pct_negative_chunks,200,0.55,0.6212121212121212,0.5795454545454546,0.6515151515151515,0.04449492628957358,1,one book per author,12,22,FALSE
sadness,200,0,-0.06818181818181818,-0.09848484848484848,-0.03787878787878788,1,1,one book per author,12,22,FALSE
sd_sentiment,200,0.975,0.6818181818181818,0.6515151515151515,0.7045454545454546,0.020130569626546906,1,one book per author,12,22,TRUE
sentiment_range,200,0.85,0.6666666666666666,0.6363636363636364,0.6893939393939394,0.025831400010618802,1,one book per author,12,22,FALSE
syllables_per_word,200,1,-1,-1,-1,7.30485189625675e-5,0,one book per author,12,22,TRUE
trust,200,0,0,-0.030303030303030304,0.030303030303030304,1,0.73,one book per author,12,22,FALSE
valence_ratio,200,0.08,-0.553030303030303,-0.5833333333333334,-0.5227272727272727,0.10779025975473315,0,one book per author,12,22,FALSE
words_per_sentence,200,0,-0.12878787878787878,-0.16856060606060608,-0.09090909090909091,1,0,one book per author,12,22,FALSE
