design,metric,n_focus,n_comparison,median_focus,median_comparison,cliffs_delta,delta_lower,delta_upper,delta_magnitude,p_adjusted,significant,higher_in
full corpus,TTR,12,63,0.47469333333333336,0.5026866666666666,-0.6825396825396826,-0.8597883597883598,-0.48148148148148145,large,0.0033687701965367323,TRUE,Comparison
full corpus,MTLD,12,63,676.1192997834244,973.596705114404,-0.783068783068783,-0.9126984126984127,-0.6216931216931217,large,4.0954347834908994e-4,TRUE,Comparison
full corpus,MATTR,12,63,0.929219282299872,0.9467804483942638,-0.7275132275132276,-0.8783068783068783,-0.5529100529100529,large,0.0013827138253875912,TRUE,Comparison
full corpus,Hapax_ratio,12,63,0.6546978470227658,0.6958806114029589,-0.9232804232804233,-0.9920634920634921,-0.8227513227513228,large,1.1855272276011796e-5,TRUE,Comparison
full corpus,Shannon_H,12,63,7.294622352034489,7.345426280919989,-0.4126984126984127,-0.6534391534391535,-0.14808201058201093,medium,0.2708575689437319,FALSE,Comparison
full corpus,words_per_sentence,12,63,13.218579593622666,14.770125532650006,-0.018518518518518517,-0.29894179894179895,0.2671957671957672,negligible,1,FALSE,Comparison
full corpus,letters_per_word,12,63,4.2073459258015244,4.618800411875751,-1,-1,-1,large,1.6597728898742358e-6,TRUE,Comparison
full corpus,syllables_per_word,12,63,1.8473830638965678,1.9819882421715584,-1,-1,-1,large,1.6597728898742358e-6,TRUE,Comparison
full corpus,Fernandez_Huerta,12,63,82.37520094178493,73.99070088753248,0.9761904761904762,0.9206349206349206,1,large,2.818913912555495e-6,TRUE,Papelucho
full corpus,Szigriszt_Pazos,12,63,78.34511887366347,69.63337341851506,0.9788359788359788,0.9312169312169312,1,large,2.696161216422362e-6,TRUE,Papelucho
full corpus,Gutierrez_Polini,12,63,49.76224166195729,45.67018005874928,1,1,1,large,1.6597728898742358e-6,TRUE,Papelucho
full corpus,Mu_index,12,63,70.26037881954466,64.8480492642094,0.8518518518518519,0.706283068783069,0.9629629629629629,large,8.111999691311043e-5,TRUE,Papelucho
full corpus,CCONJ,12,63,0.06639639589150406,0.039572925849740426,1,1,1,large,1.6597728898742358e-6,TRUE,Papelucho
full corpus,SCONJ,12,63,0.04454467183498395,0.0357805330469589,0.8068783068783069,0.6164021164021164,0.9497354497354498,large,2.483088607017949e-4,TRUE,Papelucho
