"iteration","current","best_so_far"
1,3.5376,3.61
2,3.479,3.61
3,3.44,3.61
4,3.3998,3.61
5,3.3643,3.61
6,3.3193,3.61
7,3.2903,3.61
8,3.2631,3.61
9,3.2307,3.61
10,3.2069,3.61
11,3.1813,3.61
12,3.1518,3.61
13,3.1275,3.61
14,3.0883,3.61
15,3.0927,3.61
16,3.071,3.61
17,3.0486,3.61
18,3.0175,3.61
19,3.0037,3.61
20,2.9818,3.61
21,2.9634,3.61
22,2.9351,3.61
23,2.9213,3.61
24,2.9065,3.61
25,2.8937,3.61
26,2.8771,3.61
27,2.8655,3.61
28,2.8461,3.61
29,2.8318,3.61
30,2.8103,3.61
31,2.7955,3.61
32,2.7783,3.61
33,2.7649,3.61
34,2.7524,3.61
35,2.7393,3.61
36,2.7267,3.61
37,2.7203,3.61
38,2.7038,3.61
39,2.6933,3.61
40,2.6787,3.61
41,2.667,3.61
42,2.6506,3.61
43,2.6505,3.61
44,2.6357,3.61
45,2.6234,3.61
46,2.618,3.61
47,2.5925,3.61
48,2.5861,3.61
49,2.568,3.61
50,2.5441,3.61
51,2.5275,3.61
52,2.5273,3.61
53,2.5173,3.61
54,2.4968,3.61
55,2.4741,3.61
56,2.4775,3.61
57,2.4698,3.61
58,2.4466,3.61
59,2.4378,3.61
60,2.4262,3.61
61,2.4181,3.61
62,2.4028,3.61
63,2.3872,3.61
64,2.3817,3.61
65,2.3656,3.61
66,2.3539,3.61
67,2.3472,3.61
68,2.3317,3.61
69,2.3252,3.61
70,2.3088,3.61
71,2.3181,3.61
72,2.3026,3.61
73,2.3044,3.61
74,2.2922,3.61
75,2.2725,3.61
76,2.2682,3.61
77,2.2563,3.61
78,2.236,3.61
79,2.2451,3.61
80,2.2311,3.61
81,2.221,3.61
82,2.2063,3.61
83,2.2039,3.61
84,2.1868,3.61
85,2.1807,3.61
86,2.1661,3.61
87,2.1582,3.61
88,2.1459,3.61
89,2.1453,3.61
90,2.1359,3.61
91,2.1211,3.61
92,2.1223,3.61
93,2.115,3.61
94,2.1002,3.61
95,2.0935,3.61
96,2.0791,3.61
97,2.0685,3.61
98,2.0747,3.61
99,2.0516,3.61
100,2.0534,3.61
101,2.0445,3.61
102,2.0322,3.61
103,2.0171,3.61
104,2.015,3.61
105,2.0102,3.61
106,1.9944,3.61
107,1.9915,3.61
108,1.9855,3.61
109,1.9704,3.61
110,1.9594,3.61
111,1.9568,3.61
112,1.9537,3.61
113,1.9318,3.61
114,1.9331,3.61
115,1.924,3.61
116,1.9198,3.61
117,1.911,3.61
118,1.9028,3.61
119,1.9021,3.61
120,1.8865,3.61
121,1.8733,3.61
122,1.8686,3.61
123,1.8757,3.61
124,1.8737,3.61
125,1.8563,3.61
126,1.8656,3.61
127,1.8535,3.61
128,1.8337,3.61
129,1.8368,3.61
130,1.8247,3.61
131,1.8227,3.61
132,1.82,3.61
133,1.8159,3.61
134,1.7946,3.61
135,1.7895,3.61
136,1.778,3.61
137,1.7846,3.61
138,1.7675,3.61
139,1.7539,3.61
140,1.7668,3.61
141,1.7497,3.61
142,1.7331,3.61
143,1.7436,3.61
144,1.7325,3.61
145,1.7304,3.61
146,1.717,3.61
147,1.7092,3.61
148,1.7044,3.61
149,1.6881,3.61
150,1.6841,3.61
151,1.6776,3.61
152,1.6647,3.61
153,1.6602,3.61
154,1.6619,3.61
155,1.6604,3.61
156,1.63,3.61
157,1.6395,3.61
158,1.615,3.61
159,1.6278,3.61
160,1.6285,3.61
161,1.609,3.61
162,1.5998,3.61
163,1.5985,3.61
164,1.5838,3.61
165,1.5911,3.61
166,1.5868,3.61
167,1.5734,3.61
168,1.5603,3.61
169,1.5347,3.61
170,1.5506,3.61
171,1.5449,3.61
172,1.5482,3.61
173,1.5319,3.61
174,1.5392,3.61
175,1.5213,3.61
176,1.5191,3.61
177,1.5129,3.61
178,1.5023,3.61
179,1.4804,3.61
180,1.4826,3.61
181,1.4663,3.61
182,1.4648,3.61
183,1.4486,3.61
184,1.4672,3.61
185,1.4577,3.61
186,1.4577,3.61
187,1.4368,3.61
188,1.4288,3.61
189,1.4289,3.61
190,1.4254,3.61
191,1.4165,3.61
192,1.4077,3.61
193,1.3962,3.61
194,1.3875,3.61
195,1.3754,3.61
196,1.3663,3.61
197,1.3364,3.61
198,1.343,3.61
199,1.341,3.61
200,1.3414,3.61
201,1.3273,3.61
202,1.3186,3.61
203,1.287,3.61
204,1.306,3.61
205,1.2819,3.61
206,1.2793,3.61
207,1.2895,3.61
208,1.2697,3.61
209,1.2598,3.61
210,1.2552,3.61
211,1.2364,3.61
212,1.2468,3.61
213,1.2399,3.61
214,1.2093,3.61
215,1.2453,3.61
216,1.244,3.61
217,1.2326,3.61
218,1.2048,3.61
219,1.2195,3.61
220,1.1931,3.61
221,1.1856,3.61
222,1.1925,3.61
223,1.1904,3.61
224,1.1723,3.61
225,1.1576,3.61
226,1.1368,3.61
227,1.1398,3.61
228,1.1271,3.61
229,1.1174,3.61
230,1.1001,3.61
231,1.1211,3.61
232,1.1013,3.61
233,1.1203,3.61
234,1.074,3.61
235,1.0958,3.61
236,1.1144,3.61
237,1.0787,3.61
238,1.0754,3.61
239,1.0744,3.61
240,1.0715,3.61
241,1.0541,3.61
242,1.0345,3.61
243,1.053,3.61
244,1.0483,3.61
245,1.0264,3.61
246,1.0111,3.61
247,1.0316,3.61
248,1.0009,3.61
249,1.0257,3.61
250,1.002,3.61
251,0.9731,3.61
252,0.9789,3.61
253,1.0029,3.61
254,0.9991,3.61
255,1.004,3.61
256,0.9516,3.61
257,0.9405,3.61
258,0.9595,3.61
259,0.9297,3.61
260,0.946,3.61
261,0.9462,3.61
262,0.933,3.61
263,0.9025,3.61
264,0.9087,3.61
265,0.9129,3.61
266,0.8912,3.61
267,0.91,3.61
268,0.9086,3.61
269,0.9201,3.61
270,0.9273,3.61
271,0.8924,3.61
272,0.8808,3.61
273,0.8641,3.61
274,0.8936,3.61
275,0.8288,3.61
276,0.8647,3.61
277,0.8884,3.61
278,0.846,3.61
279,0.8548,3.61
280,0.8434,3.61
281,0.8464,3.61
282,0.8427,3.61
283,0.8547,3.61
284,0.8656,3.61
285,0.846,3.61
286,0.8503,3.61
287,0.7787,3.61
288,0.8223,3.61
289,0.8352,3.61
290,0.8226,3.61
291,0.8086,3.61
292,0.7723,3.61
293,0.7986,3.61
294,0.7745,3.61
295,0.7738,3.61
296,0.7608,3.61
297,0.7817,3.61
298,0.7457,3.61
299,0.7308,3.61
300,0.7389,3.61
301,0.7238,3.61
302,0.7068,3.61
303,0.7509,3.61
304,0.7171,3.61
305,0.7244,3.61
306,0.6949,3.61
307,0.692,3.61
308,0.6485,3.61
309,0.6254,3.61
310,0.6928,3.61
311,0.6979,3.61
312,0.6976,3.61
313,0.6774,3.61
314,0.6654,3.61
315,0.6497,3.61
316,0.6945,3.61
317,0.6726,3.61
318,0.6651,3.61
319,0.6265,3.61
320,0.6628,3.61
321,0.6836,3.61
322,0.6353,3.61
323,0.6189,3.61
324,0.5849,3.61
325,0.5929,3.61
326,0.5891,3.61
327,0.5596,3.61
328,0.6166,3.61
329,0.6429,3.61
330,0.617,3.61
331,0.5687,3.61
332,0.5549,3.61
333,0.5606,3.61
334,0.527,3.61
335,0.5879,3.61
336,0.5004,3.61
337,0.5691,3.61
338,0.5043,3.61
339,0.5548,3.61
340,0.5242,3.61
341,0.4559,3.61
342,0.3822,3.61
343,0.5436,3.61
344,0.5039,3.61
345,0.5154,3.61
346,0.5278,3.61
347,0.4578,3.61
348,0.5004,3.61
349,0.4638,3.61
350,0.4496,3.61
351,0.4754,3.61
352,0.5041,3.61
353,0.4748,3.61
354,0.4711,3.61
355,0.4177,3.61
356,0.4986,3.61
357,0.468,3.61
358,0.4626,3.61
359,0.4879,3.61
360,0.4491,3.61
361,0.4091,3.61
362,0.4078,3.61
363,0.4817,3.61
364,0.3709,3.61
365,0.349,3.61
366,0.3907,3.61
367,0.4055,3.61
368,0.3091,3.61
369,0.3781,3.61
370,0.3997,3.61
371,0.321,3.61
372,0.3998,3.61
373,0.3454,3.61
374,0.2414,3.61
375,0.3404,3.61
376,0.3326,3.61
377,0.2946,3.61
378,0.2822,3.61
379,0.3342,3.61
380,0.2906,3.61
381,0.3427,3.61
382,0.2337,3.61
383,0.3058,3.61
384,0.2503,3.61
385,0.3707,3.61
386,0.3057,3.61
387,0.2583,3.61
388,0.277,3.61
389,0.3005,3.61
390,0.1944,3.61
391,0.2419,3.61
392,0.1872,3.61
393,0.257,3.61
394,0.2338,3.61
395,0.2966,3.61
396,0.2312,3.61
397,0.2448,3.61
398,0.2139,3.61
399,0.2088,3.61
400,0.3311,3.61
401,0.2988,3.61
402,0.2388,3.61
403,0.2363,3.61
404,0.2306,3.61
405,0.187,3.61
406,0.3226,3.61
407,0.2641,3.61
408,0.2244,3.61
409,0.2422,3.61
410,0.2158,3.61
411,0.1623,3.61
412,0.1568,3.61
413,0.1625,3.61
414,0.2324,3.61
415,0.1811,3.61
416,0.1903,3.61
417,0.1661,3.61
418,0.1934,3.61
419,0.2626,3.61
420,0.1705,3.61
421,0.1148,3.61
422,0.1759,3.61
423,0.1277,3.61
424,0.1297,3.61
425,0.1248,3.61
426,0.159,3.61
427,0.0836,3.61
428,0.2016,3.61
429,0.0936,3.61
430,0.0524,3.61
431,0.0614,3.61
432,0.0565,3.61
433,0.0518,3.61
434,0,3.61
435,0.0679,3.61
436,0.1087,3.61
437,0.0595,3.61
438,0.1027,3.61
439,0.0287,3.61
