"generation","hypervolume","best_so_far"
0,3.6212,3.6212
1,3.7219,3.7219
2,3.7313,3.7313
3,3.7346,3.7346
4,3.7375,3.7375
5,3.7412,3.7412
6,3.7424,3.7424
7,3.7444,3.7444
8,3.7449,3.7449
9,3.7466,3.7466
10,3.7471,3.7471
11,3.7473,3.7473
12,3.7473,3.7473
13,3.7474,3.7474
14,3.7475,3.7475
15,3.7476,3.7476
16,3.7477,3.7477
17,3.7477,3.7477
18,3.7478,3.7478
19,3.7479,3.7479
20,3.7487,3.7487
21,3.7487,3.7487
22,3.7488,3.7488
23,3.7488,3.7488
24,3.7488,3.7488
25,3.7489,3.7489
26,3.749,3.749
27,3.7491,3.7491
28,3.7491,3.7491
29,3.7491,3.7491
30,3.7492,3.7492
31,3.7492,3.7492
32,3.7492,3.7492
33,3.7493,3.7493
34,3.7493,3.7493
35,3.7493,3.7493
36,3.7493,3.7493
37,3.7493,3.7493
38,3.7493,3.7493
39,3.7493,3.7493
40,3.7493,3.7493
41,3.7493,3.7493
42,3.7494,3.7494
43,3.7494,3.7494
44,3.7495,3.7495
45,3.7496,3.7496
46,3.7497,3.7497
47,3.7499,3.7499
48,3.7501,3.7501
49,3.7501,3.7501
50,3.7501,3.7501
