"episode_id","title_es","text"
"e01","Florencia una niña Rapa Nui","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Florencia, una niña Rapanui. Iorana korua, soy Florencia Araki, vivo en Isla del Pascua. La Isla es bonita. El cielo es celeste y las nubes son blancas. Mi papá trabaja en el UTA en la parcela de mi familia. A mí me gusta ayudarlo. Plantamos frutas y verduras. Cuando hace mucho viento, hacemos hoyitos para plantar las semillas. Después le ponemos agüita. Las plantas se afirman en los palitos que pusimos. Y comienzan a crecer y a crecer. Después cosechamos perejíl, tomate, palta, plátanos y muchas cosas más. Y tenemos algunos animales. Chanchos, vacas y caballos. Me gusta montar el ilo hoi a apelo. A mí lo que más me gusta hacer es bucear, me pongo snorkel. Y llevamos un arpón por si aparece un tiburón. Los pescados que más hay en la isla son el pici, el amo espada, el maito y el titeve. Cuando se asusta, se infla como un globo y hay muchos atunes. en hipe hay una piscina de forma de tortuga. Siempre llegan muchas tortugas, algunas gigantes con lindas caparazones con sus hijos. Hay verdes, azules y café. Mi lugar favorito en la isla es Anakena. Cada vez que una persona importante fallecía, se hacía un moai. Del volcán Rano Raraku sacaban las piedras para hacer los moais. Los moais son muy grandes y pesados. Parece que los movían con cuerdas y palos de plátanos. Lo agarraban al moai y luego los paraban en el ahu. Hay muchos ahus por toda la isla. La tapati es una fiesta muy importante y la hacemos en febrero y viene personas de todas partes del mundo. A mí lo que más me gusta es la competencia de baile. Y bailamos tamuré con trajes hechos de plumas o de conchitas que se llaman Pitis. También usamos coronas hechas de flores y otras cosas más. Y elegimos al rey y a la reina de la isla. Pero en mi casa la reina soy yo."
"e02","Isaac un niño Aymara","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Hola, soy Isaac y vivo en Colchane. Isaac, un niño aymara. Colchane está en el altiplano en la cordillera de los Andes. El paisaje es muy bonito. Hay volcanes, ríos y geysers. En el verano llueve y en el invierno hace tanto frío que a veces cae nieve. Hace mucho frío. En mi casa vivo con mi papá y mis hermanos. Vivimos tan cerca de la frontera que a veces podemos ir a comprar en bicicleta. Mi abuelo Faustino vive en Enquelgá. En una casa de adobe cerca de la montaña. Es pastor y cría llamos y alpacas. Aquí casi toda la gente tiene llamos. Los llamos nos dan casi todo para vivir. Carne, cuero y lana. Los llamos hacen así. El floreo es algo que hacemos en el año nuevo, Aymara. Colocamos pompones de lana a los llamos para saber de quién son. Cuando mi abuelo va a pasear se lleva a mi perro Toby. A mí me gusta acompañarlo. Pero hay que levantarse muy temprano. Y me da mucho sueño. Ese es mi perro Toby. Es chistoso. Los llamos son muy chistosos. A veces se persiguen la cola. Y dan saltos. Y juegan como si fueran amigos. A veces vamos con mi abuelo a su chacra a sembrar. Aquí sembramos quinoa y papas. Es casi lo único que crece. Al atardecer tenemos que llevar a los llamos a su corral. Para que no se los coman los zorros. Con mi abuelo también salimos a pescar. Cerca de Calchuri hay una vertiente grande con harta agua. Tenemos una técnica súper buena. Hacemos una poza con piedras. Y nos atrapamos con un balde. Así es más fácil agarrarlos. Aquí pescamos sutri y truchas. Las lat list yat o aguayos son el tejido más tradicional. Cuando era guagua mi mamá me cargaba en una yi ya o aguaya. Tambien las usamos para cargar comida. Cuando hay carnaval yo me coloco el sombrero que me trajo mi abuelo de Bolivia. Nos vestimos con trajes muy finos. Bailamos sicuri. Y nos tiramos chaya. Los aimaras creemos que la pachamama nuestra madre tierra es sagrada. La cuidamos mucho mucho. Y le agradecemos de todo corazón todo lo que nos dá."
"e03","Natalia una niña mapuche","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Natalia, una niña mapuche. Mari, Mari, soy Natalia. Así saludamos los mapuches. Hablamos mapudungún. Vivimos en la comunidad de Mahuidache, un lof cerca de Temuco. Aquí llueve mucho mucho en invierno. Y se puede jugar más porque hay árboles, hay pájaros. Es muy lindo. Y hay más patio. Le ayudo mi papá a ordeñar las vacas todas las mañanas. También le cogemos los huevos que ponen las gallinas. Hay que hacerlo muy temprano. Aquí está mi taza. Me la regaló mi ñaña, mi abuelita. Mi abuelita es machi. Una machi es una persona que cura a la personas. Sabe de hierbas, cura los enfermos, dirige las ceremonias. Y es muy, muy importante para la comunidad. Me gusta mucho la harina tostada. Y es más rica cuando es con leche. Me encanta. Hoy será un gran día. En las ceremonias me visto muy bonita. Uso trarilonko, aros de plata que se llaman shaway, quilla, que es una capa abrigadita. Es calentita. Trapelakucha y trarihue. Hoy hay nguillatún. A mí me gusta el nguillatún porque comparto con la gente. Y también celebro el We tripantu que es la nueva salida del sol. Nuestro año nuevo. Comemos también muchas cosas ricas con el micherén o catuto, mote con juguito, porotos y el muday. Me gusta tomar muday y nos gusta mucho conversar. En el nguillatún todos participamos. Tañicucú, mi abuela, toca el kultrún. Ella dirige la ceremonia. Mi papá toca trutruka y pifilka. A mí me gustaría aprender a tocar el trompe. Toin, toin, toin, toin, toin, toin. Suena muy bonito. En esta ceremonia pedimos para tener buen tiempo. Buenas cosechas. Y agradecemos a newechen por la salud y la vida."
"e04","Mana un niño Rapa Nui","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Vivimos en una isla al medio del océano Pacífico. Iorana, mis amigos me dicen Mana y soy un niño Rapanui. Vivo en Hanga Roa, en Te pito o te henua, también conocida como Isla de Pascua. Mi isla está llenas de colores, árboles muy verdes, hay muchos tipos de flores y frutas y la tierra es roja. La isla es tibia, a veces corre mucho viento. Puedes andar con polera aunque esté lloviendo. Una de las tradiciones más antiguas de la isla es el curanto. Hacemos un hoyo en la tierra, lo llenamos con piedras para que se caliente abajo. Después una bandeja grande, la comida, carne, pollo y atún. En Isla de Pascua, en el mar hay muchos tipos de peces. Mi pescado favorito es el Manuhe, gris, grandote y guatón. El Titeve es un pez globo que se infla cuando se asusta. Pero no podemos comer porque algunos son venenosos. La Tapatí es la fiesta más importante de Rapanui. Yo bailo tamburé. Mi tío pinta mi cuerpo con kihea, pinturas blancas, rojas y negras. Me pintan al make make, el dios de los Rapanui. Y mantao, los mismos dibujos que tallaban nuestros ancestros en piedra. A los Rapanui nos encanta la música. Cuando estamos todos juntos, mi papá toca la guitarra. Mi mamá canta. Uno de mis hermanos toca la batería. Y el otro toca el ukelele. A mí me gusta mucho cantar. Una de las cosas que más me gusta es jugar a la pelota. Pero lo que más me gusta es remar en Vaka hame. Así le decimos aquí a las canoas. Para la tapatí las carreras van desde Hanga piko hasta Anakena. Uno de los lugares más bonitos de la isla es Anakena. Justo antes de llegar a la playa hay un gran Amú. Los amú son lugares sagrados donde mis ancestros levantaban los moais. Nos recuerdan a nuestros ancestros fallecidos. En el Tapatí para el próximo día hacen carreras de Hanapico hasta Anakena."
"e05","Joel un niño huilliche","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Hola, soy Joel Quinán, un niño Huilliche de Molulco. Joel, un niño huilliche. Molulco está en la isla grande de Chiloé. Aquí está lleno de lagos y bosques. Vivo cerca de mi escuela con mi papá, mi mamá, mi hermanito y mi tata Juan. Mi tata, antes de dormir siempre me cuenta historias chilotas. Algunas dan mucho susto. Como el Caléuche, que es un barco fantasma que aparece entre la niebla al amanecer. Esta es mi escuela, la artística rural de Molulco. Es artística porque nos gusta cantar. En el recreo me gusta jugar a la tiña y al congelado con mis amigos. Y también hay muchos animales. Algunos salvajes como el gato colo, el zorro chilote. Y el niño Pudú, que es como un ciervo pero más chico. Estamos rodeados de mar. Mi lugar favorito es el estero de Molulco. Aquí hay muchas estrellas de mar. Hola. A veces ayudo a mariscar a mi mamá. Sacamos almejas, choritos y luche. ¡Auch! Jajaja. Nuestra costumbre más rica es el curanto. Lo preparamos afuera en un hoyo grande. Y lo cubrimos con muchas piedras calientes. El curanto lleva pescado, carne, papas, mariscos, milcao y chapalele. Todos ayudamos un poco. Y es muy entretenido. Nosotros los huilliches en la noche más larga del año celebramos el we tripantu, que es la nueva salida del sol. Es cuando comienza el invierno. Aquí vive nuestro lonko. Nuestro líder. Todos por aquí lo escuchamos con mucho respeto. El lonko intenta siempre que nos ayudemos. Una tradición de donde vivimos es la minga. Es cuando cambiamos de lugar la casa de algún vecino. O nos ayudamos a cortar la leña o cosechar papas. Todos nos apoyamos. Después de terminar nos juntamos a compartir una rica y deliciosa comida. Pero no me dejan salir hasta muy tarde, porque según las leyendas que me cuenta mi abuelo las isla de Chiloé está llena de extraños y peligrosos seres."
"e06","Kristel una niña Aymara","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Maya, paya, kimsa, pusi. Hola, estoy aprendiendo a contar en mi lengua, el aymará. Me llamo Kristel y vivo en el pueblo de Pachica. Kristel, una niña aymará. Pachica está en una quebrada en medio del desierto. El agua del río Tarapacá es muy importante para nosotros. Podemos tomarla y regar nuestros cultivos. Como el maíz, el cebollín espinacas y perejil. Mi mamá es la persona que más me gusta en el mundo. Ella trabaja plantando ricas verduras. Y cuando alguien necesita algunas para cocinar, va a nuestra chacra a comprarlas. En la chacra de mi familia tenemos corderos, gallinas y cuyis, que son ratones con una colita chiquitita. Mis animales favoritos son el conejo y el llamo. Me encanta hacerles cariño. Los llamos son muy inteligentes. Cuando salen a pasear, vuelven solos después de comer un rato. Mi juego favorito es atrapar al cuyi. Ponemos una caja y lo persigo por todo el corral. A veces, hacemos competencias con mis amigos. ¡Te pillé! Esta es mi casa. Acá vivo con mi mamá, mi papá y mis tres hermanos. A mi mamá le gusta mucho tejer. Y teje con un telar. Teje lindas fajas, anakos abrigaditos y awuayos de todos los colores. Mi mamá usa lana de cordero, de llamas o de alpaca. La más suavecita de todas. Pintamos la lana con colorantes naturales, que sacamos de la tierra y de las plantas. Me gusta cuando mi mamá me cocina la kalapurka. Este plato es muy rico. Tiene maiz pelado, carne, cebolla, cilantro, ajo, pimienta, ají y papas. Tiene muchos ingredientes. Quiero aprender a prepararla. En invierno, cada 21 de junio, los aymaras celebramos nuestro año nuevo. Subimos hasta la punta del cerro. Y esperamos la llegada del primer rayo del sol. Los aymaras siempre agradecemos a la Madre Tierra por todas las bendiciones que nos dan. Hola, yo soy Kristel y este es mi traje. Esto se llama aksu. Yo, mi abuela y mi mamá lo tejimos para bailar en el carnaval de Sicuri."
"e07","Camilo un niño ciego","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Hola, yo soy Camilo y tengo siete años. Vivo con mi papá, le digo chino, porque tiene los ojos muy así, así muy estirados, muy chinitos, de tanto lento que usa. Mi mamá huele tan rico a flores, a dulces, a medialunas y a queques. Yo le digo bonita. Vivo con mi hermana y juntos hacemos muchos experimentos. Tengo dos tortugas, se llaman Maxi y Martina, son tortugas de agua. Tengo dos perros, Rafa y Doby. El Rafa es súper loco, se roba pantuflas, los juguetes y hasta la mesa. Y el Rafa come mucha caca. Mi mamita también la pone nerviosa el Rafa. A veces la bota, mi abuela me cuida todas las tardes, jugamos juntos y comemos manzana con sal. Me gusta mucho ir al colegio. Hay muchos juegos y amigos. Tengo cuatro compañeras, Anaís, Martina, Fernanda, Ayleen y yo, el único hombre del curso. Y nosotros aprendemos a leer en braile. Y mi profe Blanca es la mejor profesora. Con cada dedo leemos libros, cuentos y mi cuento favorito, Mac el microbio desconocido, es muy valiente como yo. Hola. El goalball es un deporte que consiste en atrapar la pelota y la pelota tiene muchos sonidos. Me gané una medalla del año pasado en goalball. Me gusta andar en bicicleta. Tengo una sensación de que salto al agua y me lleva el viento. En mi pieza hay juguetes, muchos instrumentos, una caja fuerte, mi cajita secreta solo yo la puedo abrir. En mi caja hay muchos secretos. Tengo muchos instrumentos. Mi favorito es el güiro, acordeón, batería y muchos instrumentos más. Para hacer un instrumento en casa, se necesita algún que otro tarro. Se le echa arroz, monedas, unas pelotas, lo que quieran. Luego lo cierran y lo tapan con el scotch. Y listo, ya queda como un instrumento. Me encanta ir a la feria. Hay mucha bulla, hay diferentes texturas y diferentes tipos de olores. A veces ayudo a vender. ¡Vendo, vendo, vendo la verdurita! Lo que más me gusta es el día viernes. Hoy es viernes y mi cuerpo lo sabe. Hacemos cosas entretenidas, bailamos y me encantan los juegos que hacemos en el día viernes. Un día cayó una fuerte tormenta y se cortó la luz. Todos estaban asustados, menos yo. Estaba más feliz que nunca, fue el mejor viernes de mi vida. Hola, yo soy Camilo y le quiero informar algo a todos los niños. Quiero que sean curiosos porque es increíble."
"e08","Eva una niña Lickanantai","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Hola, soy Eva y soy Lickanantai. Vivo en Toconao, al norte de Chile, muy cerca de San Pedro de Atacama. Acá vivo con mi mamá, mi papá y mi hermano, el Seba. A él le gustan los dinosaurios y las cosas raras. Es un poco loco. Y también tengo un gato que se llama Cacao. Mi mamá le puso así y siempre muerde los pies y rompe los calcetines. Lo que más me gusta de vivir en Toconao es que hay aire puro, es muy tranquilo y silencioso. Acá no es como la ciudad, no tenemos semáforos porque hay muy pocos autos. Acá en Toconao está el valle de Jere. Es un lugar muy lindo. Hay un río, pozas, huertos, y árboles. Me gusta porque mis abuelos también iban a ese lugar. En el verano nos bañamos en un estanque que está entre medio de un bosque. Le decimos la piscina. Es muy entretenido. Esa agua también sirve para regar las huertas. Acá planta los membrillo, higos y granada. La granada es roja y tiene muchas pepas y es súper dulce. Acá en Toconao hay varios volcanes como el Licancabur, el San Pedro y San Pablo, el Quimal, el Juriques y el Lascar. En el faldeo de Lascar está Talabre Viejo. Ahí hay muchas hierbas preciosas. Con mi mamá y mi abuelita vamos a recogerlas. Huelen muy rico. Primero las elegimos, las cortamos con tijeras, las limpiamos, y después las sacamos colgadas por varios días. Hay muchas y diferentes. Sacamos Airampo, que sirve para la fiebre. La rica rica es muy rica. Y la tolilla que antes se usaba para ayudar a reparar los huesos quebrados. Con ella se hacen muchos tecitos. Mi mamá nos da cuando estamos enfermos y siempre nos mejoramos. Pero también están los yatires, gente que cura a las personas enfermas con medicinas ancestrales. También me gusta ayudarla a mi abuelita a teñir lana. Primero, ella le saca la lana a las ovejas, que está fea y blanquita. Las pone en un recipiente, pone la lana y se tiñe. Y mi abuelita las tiñe con tinturas naturales, como betarraga o con airampo. Este le da un color rosadito a la lana. Queda muy bonita. Mi comida favorita es la patasca. He cocinado con mi abuelita. Y lleva maíz, carne, papas. Es muy rica. Nosotros, los Lickanantai, tenemos muchas tradiciones, como el pago a la tierra. Ahí se le agradece a la Patahoiri, que significa madre tierra. Se le agradece el agua, los frutos, todo lo que ella nos entrega. Se mira siempre a la cordillera y se entregan las ofrendas. Ponemos un cántaro con chacha. Se quema y sale un olor muy rico. También hacemos floreamientos. Una ceremonia para ponerle la lana a las ovejas. Se le ponen pompones azules o rosados en las ovejas. Así se diferencian machos de hembras. Ese día bailamos Chururito, una canción típica. Chururito, chururito, como se mata el lorito. Como se mata el lorito mas churo que un huayrurito. Me gusta ser Lickanantai porque puedes recolectar hierbas, saber muchas cosas y seguir las tradiciones de mi familia. Hola, soy Eva. Vengan a Toconao. Les voy a enseñar las rutas de hierbas y tradiciones y costumbres. Chao. Pichintún, pichintún. Va pasando por ahí. Águila. Qué bonito pichintún."
"e09","Benjamín un niño de tierra del fuego","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Hola, me llamo Benjamín y soy un niño magallánico. Eso significa que vivo en la tierra del fuego, en el extremo sur de Chile. Se llama tierra del fuego porque antiguamente vivía un pueblo originario que se llamaban los onas o selknam. Ellos hacían fogatas que se veían desde los barcos, entonces siempre se veía fuego. En tierra del fuego casi siempre hace frío y corre mucho viento. En invierno cae escarcha y nieve. Para abrigarme tengo mi poncho y mi boina, que calienta harto la cabeza. Y también para andar a caballo las pierneras que son peluditas y calentitas. En la primavera empiezan a llegar aves diferentes. La loica que es como chiquitita y tiene el pecho rojo. El caiquen que es de color blanco, el macho y negra la hembra. Y la bandurria tiene el pico muy largo. Vivimos con mi papá, mi mamá y mi hermanita Sami en la estancia María Eugenia al lado de la ruta. Y mi hermana tiene un gato que le gusta pasear mucho. Siempre va y vuelve. Se llama Temáukel, igual que el dios de los Selknam. A veces conocemos a muchos turistas de varias partes del mundo, ingleses, austriacos, brasileros, colombianos. En tierra del fuego el cielo se ve azul con nubecitas bien blancas. En las tardes se ven rosadas moradas de todos colores como un arcoíris. Y en la noche a veces vemos muchas estrellas y cometas. El otro día estábamos mirando el cielo y vimos uno que explotó como un fuego artificial. El viento es muy importante para nosotros. Tenemos un molino, lo usamos para generar luz. Así podemos tener luz y cargar cosas y mirar tele. Mi papá trabaja en la estancia, es el administrador. Se encarga de los animales, de los caballos, de las ovejas. A mí me gusta mucho ayudar. Les damos comida, los limpiamos. Y tenemos muchos perros que son guardianes de las ovejas. Son cazadores de zorros y nos ayudan con el trabajo. Lo que más me gusta hacer es rodear y andar a caballo, aprendí como a los cuatro años. Salimos con mi papá y los perros. Mi escuela está muy lejos de mi casa, en Cerro Sombrero. Se llama Cerro Sombrero porque está arriba del cerro que parece sombrero. Siempre hacemos cosas entretenidas con mi familia. Vamos a acampar, de paseo y vamos cerca del faro Espíritu Santo a cazar centollas, son rojas con caparazón y tienen cosas puntiagudas, parecen arañas gigantes con muchas patas. Después de invierno hacemos la esquirla de ovejas. Después un esquirlador con una máquina que parece para cortar pelo. Le sacan la lana, después las juntan y se las llevan. Se prensan los fardos y se venden. Después las ovejas quedan super peladitas. Les crece la lana de nuevo como en un año. Me gusta mucho vivir acá por la tranquilidad. Porque puedo jugar mucho y no me tengo que levantar muy temprano. Hola, soy Benjamin y vivo en Tierra del Fuego. Quiero decirles que cuiden el entorno donde viven. También que sean tolerantes y acepten lo diferente."
"e10","Nahuel un niño cuasimodista","Pichintún, pichintún, qué bonito pichintún. En el bosque y en el mar, en la pampa y el salar. En los cerros y en las islas, van los niños a jugar. Pichintún, pichintún, qué bonito pichintún. Hola, yo soy Nahuel, vivo en el Monte. Me gusta vivir aquí. Hay árboles, campo, hay río. En el verano, me baño en el río. Me tiro cuartazo. A veces con mi papi sacamos piriguines, ponemos una malla y los agarramos. Y después lo traemos con una botella con agua. Este es Bully, mi perro. Juega conmigo, me bota con los pies, me languetea, le hago la varilla, le hago para allá. Vivo con mi tata Juan y mi abuela. Mi tata planta zanahorias, cebolla, papas. Y sacamos papas. Las sacamos con picota. Yo abro el saco y él agarra la manilla y se la echa. Mi abuela Teresa, teje mucho con los palitos. Teje calceta, pantufla, chaleco, pantalones. Cocina muy rico las pantrucas. Las pantrucas son unos cuadraditos de masa. Tiene carne, papa, caldito. Lo que más me gusta hacer es andar en caballo. Yo aprendí a los dos años, me gusta porque es divertido. Tengo tres caballos, flor, luna, fonda. La flor es café claro y mancha blanca. A los caballos hay que enseñarles. Así quedan tranquilitos y no botan a la gente. A los caballos hay que cuidarlos mucho. Mi tata le hizo un cepillo, con eso lo cepillamos. Hay que darle agüita, fardos, arenilla, avena. Eso no más. Me gusta galopiar con mi tata. Vamos al cerro Rosario. Allá hacemos un asado. Lo pasamos bien. Subimos al cerro y vamos a ver los pajaritos. Acá en el monte celebramos cuasimodo. Es una fiesta. La gente anda en caballo y acompañamos al curita. Vamos a ver a los enfermos. Nos vestimos de guaso. Botas, espuelas, pantalón, polainas, camisa y manta. Con un pañuelo blanco en la cabeza. El mío me lo compró mi abuela. Tiene una cruz igual al de mi tata. Van en caballo, van en bicicleta y a pie. Los caballos también se visten de Cuasimodo. Les ponemos una capa. Amarillo, azul, rojo. Les ponemos cascabeles y campanas. Se ve muy bonito. Unas veces gritamos así, ¡Que viva el Cristo Rey! ¡que viva! Todo gritamos. La fiesta es muy bonita. Y viene mucha gente. Yo soy Nahuel. Vivo con mi abuelo y mi abuela. Soy cuasimodista. Y cuando sea más grande quiero ser carabinero."
