word,lexicon
aaron,spanish
abajo,spanish
abreu,spanish
abrir,spanish
abro,spanish
abundante,spanish
acaba,spanish
acá,spanish
adelaida,spanish
además,spanish
adentro,spanish
adios,spanish
adiós,spanish
afirman,spanish
afuera,spanish
agarra,spanish
agarraban,spanish
agarrados,spanish
agarramos,spanish
agarrarlos,spanish
agarré,spanish
ah,spanish
ahi,spanish
ahora,spanish
ahí,spanish
alguien,spanish
alguna,spanish
algún,spanish
alice,spanish
alicia,spanish
allá,spanish
allí,spanish
alonso,spanish
alrededor,spanish
ampui,spanish
ana,spanish
anaís,spanish
anda,spanish
andamos,spanish
andan,spanish
andas,spanish
angelo,spanish
anna,spanish
annabelle,spanish
antonia,spanish
antonio,spanish
aparece,spanish
aquí,spanish
ariadna,spanish
ariana,spanish
aron,spanish
arony,spanish
arriba,spanish
artillería,spanish
arturo,spanish
asly,spanish
así,spanish
aunque,spanish
ayleen,spanish
bajar,spanish
beni,spanish
benja,spanish
benjamin,spanish
benjamín,spanish
bethy,spanish
bibiana,spanish
blanquitis,spanish
boby,spanish
bruno,spanish
cada,spanish
caen,spanish
caer,spanish
cambiamos,spanish
camila,spanish
camilo,spanish
cargaba,spanish
carlos,spanish
carmen,spanish
carolina,spanish
casi,spanish
cata,spanish
chao,spanish
charly,spanish
chau,spanish
cientos,spanish
cierran,spanish
cinco,spanish
cinthia,spanish
colgadas,spanish
colgarlos,spanish
comienza,spanish
comienzan,spanish
completamente,spanish
cristofer,spanish
cristóbal,spanish
cualquier,spanish
cuanto,spanish
cuatro,spanish
cómo,spanish
da,spanish
dan,spanish
darles,spanish
daría,spanish
das,spanish
debes,spanish
decimos,spanish
decir,spanish
decirles,spanish
deja,spanish
dejan,spanish
dejarles,spanish
dejen,spanish
dejé,spanish
dejó,spanish
demás,spanish
después,spanish
devolvió,spanish
dicen,spanish
diego,spanish
dieron,spanish
diez,spanish
digo,spanish
dije,spanish
dijo,spanish
dio,spanish
do,spanish
doby,spanish
doce,spanish
doggie,spanish
doki,spanish
dora,spanish
dos,spanish
doy,spanish
dura,spanish
dure,spanish
dá,spanish
dónde,spanish
echa,spanish
echo,spanish
elsa,spanish
elvis,spanish
emilia,spanish
emiliano,spanish
emily,spanish
empecé,spanish
empieza,spanish
empiezan,spanish
encarga,spanish
enorme,spanish
entonces,spanish
esperamos,spanish
esperando,spanish
espero,spanish
esquinas,spanish
estirados,spanish
eugenia,spanish
eva,spanish
fabricio,spanish
faustino,spanish
fernanda,spanish
final,spanish
flavio,spanish
florencia,spanish
flávio,spanish
fran,spanish
francisco,spanish
fácil,spanish
félix,spanish
gabriel,spanish
george,spanish
gerardo,spanish
glenda,spanish
gran,spanish
