episode_id,season,episode_in_season,episode_order,title_es,slug,youtube_id,publish_date,animation_team
e01,1,1,1,Florencia una niña Rapa Nui,florencia_una_nina_rapa_nui,n9APr2LsCwI,2016-04-29,Máquina Visual
e02,1,2,2,Isaac un niño Aymara,isaac_un_nino_aymara,zQOfj62V0q4,2016-04-29,Máquina Visual
e03,1,3,3,Natalia una niña mapuche,natalia_una_nina_mapuche,bKgIoFzbrKg,2016-05-02,Máquina Visual
e04,1,4,4,Mana un niño Rapa Nui,mana_un_nino_rapa_nui,EpQ-X1ZB8Lk,2016-06-03,Máquina Visual
e05,1,5,5,Joel un niño huilliche,joel_un_nino_huilliche,sxLPhICe3VI,2016-07-08,Máquina Visual
e06,1,6,6,Kristel una niña Aymara,kristel_una_nina_aymara,oFovAI0L1UE,2016-09-05,Máquina Visual
e07,2,1,7,Camilo un niño ciego,camilo_un_nino_ciego,Ou5QAQx9Pc8,2018-09-07,Máquina Visual
e08,2,2,8,Eva una niña Lickanantai,eva_una_nina_lickanantai,9mo2qDrGX_Q,2018-09-14,Máquina Visual
e09,2,3,9,Benjamín un niño de tierra del fuego,benjamin_un_nino_de_tierra_del_fuego,3_IiLBeLDqw,2018-09-21,Máquina Visual
e10,2,4,10,Nahuel un niño cuasimodista,nahuel_un_nino_cuasimodista,_kX3OOxXb0g,2018-09-28,Máquina Visual
e11,2,5,11,Luisa María una niña migrante,luisa_maria_una_nina_migrante,hZsWDhq_ni0,2018-10-05,Máquina Visual
e12,2,6,12,"Rodrigo y Cristóbal, niños crianceros",rodrigo_y_cristobal_ninos_crianceros,HvZYK1vVmLs,2018-10-10,Máquina Visual
e13,2,7,13,"Lala, una niña magallánica",lala_una_nina_magallanica,YYzwVQlB9Cw,2018-10-19,Máquina Visual
e14,2,8,14,"Cristofer, un niño Pehuenche",cristofer_un_nino_pehuenche,8fPBAM0bh9U,2018-10-26,Máquina Visual
e15,2,9,15,"Emilia, una niña de Arica",emilia_una_nina_de_arica,tMU23v9eE0k,2018-11-02,Máquina Visual
e16,2,10,16,"Flavio, un niño chilote",flavio_un_nino_chilote,8f4-uoXAa6U,2018-11-09,Máquina Visual
e17,3,1,17,"Panchita, una niña de circo",panchita_una_nina_de_circo,khxdOkr5PKU,2020-05-08,Máquina Visual
e18,3,2,18,"Ignacia, una niña artista",ignacia_una_nina_artista,Ep_JzAHD_BY,2020-05-15,Máquina Visual
e19,3,3,19,Jorge y la fiesta de la Tirana,jorge_y_la_fiesta_de_la_tirana,3i3unRhgs6U,2020-05-22,Máquina Visual
e20,3,4,20,"Florencia, una niña de Valparaíso",florencia_una_nina_de_valparaiso,8xNOWAwDo3I,2020-05-29,Máquina Visual
e21,3,5,21,Tomás y la fiesta de la Pampilla,tomas_y_la_fiesta_de_la_pampilla,CUJQsxa2OfQ,2020-06-05,Máquina Visual
e22,3,6,22,"Ariadna, una niña venezolana en Chile",ariadna_una_nina_venezolana_en_chile,rB2cTpcyxNw,2020-06-12,Máquina Visual
e23,3,7,23,"Lienant, un niño mapuche choyke",lienant_un_nino_mapuche_choyke,p_wt-vOTk18,2020-06-19,Máquina Visual
e24,3,8,24,"Lucas, un niño lavkenche",lucas_un_nino_lavkenche,jOG9FqtYE6U,2020-06-26,Máquina Visual
e25,3,9,25,Alonso y la fiesta de San Pedro y San Pablo,alonso_y_la_fiesta_de_san_pedro_y_san_pablo,wm6vhBU8N8k,2020-07-03,Máquina Visual
e26,3,10,26,"Sofía y Juan Domingo, súper hermanos",sofia_y_juan_domingo_super_hermanos,C7P583ShIYA,2020-07-10,Máquina Visual
e27,4,1,27,"Sayuri, una niña shipibo-konibo",sayuri_una_nina_shipibo_konibo,NRwhc3ZHyvw,2022-07-28,Tanu Comunicaciones
e28,4,2,28,"Fabricio, un niño kallawaya",fabricio_un_nino_kallawaya,IujkWVwSk4g,2022-08-04,Tanu Comunicaciones
e29,4,3,29,"Tainá, una niña guaraní de Brasil",taina_una_nina_guarani_de_brasil,bIsatVV9_vE,2022-08-11,Tanu Comunicaciones
e30,4,4,30,"Lisardo, un niño maya de Yucatán",lisardo_un_nino_maya_de_yucatan,XnBKZ9p9vlY,2022-08-18,Tanu Comunicaciones
e31,4,5,31,"Asly, una niña moxeña",asly_una_nina_moxena,0TzmAZDPvSw,2022-08-25,Tanu Comunicaciones
e32,4,6,32,"Marlon, un niño yahuas de Perú",marlon_un_nino_yahuas_de_peru,2ezuBjPU8kM,2022-09-01,Tanu Comunicaciones
e33,4,7,33,"Arony, un niño de Salvador Bahía",arony_un_nino_de_salvador_bahia,1ZSF6P-tmeA,2022-09-08,Tanu Comunicaciones
e34,4,8,34,"Sofía, una niña nahua",sofia_una_nina_nahua,K8_RCtETzzY,2022-09-15,Tanu Comunicaciones
