episode_id,views,watch_time_hours,subscribers,avg_view_duration,impressions,impression_ctr_pct,subscribers_current,likes
e01,2193246,127048.7967,4467,0:03:28,9529837,8.84,4473,9695
e02,1504643,86260.7138,3335,0:03:26,6100063,8.53,3336,7564
e03,3900018,195345.7065,11017,0:03:00,21246862,7.49,11038,20309
e04,851982,47903.2785,1178,0:03:22,3466983,7.61,1179,3260
e05,636298,34691.3523,948,0:03:16,2790826,7.28,948,2631
e06,1277424,74987.4057,2978,0:03:31,6371784,8.92,2980,6605
e07,1008335,38786.042,1403,0:02:18,3201558,6.45,1405,3732
e08,314126,19127.6538,894,0:03:39,2434486,6.41,895,2416
e09,152720,7870.7994,350,0:03:05,1419522,5.51,350,1224
e10,126291,7688.8256,350,0:03:39,1013697,6.25,350,1071
e11,304351,17880.8345,974,0:03:31,1822989,7.4,976,2210
e12,87274,5027.811,148,0:03:27,993230,4.23,148,573
e13,210685,12131.6239,442,0:03:27,1468948,7.52,442,1469
e14,120976,7899.979,286,0:03:55,830643,7.21,286,1049
e15,195805,12227.5731,372,0:03:44,1367497,7.25,372,1219
e16,187742,10505.3087,404,0:03:21,1238130,7.65,406,1246
e17,372708,26520.9018,678,0:04:16,2360781,7.81,681,2300
e18,244527,18002.5577,310,0:04:25,1182657,8.22,310,1456
e19,292064,21832.8987,597,0:04:29,1737459,7.57,599,2179
e20,257418,17609.5212,441,0:04:06,1774093,6.96,441,1818
e21,138471,11166.7949,146,0:04:50,662406,7.31,146,815
e22,279361,20895.4517,563,0:04:29,1670283,7.57,564,2210
e23,209393,14092.746,388,0:04:02,1419098,6.47,388,1473
e24,118243,8170.5675,100,0:04:08,739570,5.94,100,657
e25,118005,8390.9791,160,0:04:15,648181,6.56,159,709
e26,149677,12530.4806,159,0:05:01,856734,7.19,160,954
e27,37608,1927.7579,96,0:03:04,240639,6.0,97,268
e28,17461,1006.8151,21,0:03:27,186535,5.23,21,149
e29,25579,1440.7614,28,0:03:22,208414,5.57,28,178
e30,34132,1435.7204,67,0:02:31,191079,4.49,67,163
e31,27633,1558.4246,39,0:03:23,198419,4.9,40,169
e32,23934,982.8124,20,0:02:27,148388,3.93,21,92
e33,13181,798.6686,15,0:03:38,165076,3.82,15,156
e34,35061,2402.4796,66,0:04:06,293452,5.98,68,182
