algorithm,run,hypervolume
MOSA,1,1.538681948424069
MOSA,2,1.5988538681948428
MOSA,3,1.561604584527221
MOSA,4,1.5272206303724931
MOSA,5,1.501432664756447
MOSA,6,1.5845272206303729
MOSA,7,1.5730659025787967
MOSA,8,1.6418338108882524
MOSA,9,1.6676217765042982
MOSA,10,1.6504297994269344
MOSA,11,1.6790830945558741
MOSA,12,1.6389684813753584
MOSA,13,1.6905444126074503
MOSA,14,1.7191977077363898
MOSA,15,1.73352435530086
MOSA,16,1.7564469914040117
MOSA,17,1.73352435530086
MOSA,18,1.7478510028653298
MOSA,19,1.7191977077363898
MOSA,20,1.7564469914040117
MOSA,21,1.7936962750716334
MOSA,22,1.8080229226361033
MOSA,23,1.7793696275071638
MOSA,24,1.8538681948424072
MOSA,25,1.8567335243553011
MOSA,26,1.8424068767908313
MOSA,27,1.8051575931232093
MOSA,28,1.8968481375358168
MOSA,29,1.9169054441260747
MOSA,30,1.724928366762178
MOSA,31,1.702005730659026
NSGA-II,1,2.744985673352436
NSGA-II,2,2.7650429799426934
NSGA-II,3,2.7478510028653296
NSGA-II,4,2.7621776504297997
NSGA-II,5,2.739255014326648
NSGA-II,6,2.7564469914040117
NSGA-II,7,2.7879656160458453
NSGA-II,8,2.7593123209169055
NSGA-II,9,2.825214899713467
NSGA-II,10,2.825214899713467
NSGA-II,11,2.825214899713467
NSGA-II,12,2.810888252148997
NSGA-II,13,2.8051575931232096
NSGA-II,14,2.851002865329513
NSGA-II,15,2.856733524355301
NSGA-II,16,2.842406876790831
NSGA-II,17,2.8137535816618913
NSGA-II,18,2.871060171919771
NSGA-II,19,2.853868194842407
NSGA-II,20,2.673352435530086
NSGA-II,21,2.6762177650429804
NSGA-II,22,2.6762177650429804
NSGA-II,23,2.6762177650429804
NSGA-II,24,2.670487106017192
NSGA-II,25,2.902578796561605
NSGA-II,26,2.9083094555873927
NSGA-II,27,2.899713467048711
NSGA-II,28,2.9083094555873927
NSGA-II,29,2.9054441260744985
