solution,orf,source
SV,YCL025C,reference
SV,YDL047W,reference
SV,YDL171C,reference
SV,YDR127W,reference
SV,YFL033C,reference
SV,YGL195W,reference
SV,YGL197W,reference
SV,YHR205W,reference
SV,YJL098W,reference
SV,YJL172W,reference
SV,YKL203C,reference
SV,YKL204W,reference
SV,YLR044C,reference
SV,YML099C,reference
SV,YML121W,reference
SV,YMR119W,reference
SV,YNL159C,reference
SV,YNL183C,reference
SV,YNL268W,reference
SV,YNL270C,reference
SV,YNR058W,reference
SV,YPR145W,reference
S1,YBR028C,pareto_front
S2,YBR239C,pareto_front
S2,YCR061W,pareto_front
S2,YDL021W,pareto_front
S2,YDL110C,pareto_front
S2,YDR005C,pareto_front
S2,YGR054W,pareto_front
S2,YLR173W,pareto_front
S2,YLR199C,pareto_front
S2,YLR429W,pareto_front
S2,YNL068C,pareto_front
S2,YNL232W,pareto_front
S2,YNL250W,pareto_front
S2,YOL044W,pareto_front
S2,YOL120C,pareto_front
S2,YOL162W,pareto_front
S2,YOR116C,pareto_front
S2,YPL009C,pareto_front
S2,YPL075W,pareto_front
S2,YPR001W,pareto_front
S2,YPR095C,pareto_front
S2,YPR177C,pareto_front
S2,YPR189W,pareto_front
S3,YDL221W,pareto_front
S3,YDR185C,pareto_front
S3,YHR079C,pareto_front
S3,YHR102W,pareto_front
S3,YHR205W,pareto_front
S3,YLR273C,pareto_front
S3,YMR085W,pareto_front
S3,YNL196C,pareto_front
S4,YCR061W,pareto_front
S4,YDL021W,pareto_front
S4,YDL110C,pareto_front
S4,YDR005C,pareto_front
S4,YGL211W,pareto_front
S4,YGR148C,pareto_front
S4,YHR205W,pareto_front
S4,YIL176C,pareto_front
S4,YLR199C,pareto_front
S4,YLR429W,pareto_front
S4,YLR453C,pareto_front
S4,YNL068C,pareto_front
S4,YNL250W,pareto_front
S4,YOL015W,pareto_front
S4,YOL044W,pareto_front
S4,YOL120C,pareto_front
S4,YPL009C,pareto_front
S4,YPL075W,pareto_front
S4,YPR001W,pareto_front
S4,YPR189W,pareto_front
S5,YBR073W,pareto_front
S5,YBR159W,pareto_front
S5,YDR449C,pareto_front
S5,YER014W,pareto_front
S5,YGL138C,pareto_front
S5,YGL209W,pareto_front
S5,YHR079C,pareto_front
S5,YHR102W,pareto_front
S5,YKR052C,pareto_front
S5,YKR076W,pareto_front
S5,YMR273C,pareto_front
S5,YPR095C,pareto_front
S6,YBR158W,pareto_front
S6,YDL221W,pareto_front
S6,YDR129C,pareto_front
S6,YGL150C,pareto_front
S6,YGR174C,pareto_front
S6,YGR214W,pareto_front
S6,YHR079C,pareto_front
S6,YHR102W,pareto_front
S6,YJR135C,pareto_front
S6,YLL056C,pareto_front
S6,YMR085W,pareto_front
S6,YMR239C,pareto_front
S6,YNL041C,pareto_front
S6,YNL236W,pareto_front
S6,YOL038W,pareto_front
S6,YOR223W,pareto_front
S6,YPL009C,pareto_front
S7,YHR205W,pareto_front
S7,YLR453C,pareto_front
S7,YMR273C,pareto_front
S7,YNL196C,pareto_front
S7,YPL009C,pareto_front
S8,YBR158W,pareto_front
S8,YDR129C,pareto_front
S8,YDR331W,pareto_front
S8,YGR101W,pareto_front
S8,YHR205W,pareto_front
S8,YHR206W,pareto_front
S8,YJR135C,pareto_front
S8,YLR056W,pareto_front
S8,YLR318W,pareto_front
S8,YMR166C,pareto_front
S8,YMR239C,pareto_front
S8,YNL041C,pareto_front
S8,YOL038W,pareto_front
S8,YPL009C,pareto_front
S9,YBR272C,pareto_front
S9,YGL113W,pareto_front
S9,YGR036C,pareto_front
S9,YGR163W,pareto_front
S9,YHR205W,pareto_front
S9,YLR453C,pareto_front
S9,YML111W,pareto_front
S9,YMR198W,pareto_front
S9,YNL068C,pareto_front
S9,YNL262W,pareto_front
S9,YOR116C,pareto_front
S9,YOR209C,pareto_front
S9,YOR396W,pareto_front
S9,YPL111W,pareto_front
S9,YPR189W,pareto_front
S9,YPR194C,pareto_front
S10,YDR125C,pareto_front
S10,YJR138W2,pareto_front
S10,YPL009C,pareto_front
S11,YGR241C,pareto_front
S11,YJR138W,pareto_front
S11,YPL009C,pareto_front
S12,YBR158W,pareto_front
S12,YDR129C,pareto_front
S12,YGL150C,pareto_front
S12,YGR214W,pareto_front
S12,YJR135C,pareto_front
S12,YLL056C,pareto_front
S12,YLR056W,pareto_front
S12,YLR212C,pareto_front
S12,YLR318W,pareto_front
S12,YMR239C,pareto_front
S12,YNL041C,pareto_front
S12,YOL038W,pareto_front
S12,YPL009C,pareto_front
S13,YDL221W,pareto_front
S13,YHL019C,pareto_front
S13,YHR102W,pareto_front
S13,YLR273C,pareto_front
S13,YOL125W,pareto_front
S13,YPL009C,pareto_front
S14,YBR293W,pareto_front
S14,YCR028C,pareto_front
S14,YGL036W,pareto_front
S14,YGR149W,pareto_front
S14,YJR138W,pareto_front
S14,YOR279C,pareto_front
S14,YPL009C,pareto_front
