Isolate name;Standardized name;Isolation;Ecological origins;Geographical origins;HO deletion;Plasmid class;Plasmid CN;Ploidy;Aneuploidies;Zygosity;Total number of SNPs;Proportion of clean heterozygous SNPs (whole dataset);Number of singletons;Mean coverage;Clades;MTA (no distribution);Collection / Provider;Reference
EXF-5295;BFC;Kefyr;Fermentation;Slovenia;no;A;75;2;euploid;homozygous;42,404;0.0;305;231;1. Wine/European ;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
CBS4458;AGL;Red wine;Wine;France;yes;A;10;1;euploid;homozygous;43,585;0.0;565;921;1. Wine/European ;;CBS collection (Nguyen H.V.);
YJM434_1b;ABE;Human, clinical ;Human, clinical;NA;yes;A;30;1;euploid;homozygous;42,562;0.0;117;197;1. Wine/European ;;Kruglyak Laboratory;1
YJM453;SACE_YAM;Unknown;Human, clinical;NA;no;A;70;2;euploid;homozygous;41,676;0.0;139;82;1. Wine/European ;;Phaff collection;2
DBVPG1554;BKI;Wine;Wine;Dalmatia ;no;A;12;2;euploid;homozygous;42,541;0.0;248;242;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1794_1b;ABR;Soil;Soil;Finland;yes;A;34;1;euploid;homozygous;42,682;0.0;3;189;1. Wine/European ;;Kruglyak Laboratory;1
DBVPG1788_1b;ABQ;Soil;Soil;Finland;yes;A;29;1;euploid;homozygous;42,848;0.0;12;202;1. Wine/European ;;Kruglyak Laboratory;1
DBVPG1790;BNV;Soil;Soil;Turku, Finland;no;A;8;2;euploid;homozygous;43,052;0.0;1;257;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1795;BPB;Grape must;Wine;Illasi, Verona, Italy;no;A;11;2;euploid;homozygous;43,363;0.0;393;368;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1960;BPT;Grape must;Wine;Recioto, Verona, Italy;no;A;9;2;euploid;heterozygous;45,188;9.9;337;255;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG4162;BQM;Grape must;Wine;Reggio Emilia, Italy;no;A;8;2;euploid;heterozygous;45,851;13.3;385;199;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
EXF-6761;BFK;Quercus cerris;Tree;Slovenia;no;A;54;2;euploid;homozygous;42,620;0.0;310;296;1. Wine/European ;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
DBVPG4410;BQS;Wine;Wine;Italy ;no;none;0;2;euploid;heterozygous;43,600;5.2;511;239;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG2166;BQE;Sagrantino wine;Wine;production zone of Sagrantino wine, Montefalco, Foligno, Italy;no;A;10;2;euploid;heterozygous;46,097;15.3;490;186;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
MC5;AIN;Cooked wine (vino cotto);Wine;Ascoli Piceno, Italy;no;none;0;2;euploid;heterozygous;44,430;6.6;677;218;1. Wine/European ;;Università politecnica delle Marche (Maurizio Ciani);
DBVPG4381;BQR;Seawater;Water;Italy ;no;A;13;2;euploid;heterozygous;43,741;4.8;528;209;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1984;BLT;Grape must;Wine;Slovenia;no;A;8;2;euploid;heterozygous;45,306;8.9;596;346;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
CBS457;AIF;Grape must;Wine;Italy;no;A;26;2;euploid;heterozygous;44,600;10.1;10;224;1. Wine/European ;;CBS collection (Nguyen H.V.);
CBS1190;AQR;Wine;Wine;Germany;no;A;68;2;"aneu;+1*11;+1*14;";heterozygous;44,653;9.9;4;216;1. Wine/European ;;CBS collection (Nguyen H.V.);
DBVPG1832;BPF;Fruit juice;Fruit;NA;no;none;0;2;euploid;heterozygous;44,882;10.0;401;258;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1973;BLR;Grape must;Wine;Greece;no;none;0;2;euploid;heterozygous;45,338;10.3;34;249;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1708;BNL;Soil;Soil;Ultura, Sweden;no;none;0;2;euploid;heterozygous;44,885;8.7;14;245;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1861;BPK;River water;Water;Rajamaki River, Finland;no;none;0;2;euploid;heterozygous;44,940;9.5;188;241;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
