front,n_orfs_norm,nRFdist,rank,label,n_orfs
F4,0,1,1,S[1],1
F4,0.09450924410709938,0.5576407506702412,2,S[10-11],3
F4,0.19096131750287235,0.4235924932975871,3,S[7],5
F4,0.23775634553114433,0.40750670241286846,4,S[13],6
F4,0.2871487761568189,0.39142091152815006,5,S[14],7
F4,0.33166672469621516,0.25201072386058976,6,S[3],8
F4,0.5187423836217401,0.227882037533512,7,S[5],12
F4,0.5707322168448172,0.21179624664879348,8,S[12],13
F4,0.622896138713833,0.12868632707774796,9,S[8],14
F4,0.7164792312245394,0.09919571045576404,10,S[9],16
F4,0.7658368441210262,0.096514745308311,11,S[6],17
F4,0.9061383656557918,0.08042895442359249,12,S[4],20
F4,1,0,13,S[2],22
