solution,SV,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14
SV,22,0,0,1,1,0,0,1,1,1,0,0,0,0,0
S1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,0,0,22,0,14,1,1,1,1,3,1,1,1,1,1
S3,1,0,0,8,1,2,4,2,1,1,0,0,0,3,0
S4,1,0,14,1,20,0,1,3,2,4,1,1,1,1,1
S5,0,0,1,2,0,12,2,1,0,0,0,0,0,1,0
S6,0,0,1,4,1,2,17,1,7,0,1,1,10,3,1
S7,1,0,1,2,3,1,1,5,2,2,1,1,1,1,1
S8,1,0,1,1,2,0,7,2,14,1,1,1,9,1,1
S9,1,0,3,1,4,0,0,2,1,16,0,0,0,0,0
S10,0,0,1,0,1,0,1,1,1,0,3,1,1,1,1
S11,0,0,1,0,1,0,1,1,1,0,1,3,1,1,2
S12,0,0,1,0,1,0,10,1,9,0,1,1,13,1,1
S13,0,0,1,3,1,1,3,1,1,0,1,1,1,6,1
S14,0,0,1,0,1,0,1,1,1,0,1,2,1,1,7
