solution,SV,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14
SV,1,0,0,0.0345,0.0244,0,0,0.0385,0.0286,0.027,0,0,0,0,0
S1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,0,0,1,0,0.5,0.0303,0.0263,0.0385,0.0286,0.0857,0.0417,0.0417,0.0294,0.037,0.0357
S3,0.0345,0,0,1,0.037,0.1111,0.1905,0.1818,0.0476,0.0435,0,0,0,0.2727,0
S4,0.0244,0,0.5,0.037,1,0,0.0278,0.1364,0.0625,0.125,0.0455,0.0455,0.0312,0.04,0.0385
S5,0,0,0.0303,0.1111,0,1,0.0741,0.0625,0,0,0,0,0,0.0588,0
S6,0,0,0.0263,0.1905,0.0278,0.0741,1,0.0476,0.2917,0,0.0526,0.0526,0.5,0.15,0.0435
S7,0.0385,0,0.0385,0.1818,0.1364,0.0625,0.0476,1,0.1176,0.1053,0.1429,0.1429,0.0588,0.1,0.0909
S8,0.0286,0,0.0286,0.0476,0.0625,0,0.2917,0.1176,1,0.0345,0.0625,0.0625,0.5,0.0526,0.05
S9,0.027,0,0.0857,0.0435,0.125,0,0,0.1053,0.0345,1,0,0,0,0,0
S10,0,0,0.0417,0,0.0455,0,0.0526,0.1429,0.0625,0,1,0.2,0.0667,0.125,0.1111
S11,0,0,0.0417,0,0.0455,0,0.0526,0.1429,0.0625,0,0.2,1,0.0667,0.125,0.25
S12,0,0,0.0294,0,0.0312,0,0.5,0.0588,0.5,0,0.0667,0.0667,1,0.0556,0.0526
S13,0,0,0.037,0.2727,0.04,0.0588,0.15,0.1,0.0526,0,0.125,0.125,0.0556,1,0.0833
S14,0,0,0.0357,0,0.0385,0,0.0435,0.0909,0.05,0,0.1111,0.25,0.0526,0.0833,1
