orf,n_solutions,pct_of_solutions,in_reference
YPL009C,10,71.4,FALSE
YHR205W,5,35.7,TRUE
YHR102W,4,28.6,FALSE
YBR158W,3,21.4,FALSE
YDL221W,3,21.4,FALSE
YDR129C,3,21.4,FALSE
YHR079C,3,21.4,FALSE
YJR135C,3,21.4,FALSE
YLR453C,3,21.4,FALSE
YMR239C,3,21.4,FALSE
YNL041C,3,21.4,FALSE
YNL068C,3,21.4,FALSE
YOL038W,3,21.4,FALSE
YPR189W,3,21.4,FALSE
YCR061W,2,14.3,FALSE
YDL021W,2,14.3,FALSE
YDL110C,2,14.3,FALSE
YDR005C,2,14.3,FALSE
YGL150C,2,14.3,FALSE
YGR214W,2,14.3,FALSE
YJR138W,2,14.3,FALSE
YLL056C,2,14.3,FALSE
YLR056W,2,14.3,FALSE
YLR199C,2,14.3,FALSE
YLR273C,2,14.3,FALSE
YLR318W,2,14.3,FALSE
YLR429W,2,14.3,FALSE
YMR085W,2,14.3,FALSE
YMR273C,2,14.3,FALSE
YNL196C,2,14.3,FALSE
YNL250W,2,14.3,FALSE
YOL044W,2,14.3,FALSE
YOL120C,2,14.3,FALSE
YOR116C,2,14.3,FALSE
YPL075W,2,14.3,FALSE
YPR001W,2,14.3,FALSE
YPR095C,2,14.3,FALSE
YBR028C,1,7.1,FALSE
YBR073W,1,7.1,FALSE
YBR159W,1,7.1,FALSE
YBR239C,1,7.1,FALSE
YBR272C,1,7.1,FALSE
YBR293W,1,7.1,FALSE
YCR028C,1,7.1,FALSE
YDR125C,1,7.1,FALSE
YDR185C,1,7.1,FALSE
YDR331W,1,7.1,FALSE
YDR449C,1,7.1,FALSE
YER014W,1,7.1,FALSE
YGL036W,1,7.1,FALSE
YGL113W,1,7.1,FALSE
YGL138C,1,7.1,FALSE
YGL209W,1,7.1,FALSE
YGL211W,1,7.1,FALSE
YGR036C,1,7.1,FALSE
YGR054W,1,7.1,FALSE
YGR101W,1,7.1,FALSE
YGR148C,1,7.1,FALSE
YGR149W,1,7.1,FALSE
YGR163W,1,7.1,FALSE
YGR174C,1,7.1,FALSE
YGR241C,1,7.1,FALSE
YHL019C,1,7.1,FALSE
YHR206W,1,7.1,FALSE
YIL176C,1,7.1,FALSE
YJR138W2,1,7.1,FALSE
YKR052C,1,7.1,FALSE
YKR076W,1,7.1,FALSE
YLR173W,1,7.1,FALSE
YLR212C,1,7.1,FALSE
YML111W,1,7.1,FALSE
YMR166C,1,7.1,FALSE
YMR198W,1,7.1,FALSE
YNL232W,1,7.1,FALSE
YNL236W,1,7.1,FALSE
YNL262W,1,7.1,FALSE
YOL015W,1,7.1,FALSE
YOL125W,1,7.1,FALSE
YOL162W,1,7.1,FALSE
YOR209C,1,7.1,FALSE
YOR223W,1,7.1,FALSE
YOR279C,1,7.1,FALSE
YOR396W,1,7.1,FALSE
YPL111W,1,7.1,FALSE
YPR177C,1,7.1,FALSE
YPR194C,1,7.1,FALSE
