a,b,shared,union,jaccard
S2,S4,14,28,0.5
S6,S12,10,20,0.5
S8,S12,9,18,0.5
S6,S8,7,24,0.2916666666666667
S3,S13,3,11,0.2727272727272727
S11,S14,2,8,0.25
S10,S11,1,5,0.2
S3,S6,4,21,0.19047619047619047
S3,S7,2,11,0.18181818181818182
S6,S13,3,20,0.15
S7,S10,1,7,0.14285714285714285
S7,S11,1,7,0.14285714285714285
S4,S7,3,22,0.13636363636363635
S4,S9,4,32,0.125
S10,S13,1,8,0.125
S11,S13,1,8,0.125
S7,S8,2,17,0.11764705882352941
S3,S5,2,18,0.1111111111111111
S10,S14,1,9,0.1111111111111111
S7,S9,2,19,0.10526315789473684
S7,S13,1,10,0.1
S7,S14,1,11,0.09090909090909091
S2,S9,3,35,0.08571428571428572
S13,S14,1,12,0.08333333333333333
S5,S6,2,27,0.07407407407407407
S10,S12,1,15,0.06666666666666667
S11,S12,1,15,0.06666666666666667
S4,S8,2,32,0.0625
S5,S7,1,16,0.0625
S8,S10,1,16,0.0625
S8,S11,1,16,0.0625
S7,S12,1,17,0.058823529411764705
S5,S13,1,17,0.058823529411764705
S12,S13,1,18,0.05555555555555555
S6,S10,1,19,0.05263157894736842
S6,S11,1,19,0.05263157894736842
S8,S13,1,19,0.05263157894736842
S12,S14,1,19,0.05263157894736842
S8,S14,1,20,0.05
S6,S7,1,21,0.047619047619047616
S3,S8,1,21,0.047619047619047616
S4,S10,1,22,0.045454545454545456
S4,S11,1,22,0.045454545454545456
S3,S9,1,23,0.043478260869565216
S6,S14,1,23,0.043478260869565216
S2,S10,1,24,0.041666666666666664
S2,S11,1,24,0.041666666666666664
S4,S13,1,25,0.04
SV,S7,1,26,0.038461538461538464
S2,S7,1,26,0.038461538461538464
S4,S14,1,26,0.038461538461538464
S3,S4,1,27,0.037037037037037035
S2,S13,1,27,0.037037037037037035
S2,S14,1,28,0.03571428571428571
SV,S3,1,29,0.034482758620689655
S8,S9,1,29,0.034482758620689655
S4,S12,1,32,0.03125
S2,S5,1,33,0.030303030303030304
S2,S12,1,34,0.029411764705882353
SV,S8,1,35,0.02857142857142857
S2,S8,1,35,0.02857142857142857
S4,S6,1,36,0.027777777777777776
SV,S9,1,37,0.02702702702702703
S2,S6,1,38,0.02631578947368421
SV,S4,1,41,0.024390243902439025
SV,S1,0,23,0
SV,S2,0,44,0
S1,S2,0,23,0
S1,S3,0,9,0
S2,S3,0,30,0
S1,S4,0,21,0
SV,S5,0,34,0
S1,S5,0,13,0
S4,S5,0,32,0
SV,S6,0,39,0
S1,S6,0,18,0
S1,S7,0,6,0
S1,S8,0,15,0
S5,S8,0,26,0
S1,S9,0,17,0
S5,S9,0,28,0
S6,S9,0,33,0
SV,S10,0,25,0
S1,S10,0,4,0
S3,S10,0,11,0
S5,S10,0,15,0
S9,S10,0,19,0
SV,S11,0,25,0
S1,S11,0,4,0
S3,S11,0,11,0
S5,S11,0,15,0
S9,S11,0,19,0
SV,S12,0,35,0
S1,S12,0,14,0
S3,S12,0,21,0
S5,S12,0,25,0
S9,S12,0,29,0
SV,S13,0,28,0
S1,S13,0,7,0
S9,S13,0,22,0
SV,S14,0,29,0
S1,S14,0,8,0
S3,S14,0,15,0
S5,S14,0,19,0
S9,S14,0,23,0
