solution,n_orfs_requested,n_orfs_used,missing_orfs,f1_panel_size,f2_nrf,n_taxa_compared,rank,published_f1,published_f2,f1_diff,f2_diff,distance_to_front
S2,22,22,,1,0.6964285714285714,1011,13,1,0,0,0.6964285714285714,0.6964285714285714
S4,20,20,,0.9047619047619048,0.7202380952380952,1011,12,0.9061383656557918,0.08042895442359249,-0.0013764608938869882,0.6398091408145028,0.6398106214454279
S6,17,17,,0.7619047619047619,0.7261904761904762,1011,11,0.7658368441210262,0.096514745308311,-0.003932082216264288,0.6296757308821652,0.629688007931344
S9,16,16,,0.7142857142857143,0.7251984126984127,1011,10,0.7164792312245394,0.09919571045576404,-0.0021935169388250797,0.6260027022426486,0.626006545278609
S8,14,14,,0.6190476190476191,0.7420634920634921,1011,9,0.622896138713833,0.12868632707774796,-0.003848519666213912,0.6133771649857441,0.6133892382733577
S12,13,13,,0.5714285714285714,0.75,1011,8,0.5707322168448172,0.21179624664879348,6.963545837541663e-4,0.5382037533512065,0.5382042038399856
S5,12,12,,0.5238095238095238,0.7609126984126984,1011,7,0.5187423836217401,0.227882037533512,0.0050671401877837585,0.5330306608791864,0.5330547451688099
S3,8,8,,0.3333333333333333,0.7678571428571429,1011,6,0.33166672469621516,0.25201072386058976,0.0016666086371181499,0.5158464189965531,0.5158491112485479
S14,7,7,,0.2857142857142857,0.8015873015873016,1011,5,0.2871487761568189,0.39142091152815006,-0.0014344904425331872,0.41016639005915156,0.4101688985003443
S13,6,6,,0.23809523809523808,0.8045634920634921,1011,4,0.23775634553114433,0.40750670241286846,3.3889256409375124e-4,0.39705678965062363,0.3970569342749596
S7,5,5,,0.19047619047619047,0.8055555555555556,1011,3,0.19096131750287235,0.4235924932975871,-4.851270266818808e-4,0.3819630622579685,0.38196337033505806
S10,3,2,YJR138W2,0.09523809523809523,0.8958333333333334,1011,2,0.09450924410709938,0.5576407506702412,7.288511309958556e-4,0.33819258266309216,0.3381933680489663
S11,3,3,,0.09523809523809523,0.8531746031746031,1011,2,0.09450924410709938,0.5576407506702412,7.288511309958556e-4,0.2955338525043619,0.29553475125616124
S1,1,1,,0,0.9623015873015873,1011,1,0,1,0,-0.037698412698412676,0.037698412698412676
