solution,n_orfs_requested,n_orfs_used,missing_orfs,f1_panel_size,f2_nrf,n_taxa_compared
SV,22,22,,1,0.7371031746031746,1011
S1,1,1,,0,0.9623015873015873,1011
S2,22,22,,1,0.6964285714285714,1011
S3,8,8,,0.3333333333333333,0.7678571428571429,1011
S4,20,20,,0.9047619047619048,0.7202380952380952,1011
S5,12,12,,0.5238095238095238,0.7609126984126984,1011
S6,17,17,,0.7619047619047619,0.7261904761904762,1011
S7,5,5,,0.19047619047619047,0.8055555555555556,1011
S8,14,14,,0.6190476190476191,0.7420634920634921,1011
S9,16,16,,0.7142857142857143,0.7251984126984127,1011
S10,3,2,YJR138W2,0.09523809523809523,0.8958333333333334,1011
S11,3,3,,0.09523809523809523,0.8531746031746031,1011
S12,13,13,,0.5714285714285714,0.75,1011
S13,6,6,,0.23809523809523808,0.8045634920634921,1011
S14,7,7,,0.2857142857142857,0.8015873015873016,1011
