feature,label
EDAD,Age
DURACION_HOSPITAL,Length of stay
SEXO_BINARIO,Biological sex
87.03,Head CT (87.03)
87.41,Chest CT (87.41)
88.01,Abdominal CT (88.01)
88.41,Cerebral arteriography (88.41)
88.72,Echocardiography (88.72)
88.91,Brain magnetic resonance imaging (88.91)
89.13,Neurological examination (89.13)
89.5,Non-surgical heart and vessel examination (89.5)
89.52,Electrocardiogram (89.52)
89.54,Electrocardiographic monitoring (89.54)
89.65,Arterial blood gas analysis (89.65)
90.59,Other microscopic blood examination (90.59)
93.11,Assisted exercise (93.11)
93.12,Active musculoskeletal exercise (93.12)
93.18,Respiratory exercise (93.18)
93.59,Wound care (93.59)
96.6,Enteral nutrition (96.6)
99.04,Red blood cell concentrate transfusion (99.04)
99.1,Thrombolytic injection (99.1)
99.19,Anticoagulant injection (99.19)
99.21,Antibiotic injection (99.21)
99.23,Steroid injection (99.23)
99.26,Tranquilliser injection (99.26)
99.29,Other therapeutic or prophylactic injection (99.29)
38.91,Arterial catheterisation (38.91)
75.34,Fetal monitoring (75.34)
I60.9,Subarachnoid haemorrhage (I60.9)
I62.0,Subdural haemorrhage (I62.0)
J69.0,Aspiration pneumonia (J69.0)
99.10,Thrombolytic injection (99.10)
89.50,Non-surgical heart and vessel examination (89.50)
96.60,Enteral nutrition (96.60)
