orf,bytes,used_in_paper
YAL001C,3627479,FALSE
YAL002W,3894383,FALSE
YAL003W,1046396,FALSE
YAL004W,666259,FALSE
YAL005C,2148386,FALSE
YAL007C,708721,FALSE
YAL008W,614698,FALSE
YAL009W,799711,FALSE
YAL010C,1510445,FALSE
YAL011W,1922933,FALSE
YAL012W,1209167,FALSE
YAL013W,1243541,FALSE
YAL014C,835096,FALSE
YAL015C,1224332,FALSE
YAL016W,2003813,FALSE
YAL017W,4142078,FALSE
YAL018C,999889,FALSE
YAL019W,3498071,FALSE
YAL020C,1024154,FALSE
YAL021C,2902592,FALSE
YAL022C,1582226,FALSE
YAL023C,2316212,FALSE
YAL024C,4366520,FALSE
YAL025C,984724,FALSE
YAL026C,4124891,FALSE
YAL027W,806788,FALSE
YAL028W,1617611,FALSE
YAL029C,4509071,FALSE
YAL030W,483268,FALSE
YAL031C,2319245,FALSE
YAL032C,1163672,FALSE
YAL033W,551005,FALSE
YAL034C,1282970,FALSE
YAL035W,3284750,FALSE
YAL036C,1135364,FALSE
YAL037W,823975,FALSE
YAL038W,1532687,FALSE
YAL039C,865426,FALSE
YAL040C,1782404,FALSE
YAL041W,2604347,FALSE
YAL042W,1272860,FALSE
YAL043C,2395070,FALSE
YAL044C,529774,FALSE
YAL045C,323530,FALSE
YAL046C,372058,FALSE
YAL047C,1900691,FALSE
YAL048C,2023022,FALSE
YAL049C,760282,FALSE
YAL051W,3189716,FALSE
YAL053W,2390015,FALSE
YAL054C,2176694,FALSE
YAL055W,560104,FALSE
YAL056W,2684216,FALSE
YAL058W,1536731,FALSE
YAL059W,658171,FALSE
YAL060W,1175804,FALSE
YAL061W,1279937,FALSE
YAL062W,1402268,FALSE
YAL063C,5467499,FALSE
YAL064W,301288,FALSE
YAL065C,566170,FALSE
YAL066W,326563,FALSE
YAL067C,1867328,FALSE
YAL068C,378124,FALSE
YAL069W,417553,FALSE
YAR002W,1658051,FALSE
YAR003W,1306223,FALSE
YAR007C,1897658,FALSE
YAR008W,848239,FALSE
YAR014C,2164562,FALSE
YAR015W,942262,FALSE
YAR018C,1333520,FALSE
YAR019C,2971340,FALSE
YAR020C,180979,FALSE
YAR023C,565159,FALSE
YAR027W,733996,FALSE
YAR028W,725908,FALSE
YAR029W,283090,FALSE
YAR030C,362959,FALSE
YAR031W,1140419,FALSE
YAR033W,779491,FALSE
YAR035W,2130188,FALSE
YAR042W,4195661,FALSE
YAR047C,336673,FALSE
YAR050W,7824140,FALSE
YAR053W,311398,FALSE
YAR060C,350827,FALSE
YAR064W,314431,FALSE
YAR066W,629863,FALSE
YAR068W,523708,FALSE
YAR069C,308365,FALSE
YAR070C,314431,FALSE
YAR071W,1430576,FALSE
YAR073W,1238486,FALSE
YAR075W,490345,FALSE
YBL001C,330607,FALSE
YBL002W,429685,FALSE
YBL003C,436762,FALSE
YBL004W,7576445,FALSE
YBL005W,3049187,FALSE
YBL006C,560104,FALSE
YBL007C,4146122,FALSE
YBL008W,2623556,FALSE
YBL009W,2153441,FALSE
YBL010C,863404,FALSE
YBL011W,2422367,FALSE
YBL012C,421597,FALSE
